PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	937.223	0	0	117	0.154557
DWDJ	152.199	0	0	19	0.0250991
R<JTJ	72.0941	0	0	9	0.011889
>CR	61.196	1664	0.0227338	0	0
JHWH	56.1208	1526	0.0208484	0	0
JRWCLM	56.0732	0	0	7	0.00924703
JPH	54.1491	2	2.73243e-05	8	0.010568
>HBH	48.0627	0	0	6	0.00792602
LDWDJ	40.0523	0	0	5	0.00660502
C>HBH	40.0523	0	0	5	0.00660502
BNWT	32.649	18	0.000245918	8	0.010568
NPCJ	32.4207	11	0.000150283	7	0.00924703
MWR	32.0418	0	0	4	0.00528402
K<DR	32.0418	0	0	4	0.00528402
>MJ	32.0418	0	0	4	0.00528402
CWBJ	32.0418	0	0	4	0.00528402
DWDK	32.0418	0	0	4	0.00528402
BCWCNJM	32.0418	0	0	4	0.00528402
H>HBH	32.0418	0	0	4	0.00528402
HCB<TJ	32.0418	0	0	4	0.00528402
DDJK	32.0418	0	0	4	0.00528402
CLMH	31.75	2	2.73243e-05	5	0.00660502
W>T	30.4509	828	0.0113122	0	0
HNK	29.5776	3	4.09864e-05	5	0.00660502
KLH	28.2033	9	0.000122959	6	0.00792602
MJJN	24.4772	2	2.73243e-05	4	0.00528402
LYBJ	24.0314	0	0	3	0.00396301
HGPN	24.0314	0	0	3	0.00396301
WRJX	24.0314	0	0	3	0.00396301
KMGDL	24.0314	0	0	3	0.00396301
MB<D	24.0314	0	0	3	0.00396301
LYMTK	24.0314	0	0	3	0.00396301
N>WH	24.0314	0	0	3	0.00396301
JWNTJ	24.0314	0	0	3	0.00396301
CTXPY	24.0314	0	0	3	0.00396301
T<JRW	24.0314	0	0	3	0.00396301
HJPH	24.0314	0	0	3	0.00396301
CDJK	24.0314	0	0	3	0.00396301
BNCJM	24.0314	0	0	3	0.00396301
L<PR	24.0314	0	0	3	0.00396301
WJ>MR	23.2427	632	0.00863447	0	0
HJ>	23.0232	8	0.000109297	5	0.00660502
>XTJ	23.0232	8	0.000109297	5	0.00660502
BNJ	22.9117	623	0.00851151	0	0
MCH	22.6175	615	0.00840221	0	0
MH	20.457	79	0.00107931	10	0.01321
JFR>L	20.1167	547	0.00747319	0	0
>T	19.7384	2622	0.0358221	21	0.0277411
YW>RK	17.3748	2	2.73243e-05	3	0.00396301
HW>	16.5862	451	0.00616162	0	0
>L	16.2387	1282	0.0175149	7	0.00924703
VWBJM	16.0209	0	0	2	0.00264201
BGNJM	16.0209	0	0	2	0.00264201
>HBWK	16.0209	0	0	2	0.00264201
WNSW	16.0209	0	0	2	0.00264201
QWMJ	16.0209	0	0	2	0.00264201
<PRJM	16.0209	0	0	2	0.00264201
H>JLJM	16.0209	0	0	2	0.00264201
HBJ>NJ	16.0209	0	0	2	0.00264201
HBFM	16.0209	0	0	2	0.00264201
LNVRJM	16.0209	0	0	2	0.00264201
JBWZW	16.0209	0	0	2	0.00264201
FM>LW	16.0209	0	0	2	0.00264201
JCNJM	16.0209	0	0	2	0.00264201
WDWDJ	16.0209	0	0	2	0.00264201
LBNWN	16.0209	0	0	2	0.00264201
HNYW	16.0209	0	0	2	0.00264201
BRH	16.0209	0	0	2	0.00264201
PZ	16.0209	0	0	2	0.00264201
QWLK	16.0209	0	0	2	0.00264201
MDWD	16.0209	0	0	2	0.00264201
>JKKH	16.0209	0	0	2	0.00264201
TMTJ	16.0209	0	0	2	0.00264201
LGNW	16.0209	0	0	2	0.00264201
MGDJM	16.0209	0	0	2	0.00264201
WLKJ	16.0209	0	0	2	0.00264201
N<WL	16.0209	0	0	2	0.00264201
MLBNWN	16.0209	0	0	2	0.00264201
HCMJ<JNJ	16.0209	0	0	2	0.00264201
YBJH	16.0209	0	0	2	0.00264201
HRXYH	16.0209	0	0	2	0.00264201
KCNJ	16.0209	0	0	2	0.00264201
RQTK	16.0209	0	0	2	0.00264201
HRMWN	16.0209	0	0	2	0.00264201
KPLX	16.0209	0	0	2	0.00264201
JPW	16.0209	0	0	2	0.00264201
MT>JMWT	16.0209	0	0	2	0.00264201
CKLM	16.0209	0	0	2	0.00264201
C<LW	16.0209	0	0	2	0.00264201
MLKWT	16.0209	0	0	2	0.00264201
CGLCW	16.0209	0	0	2	0.00264201
F<RK	16.0209	0	0	2	0.00264201
CNJK	16.0209	0	0	2	0.00264201
M<JN	16.0209	0	0	2	0.00264201
HLBNWN	16.0209	0	0	2	0.00264201
HSBBJM	16.0209	0	0	2	0.00264201
HCMRJM	16.0209	0	0	2	0.00264201
MY>TJW	16.0209	0	0	2	0.00264201
CLJ	16.0209	0	0	2	0.00264201
BQCTJW	16.0209	0	0	2	0.00264201
BLJLWT	16.0209	0	0	2	0.00264201
HYLLJM	16.0209	0	0	2	0.00264201
CJPWX	16.0209	0	0	2	0.00264201
SMDR	16.0209	0	0	2	0.00264201
JPTJ	16.0209	0	0	2	0.00264201
T<WRRW	16.0209	0	0	2	0.00264201
BYB>WT	16.0209	0	0	2	0.00264201
TXBQNJ	16.0209	0	0	2	0.00264201
WJMJNW	16.0209	0	0	2	0.00264201
KRMJ	16.0209	0	0	2	0.00264201
CMNJK	16.0209	0	0	2	0.00264201
CW<LJM	16.0209	0	0	2	0.00264201
LCLMH	16.0209	0	0	2	0.00264201
CWCNJM	16.0209	0	0	2	0.00264201
KXWTM	16.0209	0	0	2	0.00264201
>CQK	16.0209	0	0	2	0.00264201
KNDGLWT	16.0209	0	0	2	0.00264201
B>JLWT	16.0209	0	0	2	0.00264201
WCKLH	16.0209	0	0	2	0.00264201
JWNJM	16.0209	0	0	2	0.00264201
KJ	13.4997	988	0.0134982	5	0.00660502
H>RY	13.3866	364	0.00497302	0	0
<JNJK	13.0366	15	0.000204932	4	0.00528402
KL	12.9417	967	0.0132113	5	0.00660502
BN	11.9156	324	0.00442653	0	0
L>MR	11.2168	305	0.00416695	0	0
>TW	11.1433	303	0.00413963	0	0
B<JR	10.8663	9	0.000122959	3	0.00396301
>NJ	10.6247	152	0.00207664	10	0.01321
NDJB	10.5493	2	2.73243e-05	2	0.00264201
BFMJM	10.5493	2	2.73243e-05	2	0.00264201
MR>C	10.5493	2	2.73243e-05	2	0.00264201
>JMH	10.5493	2	2.73243e-05	2	0.00264201
KMW	10.5493	2	2.73243e-05	2	0.00264201
XWMH	10.5493	2	2.73243e-05	2	0.00264201
<M	10.1582	105	0.00143452	8	0.010568
L>	10.1136	947	0.012938	6	0.00792602
