PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3038.55	0	0	822	0.0701904
HMLK	444.246	6	8.19728e-05	133	0.0113568
JHWDH	254.064	42	0.00057381	114	0.00973444
CLMH	252.089	2	2.73243e-05	73	0.00623346
DWJD	236.578	0	0	64	0.00546495
BJRWCLM	214.399	0	0	58	0.00495261
BJT	193.556	82	0.0011203	118	0.010076
MLK	178.951	72	0.000983674	107	0.00913671
JRWCLM	155.254	0	0	42	0.00358637
MCH	136.459	615	0.00840221	12	0.00102468
JHWCPV	125.682	0	0	34	0.00290325
JXZQJHW	125.682	0	0	34	0.00290325
RXB<M	96.1098	0	0	26	0.00222013
>S>	96.1098	0	0	26	0.00222013
>W	87.7536	256	0.00349751	0	0
BJHWDH	77.6271	0	0	21	0.00179319
HKHNJM	72.5984	20	0.000273243	38	0.00324481
>LHJ	70.346	68	0.000929025	61	0.00520878
L>	65.6988	947	0.012938	75	0.00640424
PR<H	63.0729	184	0.00251383	0	0
JHWJD<	62.841	0	0	17	0.00145163
J>CJHW	62.841	0	0	17	0.00145163
BMLKW	62.841	0	0	17	0.00145163
>LHJK	59.9603	252	0.00344286	4	0.000341559
>MYJHW	59.1445	0	0	16	0.00136624
JRB<M	59.1445	0	0	16	0.00136624
>L	58.8965	1282	0.0175149	124	0.0105883
H>LHJM	58.6757	57	0.000778742	51	0.00435488
WHLWJM	57.0148	4	5.46485e-05	21	0.00179319
JWSP	55.5316	162	0.00221327	0	0
<M	55.5026	105	0.00143452	68	0.00580651
LRB	55.4696	8	0.000109297	24	0.00204936
J<QB	54.846	160	0.00218594	0	0
MLKJ	54.2839	6	8.19728e-05	22	0.00187858
>BWTJHM	51.7514	0	0	14	0.00119546
KTWBJM	51.7514	0	0	14	0.00119546
HNM	51.7514	0	0	14	0.00119546
XJL	49.2711	8	0.000109297	22	0.00187858
HW>	48.8607	451	0.00616162	26	0.00222013
WJRWCLM	48.0549	0	0	13	0.00111007
JW>C	48.0549	0	0	13	0.00111007
>X>B	48.0549	0	0	13	0.00111007
WJMLK	46.2073	8	0.000109297	21	0.00179319
>NKJ	43.534	127	0.00173509	0	0
CNJ	42.8484	125	0.00170777	0	0
>BTJW	42.344	7	9.56349e-05	19	0.00162241
<ZJHW	40.6618	0	0	11	0.000939288
JHWRM	40.6618	0	0	11	0.000939288
>XZJHW	40.6618	0	0	11	0.000939288
LMLK	40.1609	8	0.000109297	19	0.00162241
BBJT	39.9504	24	0.000327891	28	0.00239091
WHJH	39.7329	157	0.00214496	2	0.00017078
>HRN	39.6422	223	0.00304666	7	0.000597729
HBJT	39.2686	31	0.000423526	31	0.00264708
H>RYWT	36.9653	0	0	10	0.000853898
MCPXT	35.6499	104	0.00142086	0	0
HMZBX	34.2787	100	0.00136621	0	0
LJHWDH	33.6408	3	4.09864e-05	13	0.00111007
MYRJM	33.6293	244	0.00333356	11	0.000939288
T<FH	33.5932	98	0.00133889	0	0
LKM	33.4425	233	0.00318328	10	0.000853898
WJQBRHW	33.2688	0	0	9	0.000768508
HHJ>	33.2688	0	0	9	0.000768508
LCLMH	33.2688	0	0	9	0.000768508
H>RWN	33.2688	0	0	9	0.000768508
JHJH	31.9048	206	0.0028144	8	0.000683118
>CWR	30.8758	4	5.46485e-05	13	0.00111007
WJ<MD	30.6747	10	0.000136621	17	0.00145163
LBNWT	30.185	2	2.73243e-05	11	0.000939288
WHKHNJM	30.185	2	2.73243e-05	11	0.000939288
>TW	29.6982	303	0.00413963	19	0.00162241
WJCBJ	29.5722	0	0	8	0.000683118
HMMLKH	29.5722	0	0	8	0.000683118
HRKB	29.5722	0	0	8	0.000683118
W<MW	29.5722	0	0	8	0.000683118
LDRWC	29.5722	0	0	8	0.000683118
XWRM	29.5722	0	0	8	0.000683118
CPN	29.5722	0	0	8	0.000683118
>TH	29.3547	227	0.0031013	11	0.000939288
WJ<F	29.3305	82	0.0011203	45	0.00384254
>LPJM	29.1348	23	0.000314229	23	0.00196397
LK	28.5788	324	0.00442653	22	0.00187858
>T	28.5057	2622	0.0358221	368	0.0314234
HNBJ>	28.4985	5	6.83107e-05	13	0.00111007
CMH	28.1086	82	0.0011203	0	0
<RJ	27.4765	14	0.00019127	18	0.00153702
>BRHM	26.8803	116	0.00158481	2	0.00017078
WJTR	26.8374	2	2.73243e-05	10	0.000853898
>XZ	26.8374	2	2.73243e-05	10	0.000853898
L<WLM	26.8374	2	2.73243e-05	10	0.000853898
H>RY	26.5396	364	0.00497302	28	0.00239091
BNH	26.2434	13	0.000177608	17	0.00145163
WJDBR	26.2204	140	0.0019127	4	0.000341559
WJTXZQ	25.8757	0	0	7	0.000597729
HSPR	25.8757	0	0	7	0.000597729
XLQJHW	25.8757	0	0	7	0.000597729
KKTWB	25.8757	0	0	7	0.000597729
MJKJHW	25.8757	0	0	7	0.000597729
CMWNH	25.8757	0	0	7	0.000597729
LDWJD	25.8757	0	0	7	0.000597729
JFR>L	25.7507	547	0.00747319	164	0.0140039
HMCKN	25.7091	75	0.00102466	0	0
SPR	25.6525	8	0.000109297	14	0.00119546
MW<D	25.6483	138	0.00188537	4	0.000341559
JYXQ	25.3663	74	0.001011	0	0
HKHN	24.5137	235	0.0032106	14	0.00119546
B<RJ	23.9484	3	4.09864e-05	10	0.000853898
HLWJM	23.9406	50	0.000683107	31	0.00264708
TXTJW	23.7091	13	0.000177608	16	0.00136624
<MDJM	23.5233	2	2.73243e-05	9	0.000768508
W>M	23.5205	142	0.00194002	5	0.000426949
BN	23.5139	324	0.00442653	107	0.00913671
BNJ	23.4529	623	0.00851151	65	0.00555034
NPC	23.3095	68	0.000929025	0	0
WBNJMN	22.501	5	6.83107e-05	11	0.000939288
>LHJW	22.4655	12	0.000163946	15	0.00128085
>XD	22.4489	189	0.00258214	10	0.000853898
H<DH	22.2812	65	0.000888039	0	0
H>JC	22.2812	65	0.000888039	0	0
WJHRG	22.1792	0	0	6	0.000512339
WHFRJM	22.1792	0	0	6	0.000512339
JHW>	22.1792	0	0	6	0.000512339
>MWN	22.1792	0	0	6	0.000512339
HHMWN	22.1792	0	0	6	0.000512339
HBMWT	22.1792	0	0	6	0.000512339
MZBXWT	22.1792	0	0	6	0.000512339
W>XT	22.1792	0	0	6	0.000512339
HRYJM	22.1792	0	0	6	0.000512339
MBJ>JM	22.1792	0	0	6	0.000512339
WHMLK	22.1792	0	0	6	0.000512339
HKJN	22.1792	0	0	6	0.000512339
WHBJT	22.1792	0	0	6	0.000512339
H>CRJM	22.1792	0	0	6	0.000512339
WJW<Y	22.1792	0	0	6	0.000512339
<TLJHW	22.1792	0	0	6	0.000512339
WJCXVW	22.1792	0	0	6	0.000512339
HNMY>JM	22.1792	0	0	6	0.000512339
GBWR	22.1792	0	0	6	0.000512339
LH<LWT	22.1792	0	0	6	0.000512339
BDRKJ	22.1792	0	0	6	0.000512339
KHNJM	22.1792	0	0	6	0.000512339
THJH	21.9384	64	0.000874377	0	0
YWH	21.6828	112	0.00153016	3	0.000256169
KN<N	21.5956	63	0.000860715	0	0
WJCKB	21.5849	4	5.46485e-05	10	0.000853898
N>	21.3931	111	0.0015165	3	0.000256169
B<JR	21.3728	9	0.000122959	13	0.00111007
K>CR	21.3692	203	0.00277341	12	0.00102468
<MW	21.0964	64	0.000874377	34	0.00290325
LBN	20.91	61	0.00083339	0	0
WJHWDH	20.8011	3	4.09864e-05	9	0.000768508
<WLM	20.5672	60	0.000819728	0	0
M>T	20.5672	60	0.000819728	0	0
>RY	20.5417	131	0.00178974	5	0.000426949
PN	20.2245	59	0.000806066	0	0
WJS<W	20.2245	59	0.000806066	0	0
BFR	19.8817	58	0.000792404	0	0
PJ	19.8817	58	0.000792404	0	0
LJ	19.6128	177	0.0024182	10	0.000853898
>MWT	19.2545	17	0.000232256	16	0.00136624
>XJK	18.8533	55	0.000751417	0	0
HNG<	18.8533	55	0.000751417	0	0
HR>CNJM	18.5916	4	5.46485e-05	9	0.000768508
LHLL	18.4827	0	0	5	0.000426949
WCMWNJM	18.4827	0	0	5	0.000426949
