PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3757	0	0	943	0.101322
DWJD	657.376	0	0	165	0.0177286
BNW	253.37	52	0.000710431	111	0.0119265
HWLJD	233.459	4	5.46485e-05	66	0.00709144
BN	201.264	324	0.00442653	203	0.0218115
MGRCJH	163.348	0	0	41	0.00440529
WBNJ	158.175	57	0.000778742	83	0.00891802
>CR	142.755	1664	0.0227338	87	0.0093478
W>XJW	140.705	5	6.83107e-05	43	0.00462018
MCH	136.684	615	0.00840221	6	0.000644676
L>	132.253	947	0.012938	29	0.00311593
>L	131.745	1282	0.0175149	57	0.00612442
HMLK	107.066	6	8.19728e-05	35	0.00376061
BJT	98.0684	82	0.0011203	72	0.00773611
C>WL	84.9023	4	5.46485e-05	27	0.00290104
JW>B	83.6661	0	0	21	0.00225637
>W	75.0918	256	0.00349751	0	0
>TW	72.7509	303	0.00413963	2	0.000214892
MYRJM	71.5719	244	0.00333356	0	0
<FR	70.2624	73	0.000997336	57	0.00612442
LKM	68.3453	233	0.00318328	0	0
LDWJD	63.7456	0	0	16	0.00171914
W>RB<H	63.7456	0	0	16	0.00171914
H>LHJM	63.1678	57	0.000778742	48	0.00515741
PLCTJM	57.3574	10	0.000136621	24	0.0025787
>LP	56.494	79	0.00107931	53	0.00569464
XJL	55.2019	8	0.000109297	22	0.00236381
PR<H	53.9722	184	0.00251383	0	0
HR>C	52.0249	4	5.46485e-05	18	0.00193403
GBWRJ	51.7933	0	0	13	0.0013968
>XJHM	51.7743	2	2.73243e-05	16	0.00171914
JHWH	49.08	1526	0.0208484	135	0.0145052
HKHN	48.6803	235	0.0032106	3	0.000322338
>LHJK	48.6467	252	0.00344286	4	0.000429784
>RWN	48.3556	13	0.000177608	23	0.00247126
MXLQTW	47.8092	0	0	12	0.00128935
WMMVH	47.8092	0	0	12	0.00128935
J<QB	46.9324	160	0.00218594	0	0
WHJH	46.0524	157	0.00214496	0	0
BNJ	45.2923	623	0.00851151	180	0.0193403
CLMH	44.3074	2	2.73243e-05	14	0.00150424
H>BWT	44.3074	2	2.73243e-05	14	0.00150424
CM<JH	43.8251	0	0	11	0.00118191
BJRWCLM	43.8251	0	0	11	0.00118191
>TM	43.7974	264	0.0036068	6	0.000644676
H>RY	42.7901	364	0.00497302	14	0.00150424
WJ>MR	41.4662	632	0.00863447	40	0.00429784
WJDBR	41.0658	140	0.0019127	0	0
>TKM	41.0658	140	0.0019127	0	0
>BJ	41.0511	53	0.000724093	37	0.0039755
>T	40.377	2622	0.0358221	284	0.0305147
>LQNH	39.841	0	0	10	0.00107446
W>XJHM	39.841	0	0	10	0.00107446
CM<J	39.841	0	0	10	0.00107446
M<KH	39.841	0	0	10	0.00107446
R>CJ	37.8789	18	0.000245918	22	0.00236381
>NKJ	37.2526	127	0.00173509	0	0
JW>L	35.8569	0	0	9	0.000967014
HLJD	35.8569	0	0	9	0.000967014
MJKH	35.8569	0	0	9	0.000967014
KL	32.7294	967	0.0132113	84	0.00902546
YRWJH	31.8728	0	0	8	0.000859568
HFR	31.8728	0	0	8	0.000859568
JRWCLM	31.8728	0	0	8	0.000859568
HC<RJM	31.8728	0	0	8	0.000859568
<ZRJH	31.8728	0	0	8	0.000859568
WBNTJH	31.8728	0	0	8	0.000859568
>LH	30.8753	133	0.00181706	55	0.00590953
MCPXT	30.506	104	0.00142086	0	0
LBNWT	29.6142	2	2.73243e-05	10	0.00107446
>BWTM	29.6142	2	2.73243e-05	10	0.00107446
HMZBX	29.3327	100	0.00136621	0	0
<MWN	29.2828	8	0.000109297	14	0.00150424
T<FH	28.7461	98	0.00133889	0	0
HRBJ<J	28.6787	5	6.83107e-05	12	0.00128935
