PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1834.16	0	0	357	0.0768403
DJ	1172.45	4	5.46485e-05	236	0.0507964
MLK>	544.598	0	0	106	0.0228153
DNJ>L	231.197	0	0	45	0.00968575
>T	218.318	2622	0.0358221	37	0.00796384
JHWH	189.848	1526	0.0208484	7	0.00150667
DNH	154.131	0	0	30	0.00645717
B>DJN	133.581	0	0	26	0.00559621
NBWKDNYR	118.167	0	0	23	0.0049505
W>T	114.18	828	0.0113122	2	0.000430478
CMJ>	113.03	0	0	22	0.00473526
>DJN	102.754	0	0	20	0.00430478
QBL	102.754	0	0	20	0.00430478
LDNJ>L	97.6166	0	0	19	0.00408954
>L	94.1847	1282	0.0175149	22	0.00473526
HMLK	84.8899	6	8.19728e-05	22	0.00473526
>CR	84.7236	1664	0.0227338	43	0.00925527
MCH	81.4078	615	0.00840221	2	0.000430478
<NH	77.1151	11	0.000150283	23	0.0049505
>R<>	77.0657	0	0	15	0.00322858
HWJT	77.0657	0	0	15	0.00322858
MJCK	77.0657	0	0	15	0.00322858
XLM>	77.0657	0	0	15	0.00322858
BBL	74.8732	2	2.73243e-05	17	0.00365906
XZH	72.2545	4	5.46485e-05	18	0.0038743
MLKWT>	71.928	0	0	14	0.00301334
NGW	71.928	0	0	14	0.00301334
DHB>	66.7903	0	0	13	0.00279811
WPCRH	66.7903	0	0	13	0.00279811
W<BD	65.0694	2	2.73243e-05	15	0.00322858
QDM	64.5561	5	6.83107e-05	17	0.00365906
MN	63.6956	218	0.00297835	65	0.0139905
LMLK>	61.6526	0	0	12	0.00258287
JFR>L	60.3876	547	0.00747319	4	0.000860956
FGJ>	56.5149	0	0	11	0.00236763
MLT>	56.5149	0	0	11	0.00236763
W>MR	55.6349	39	0.000532823	27	0.00581145
BNJ	54.646	623	0.00851151	8	0.00172191
KJ	53.8029	988	0.0134982	24	0.00516573
NWR>	51.8261	3	4.09864e-05	13	0.00279811
>JTJ	51.3771	0	0	10	0.00215239
CDRK	51.3771	0	0	10	0.00215239
>NC>	51.3771	0	0	10	0.00215239
<LWHJ	51.3771	0	0	10	0.00215239
LHWN	51.3771	0	0	10	0.00215239
PRZL>	51.3771	0	0	10	0.00215239
>NTH	51.3771	0	0	10	0.00215239
BLVC>YR	51.3771	0	0	10	0.00215239
L>MR	48.6278	305	0.00416695	0	0
>TW	48.3089	303	0.00413963	0	0
HWH	46.2394	0	0	9	0.00193715
MLKWT	46.2394	0	0	9	0.00193715
QY	46.2394	0	0	9	0.00193715
>LH>	46.2394	0	0	9	0.00193715
>RJWT>	46.2394	0	0	9	0.00193715
XJWT>	46.2394	0	0	9	0.00193715
<LJ>	46.2394	0	0	9	0.00193715
LHW>	46.2394	0	0	9	0.00193715
>LHJN	46.2394	0	0	9	0.00193715
H>RY	43.4829	364	0.00497302	2	0.000430478
>TM	42.091	264	0.0036068	0	0
JQDT>	41.1017	0	0	8	0.00172191
W>MRJN	41.1017	0	0	8	0.00172191
WDJ	41.1017	0	0	8	0.00172191
GBRJ>	41.1017	0	0	8	0.00172191
PRZL	41.1017	0	0	8	0.00172191
>W	40.8155	256	0.00349751	0	0
LJHWH	40.656	255	0.00348384	0	0
>LHJK	40.1777	252	0.00344286	0	0
>NH	39.6947	6	8.19728e-05	12	0.00258287
BN	37.5698	324	0.00442653	2	0.000430478
HKHN	37.4673	235	0.0032106	0	0
LKM	37.1485	233	0.00318328	0	0
>LHJM	36.3513	228	0.00311497	0	0
KTB>	35.964	0	0	7	0.00150667
QDJCJN	35.964	0	0	7	0.00150667
>NC	35.964	0	0	7	0.00150667
QDMJ	35.964	0	0	7	0.00150667
QDMWHJ	35.964	0	0	7	0.00150667
>TWN	35.964	0	0	7	0.00150667
<MMJ>	35.964	0	0	7	0.00150667
BXJL	35.964	0	0	7	0.00150667
XZJT	35.964	0	0	7	0.00150667
JRWCLM	35.964	0	0	7	0.00150667
JHB	35.964	0	0	7	0.00150667
HYPWN	35.964	0	0	7	0.00150667
L<LMJN	35.964	0	0	7	0.00150667
LH	35.771	49	0.000669445	23	0.0049505
>HRN	35.5541	223	0.00304666	0	0
H<M	34.2786	215	0.00293736	0	0
CNH	33.322	209	0.00285539	0	0
HNGB	33.0789	5	6.83107e-05	10	0.00215239
JHJH	32.8437	206	0.0028144	0	0
BMLKWT	30.8263	0	0	6	0.00129143
BHWN	30.8263	0	0	6	0.00129143
LGW>	30.8263	0	0	6	0.00129143
QL	30.8263	0	0	6	0.00129143
WLCNJ>	30.8263	0	0	6	0.00129143
>MJ>	30.8263	0	0	6	0.00129143
MLKJN	30.8263	0	0	6	0.00129143
WPCR>	30.8263	0	0	6	0.00129143
WDNJ>L	30.8263	0	0	6	0.00129143
HSRJSJM	30.8263	0	0	6	0.00129143
XKJMJ	30.8263	0	0	6	0.00129143
V<M	30.8263	0	0	6	0.00129143
MNH	30.8263	0	0	6	0.00129143
>M	29.9739	188	0.00256848	0	0
>LK	29.4584	7	9.56349e-05	10	0.00215239
PR<H	29.3361	184	0.00251383	0	0
W<M	28.6891	3	4.09864e-05	8	0.00172191
WJ>MR	28.6276	632	0.00863447	18	0.0038743
RB	28.1265	25	0.000341553	15	0.00322858
>JC	27.7747	287	0.00392103	3	0.000645717
LHN	27.0057	6	8.19728e-05	9	0.00193715
HMWN	26.7482	2	2.73243e-05	7	0.00150667
XJWT	26.7482	2	2.73243e-05	7	0.00150667
KX	26.7482	2	2.73243e-05	7	0.00150667
JWSP	25.8285	162	0.00221327	0	0
MNHWN	25.6886	0	0	5	0.00107619
DRJWC	25.6886	0	0	5	0.00107619
<LM	25.6886	0	0	5	0.00107619
>MRJN	25.6886	0	0	5	0.00107619
PCR>	25.6886	0	0	5	0.00107619
K<N	25.6886	0	0	5	0.00107619
NBKDNYR	25.6886	0	0	5	0.00107619
PRS	25.6886	0	0	5	0.00107619
W>RW	25.6886	0	0	5	0.00107619
WPRS	25.6886	0	0	5	0.00107619
HCTKXT	25.6886	0	0	5	0.00107619
BLC>YR	25.6886	0	0	5	0.00107619
D>	25.6886	0	0	5	0.00107619
CLVN	25.6886	0	0	5	0.00107619
CLJV	25.6886	0	0	5	0.00107619
>JLN>	25.6886	0	0	5	0.00107619
MLKWTH	25.6886	0	0	5	0.00107619
LCDRK	25.6886	0	0	5	0.00107619
RBRBN	25.6886	0	0	5	0.00107619
NXC>	25.6886	0	0	5	0.00107619
YLM>	25.6886	0	0	5	0.00107619
XD	25.6886	0	0	5	0.00107619
MNK	25.6886	0	0	5	0.00107619
WMLKWTH	25.6886	0	0	5	0.00107619
