PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3415.35	0	0	959	0.0754109
>LHJK	255.403	252	0.00344286	235	0.0184792
WJ>MR	112.846	632	0.00863447	24	0.00188724
JHWH	86.7333	1526	0.0208484	509	0.0400252
BNJ	85.8482	623	0.00851151	33	0.00259495
MCH	76.7971	615	0.00840221	36	0.00283086
PR<H	67.9151	184	0.00251383	0	0
>CR	66.5541	1664	0.0227338	517	0.0406542
>HRN	61.1027	223	0.00304666	3	0.000235905
HKHN	60.3308	235	0.0032106	4	0.00031454
JWSP	59.7948	162	0.00221327	0	0
>L	58.0332	1282	0.0175149	139	0.0109303
LK	54.6877	324	0.00442653	144	0.0113234
BN	47.5331	324	0.00442653	16	0.00125816
ZHB	43.1851	117	0.00159847	0	0
>BRHM	42.816	116	0.00158481	0	0
HJWM	41.7	135	0.00184439	74	0.00581898
J<QB	39.8254	160	0.00218594	3	0.000235905
M>WT	39.4941	107	0.00146185	0	0
MCPXT	38.3868	104	0.00142086	0	0
>HL	37.6486	102	0.00139354	0	0
HMZBX	36.9104	100	0.00136621	0	0
L>	35.6996	947	0.012938	291	0.0228828
WJHJ	32.7569	194	0.00265045	8	0.000629079
MW<D	32.5838	138	0.00188537	3	0.000235905
NTN	32.5641	109	0.00148917	59	0.00463946
WJQX	32.4811	88	0.00120227	0	0
W>T	32.0663	828	0.0113122	95	0.00747032
WJ<F	30.2665	82	0.0011203	0	0
MYWK	30.2637	28	0.00038254	27	0.00212314
>XD	28.5896	189	0.00258214	9	0.000707714
N>	27.9919	111	0.0015165	2	0.00015727
LRCTH	27.9494	26	0.000355216	25	0.00196587
LJ	27.9187	177	0.0024182	8	0.000629079
HMCKN	27.6828	75	0.00102466	0	0
WJB>	27.3137	74	0.001011	0	0
JYXQ	27.3137	74	0.001011	0	0
HQDC	26.9446	73	0.000997336	0	0
<L	26.328	995	0.0135938	128	0.0100653
>LHJKM	25.3806	85	0.00116128	46	0.00361721
LM<N	25.1767	68	0.000929025	40	0.0031454
JBXR	24.6802	25	0.000341553	23	0.0018086
CNH	24.4361	209	0.00285539	13	0.00102225
>TW	24.1215	303	0.00413963	25	0.00196587
H<DH	23.9917	65	0.000888039	0	0
>NJ	23.6242	152	0.00207664	7	0.000550444
H>XD	23.6226	64	0.000874377	0	0
KN<N	23.2535	63	0.000860715	0	0
HZ>T	22.9709	84	0.00114762	44	0.00345994
JFR>L	22.9639	547	0.00747319	61	0.00479673
LBN	22.5153	61	0.00083339	0	0
WJS<W	21.7771	59	0.000806066	0	0
<FRH	21.408	58	0.000792404	0	0
WT>MR	21.408	58	0.000792404	0	0
LBBK	21.0081	20	0.000273243	19	0.00149406
NCB<	20.8985	27	0.000368878	22	0.00172997
XMCH	20.6698	56	0.00076508	0	0
HNH	20.466	100	0.00136621	3	0.000235905
>LHJNW	20.4381	30	0.000409864	23	0.0018086
WJ>MRW	20.422	88	0.00120227	2	0.00015727
WJDBR	20.3195	140	0.0019127	7	0.000550444
HNG<	20.3007	55	0.000751417	0	0
L<FWT	20.1233	66	0.000901701	36	0.00283086
SBJB	19.9316	54	0.000737755	0	0
BK	19.6832	31	0.000423526	23	0.0018086
WJXNW	19.5625	53	0.000724093	0	0
<FRJM	19.1934	52	0.000710431	0	0
HMJM	18.8243	51	0.000696769	0	0
W>M	18.439	142	0.00194002	8	0.000629079
HJRDN	18.4254	38	0.000519161	25	0.00196587
LMCPXTM	18.0861	49	0.000669445	0	0
>BRM	18.0861	49	0.000669445	0	0
HTWRH	17.8393	26	0.000355216	20	0.0015727
BC<RJK	17.5392	17	0.000232256	16	0.00125816
>LP	17.5265	79	0.00107931	2	0.00015727
>NKJ	17.4384	127	0.00173509	53	0.00416765
W>HRN	17.3479	47	0.00064212	0	0
CB<	17.2077	78	0.00106565	2	0.00015727
HR<	17.1737	22	0.000300567	18	0.00141543
WHNH	17.1456	119	0.00162579	6	0.000471809
BCMN	16.9788	46	0.000628458	0	0
LMVH	16.9788	46	0.000628458	0	0
KJ	16.9114	988	0.0134982	268	0.0210742
>DNJ	16.8896	77	0.00105198	2	0.00015727
H<MJM	16.8759	20	0.000273243	17	0.00133679
WJHJW	16.6097	45	0.000614796	0	0
>XRJM	16.3671	23	0.000314229	18	0.00141543
WL>	16.2613	358	0.00489104	114	0.00896438
JY>	16.2406	44	0.000601134	0	0
H<RB	15.8715	43	0.000587472	0	0
>T	15.6832	2622	0.0358221	435	0.0342062
>TKM	15.5462	140	0.0019127	55	0.00432492
LBJT	15.5024	42	0.00057381	0	0
MBN	15.5024	42	0.00057381	0	0
H<LH	15.5024	42	0.00057381	0	0
HY>N	15.5024	42	0.00057381	0	0
HGWJM	15.2606	27	0.000368878	19	0.00149406
WJMT	15.1333	41	0.000560148	0	0
SLT	15.1333	41	0.000560148	0	0
HMYWH	15.0524	13	0.000177608	13	0.00102225
>BTM	14.7642	40	0.000546485	0	0
CLX	14.7642	40	0.000546485	0	0
WJWLD	14.7642	40	0.000546485	0	0
WM<LH	14.7642	40	0.000546485	0	0
>XJ	14.7642	40	0.000546485	0	0
H>LH	14.6155	85	0.00116128	38	0.00298813
WJ<FW	14.395	39	0.000532823	0	0
WJQR>	14.3815	90	0.00122959	4	0.00031454
<LJK	14.3598	31	0.000423526	20	0.0015727
KH	14.0259	38	0.000519161	0	0
BLQ	14.0259	38	0.000519161	0	0
BGDJW	14.0259	38	0.000519161	0	0
JVM>	14.0259	38	0.000519161	0	0
WJR>	13.8191	88	0.00120227	4	0.00031454
KSP	13.7037	97	0.00132523	5	0.000393174
CNJM	13.6574	123	0.00168044	8	0.000629079
NX	13.6568	37	0.000505499	0	0
WTLD	13.6568	37	0.000505499	0	0
QDC	13.4412	105	0.00143452	6	0.000471809
>RWR	13.3743	22	0.000300567	16	0.00125816
QRBNW	13.2877	36	0.000491837	0	0
W>KLT	13.161	15	0.000204932	13	0.00102225
>MN	13.161	15	0.000204932	13	0.00102225
B<T	12.999	20	0.000273243	15	0.00117952
W>MR	12.9821	39	0.000532823	22	0.00172997
WBJWM	12.9186	35	0.000478175	0	0
WKPR	12.9186	35	0.000478175	0	0
<ZJM	12.9186	35	0.000478175	0	0
KBFJM	12.9186	35	0.000478175	0	0
L>BTJK	12.9174	13	0.000177608	12	0.000943619
HHW>	12.8889	121	0.00165312	47	0.00369584
MYWTJW	12.7367	11	0.000150283	11	0.000864984
C<RJK	12.7367	11	0.000150283	11	0.000864984
BQR	12.645	74	0.001011	3	0.000235905
NPCK	12.6428	18	0.000245918	14	0.00110089
WJFM	12.5495	34	0.000464513	0	0
XMC	12.5495	34	0.000464513	0	0
XV>T	12.5495	34	0.000464513	0	0
LMH	12.5495	34	0.000464513	0	0
DBRJ	12.4443	43	0.000587472	23	0.0018086
BQWL	12.3118	16	0.000218594	13	0.00102225
CMN	12.1804	33	0.00045085	0	0
LXV>T	12.1804	33	0.00045085	0	0
NJXX	12.1804	33	0.00045085	0	0
>CTW	11.8113	32	0.000437188	0	0
LXDC	11.8113	32	0.000437188	0	0
>LWP	11.8113	32	0.000437188	0	0
WJCLX	11.8113	32	0.000437188	0	0
HCNJ	11.8113	32	0.000437188	0	0
PR	11.8113	32	0.000437188	0	0
MQRBK	11.763	12	0.000163946	11	0.000864984
WB<RT	11.5788	10	0.000136621	10	0.000786349
HBJT	11.4422	31	0.000423526	0	0
>RYH	11.4422	31	0.000423526	0	0
<MJ	11.4422	31	0.000423526	0	0
ZR<	11.4422	31	0.000423526	0	0
WCM	11.4422	31	0.000423526	0	0
QVRT	11.4422	31	0.000423526	0	0
