PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1417.22	0	0	222	0.0959378
HBL	150.253	7	9.56349e-05	29	0.0125324
HCMC	149.477	19	0.000259581	34	0.0146932
JHWH	128.062	1526	0.0208484	0	0
W<T	102.142	0	0	16	0.00691443
<T	97.1499	5	6.83107e-05	19	0.00821089
VWB	96.6526	38	0.000519161	29	0.0125324
ZH	91.7295	88	0.00120227	37	0.0159896
GM	88.1091	122	0.00166678	41	0.0177182
H>DM	86.9426	59	0.000806066	31	0.0133967
HKL	85.3634	5	6.83107e-05	17	0.00734659
H>LHJM	84.2117	57	0.000778742	30	0.0129646
TXT	75.1589	90	0.00122959	33	0.014261
HRBH	71.1345	6	8.19728e-05	15	0.00648228
<ML	63.8389	0	0	10	0.00432152
XKMH	62.1398	5	6.83107e-05	13	0.00561798
R>JTJ	57.6123	10	0.000136621	14	0.00605013
WJ>MR	53.0376	632	0.00863447	0	0
MCH	51.6109	615	0.00840221	0	0
W>T	48.9043	828	0.0113122	3	0.00129646
JWD<	47.1917	2	2.73243e-05	9	0.00388937
LBJ	47.1917	2	2.73243e-05	9	0.00388937
JFR>L	45.9043	547	0.00747319	0	0
HJ>	45.0302	8	0.000109297	11	0.00475367
RWX	44.9832	20	0.000273243	14	0.00605013
KBR	44.6872	0	0	7	0.00302506
WR<WT	44.6872	0	0	7	0.00302506
JC	43.3633	17	0.000232256	13	0.00561798
L>DM	41.2309	2	2.73243e-05	8	0.00345722
HKSJL	38.3033	0	0	6	0.00259291
BLBJ	38.3033	0	0	6	0.00259291
CHJH	38.3033	0	0	6	0.00259291
QHLT	38.3033	0	0	6	0.00259291
JTRWN	38.3033	0	0	6	0.00259291
N<FH	37.7681	6	8.19728e-05	9	0.00388937
>NJ	35.9033	152	0.00207664	28	0.0121003
>JN	35.8016	76	0.00103832	20	0.00864304
W>JN	35.1072	21	0.000286905	12	0.00518583
MH	34.6757	79	0.00107931	20	0.00864304
R<	34.304	22	0.000300567	12	0.00518583
KJ	34.085	988	0.0134982	87	0.0375972
<CR	31.9194	0	0	5	0.00216076
BRB	31.9194	0	0	5	0.00216076
CJHJH	31.9194	0	0	5	0.00216076
<MLW	31.9194	0	0	5	0.00216076
HM<FH	29.4738	2	2.73243e-05	6	0.00259291
XPY	29.4738	2	2.73243e-05	6	0.00259291
R<H	25.9356	22	0.000300567	10	0.00432152
XKM	25.8665	7	9.56349e-05	7	0.00302506
R>H	25.6029	29	0.000396202	11	0.00475367
L>MR	25.5957	305	0.00416695	0	0
<MLJ	25.5355	0	0	4	0.00172861
WR>JTJ	25.5355	0	0	4	0.00172861
HXKM	25.5355	0	0	4	0.00172861
WD<T	25.5355	0	0	4	0.00172861
BJRWCLM	25.5355	0	0	4	0.00172861
LBK	25.5355	0	0	4	0.00172861
JGJD	25.5355	0	0	4	0.00172861
K<S	25.5355	0	0	4	0.00172861
B<MLW	25.5355	0	0	4	0.00172861
XLQW	25.5355	0	0	4	0.00172861
>TW	25.4278	303	0.00413963	0	0
WGM	25.1379	53	0.000724093	14	0.00605013
JWKL	23.5124	9	0.000122959	7	0.00302506
JD<	22.5654	21	0.000286905	9	0.00388937
>TM	22.1549	264	0.0036068	0	0
LJHWH	21.3996	255	0.00348384	0	0
>LHJK	21.1479	252	0.00344286	0	0
MYRJM	20.4765	244	0.00333356	0	0
>MRTJ	19.8803	13	0.000177608	7	0.00302506
VWBH	19.8533	8	0.000109297	6	0.00259291
HKHN	19.7212	235	0.0032106	0	0
