PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
HMLK	1089.17	6	8.19728e-05	178	0.0699686
%verse	1071	0	0	167	0.0656447
>STR	269.354	0	0	42	0.0165094
MRDKJ	262.941	0	0	41	0.0161164
HMN	205.38	7	9.56349e-05	38	0.0149371
HJHWDJM	198.809	0	0	31	0.0121855
>XCWRWC	153.917	0	0	24	0.00943396
HMLKH	147.504	0	0	23	0.00904088
JHWH	126.16	1526	0.0208484	0	0
BCWCN	89.7848	0	0	14	0.00550314
MDJNH	76.9584	0	0	12	0.00471698
MDJNWT	70.5452	0	0	11	0.0043239
L>STR	70.5452	0	0	11	0.0043239
WHMN	64.132	0	0	10	0.00393082
WMDJNH	64.132	0	0	10	0.00393082
MLKWT	64.132	0	0	10	0.00393082
HBJRH	64.132	0	0	10	0.00393082
HNCJM	56.1228	8	0.000109297	13	0.00511006
LMRDKJ	51.3056	0	0	8	0.00314465
>DR	51.3056	0	0	8	0.00314465
MCH	50.8442	615	0.00840221	0	0
MCTH	45.45	5	6.83107e-05	10	0.00393082
JFR>L	45.2224	547	0.00747319	0	0
WMRDKJ	44.8924	0	0	7	0.00275157
LJHWDJM	44.8924	0	0	7	0.00275157
HJHWDJ	38.4792	0	0	6	0.00235849
HMCTH	38.4792	0	0	6	0.00235849
MLKWTW	38.4792	0	0	6	0.00235849
BC<R	35.523	2	2.73243e-05	7	0.00275157
LMLK	34.8721	8	0.000109297	9	0.00353774
WCTJ	34.8077	12	0.000163946	10	0.00393082
W<M	32.9231	3	4.09864e-05	7	0.00275157
WMH	32.6802	6	8.19728e-05	8	0.00314465
SPRJM	32.066	0	0	5	0.00196541
BJQRW	32.066	0	0	5	0.00196541
H>GGJ	32.066	0	0	5	0.00196541
BCLWCH	32.066	0	0	5	0.00196541
LHMN	32.066	0	0	5	0.00196541
HMDT>	32.066	0	0	5	0.00196541
WFMXH	32.066	0	0	5	0.00196541
HMLKWT	32.066	0	0	5	0.00196541
KDT	32.066	0	0	5	0.00196541
<FR	30.9568	73	0.000997336	18	0.00707547
<FTH	29.6472	2	2.73243e-05	6	0.00235849
XPY	29.6472	2	2.73243e-05	6	0.00235849
WHMLK	25.6528	0	0	4	0.00157233
HRYJM	25.6528	0	0	4	0.00157233
YRR	25.6528	0	0	4	0.00157233
WDTW	25.6528	0	0	4	0.00157233
HSRJSJM	25.6528	0	0	4	0.00157233
JQR	25.6528	0	0	4	0.00157233
LHCJB	25.6528	0	0	4	0.00157233
WJBW>	25.6528	0	0	4	0.00157233
W<JR	25.6528	0	0	4	0.00157233
