PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3990.2	0	0	1213	0.0779313
HKHN	68.6571	235	0.0032106	5	0.000321234
ZHB	67.7472	117	0.00159847	93	0.00597494
MCH	63.2655	615	0.00840221	270	0.0173466
MYRJM	57.6231	244	0.00333356	137	0.0088018
>LHJK	52.9274	252	0.00344286	11	0.000706714
>CR	51.1325	1664	0.0227338	252	0.0161902
JWSP	49.3785	162	0.00221327	3	0.00019274
BN	45.3805	324	0.00442653	23	0.00147767
PR<H	44.3129	184	0.00251383	104	0.00668166
W<FJT	36.2185	70	0.000956349	53	0.00340508
CNH	31.1065	209	0.00285539	14	0.000899454
H>RY	31.0499	364	0.00497302	37	0.00237713
J<QB	30.6321	160	0.00218594	8	0.000513974
H<M	27.4771	215	0.00293736	100	0.00642467
WJ<F	27.2444	82	0.0011203	52	0.00334083
MCPXT	23.5581	104	0.00142086	4	0.000256987
CVJM	22.711	26	0.000355216	25	0.00160617
BL<M	22.3083	52	0.000710431	0	0
>LP	21.7152	79	0.00107931	2	0.000128493
>BRHM	21.6548	116	0.00158481	6	0.00038548
JMJ	21.4503	50	0.000683107	0	0
HMCKN	21.4292	75	0.00102466	45	0.0028911
NXCT	21.1784	32	0.000437188	27	0.00173466
HW>	21.149	451	0.00616162	60	0.0038548
>BRM	21.0213	49	0.000669445	0	0
>BJW	20.2043	75	0.00102466	2	0.000128493
MCZR	19.8649	21	0.000286905	21	0.00134918
MW>B	19.7343	46	0.000628458	0	0
HJRJ<H	18.919	20	0.000273243	20	0.00128493
W>RGMN	18.919	20	0.000273243	20	0.00128493
CNJM	18.8508	123	0.00168044	8	0.000513974
HXYR	18.5491	31	0.000423526	25	0.00160617
WTWL<T	17.973	19	0.000259581	19	0.00122069
CB<	17.6686	78	0.00106565	3	0.00019274
>XJ	17.1603	40	0.000546485	0	0
WJWLD	17.1603	40	0.000546485	0	0
VM>	17.1603	40	0.000546485	0	0
LB	17.0974	33	0.00045085	25	0.00160617
TKLT	16.7069	29	0.000396202	23	0.00147767
M<FH	16.5058	41	0.000560148	28	0.00179891
