PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3972.24	0	0	1273	0.0759819
>DNJ	387.913	77	0.00105198	222	0.0132506
MCH	290.089	615	0.00840221	0	0
>DM	248.991	33	0.00045085	127	0.00758028
KH	238.729	38	0.000519161	128	0.00763997
N>M	223.837	6	8.19728e-05	85	0.00507342
>MR	213.37	84	0.00114762	155	0.00925152
LKN	158.643	6	8.19728e-05	63	0.0037603
>T	134.006	2622	0.0358221	388	0.0231586
>NJ	133.312	152	0.00207664	157	0.0093709
HC<R	121.695	0	0	39	0.0023278
BNJ	121.596	623	0.00851151	38	0.00226812
>LHJK	118.866	252	0.00344286	0	0
WJ>MR	117.143	632	0.00863447	41	0.00244718
>HRN	105.187	223	0.00304666	0	0
>LJ	104.198	87	0.00118861	105	0.00626716
WJD<W	97.716	6	8.19728e-05	42	0.00250686
HKHN	94.005	235	0.0032106	2	0.000119374
SBJB	92.331	54	0.000737755	79	0.00471529
HW>	92.0155	451	0.00616162	26	0.00155187
>W	91.9007	256	0.00349751	4	0.000238749
J<N	90.0204	5	6.83107e-05	38	0.00226812
BJT	85.1129	82	0.0011203	92	0.00549123
HMH	74.4058	20	0.000273243	47	0.0028053
<LJK	73.8091	31	0.000423526	55	0.0032828
W>T	73.6955	828	0.0113122	96	0.00572997
DRK	73.1558	30	0.000409864	54	0.00322311
WJMD	68.6483	0	0	22	0.00131312
XRB	68.2186	17	0.000232256	42	0.00250686
WNTTJ	67.7575	21	0.000286905	45	0.00268593
>WTH	65.5279	0	0	21	0.00125343
MW<D	65.0931	138	0.00188537	0	0
LJHWH	62.983	255	0.00348384	11	0.00065656
>MWT	60.961	17	0.000232256	39	0.0023278
KLM	60.3565	3	4.09864e-05	25	0.00149218
>MH	60.1848	20	0.000273243	41	0.00244718
J<QB	60.158	160	0.00218594	2	0.000119374
>NKJ	59.9045	127	0.00173509	0	0
MPW	59.2871	0	0	19	0.00113406
JRWCLM	59.2871	0	0	19	0.00113406
HNB>	56.1668	0	0	18	0.00107437
JWSP	55.7857	162	0.00221327	3	0.000179062
>BRHM	54.716	116	0.00158481	0	0
RXB	53.3342	5	6.83107e-05	25	0.00149218
HJ>	53.0052	8	0.000109297	28	0.00167124
>TW	52.92	303	0.00413963	21	0.00125343
