PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1662.85	0	0	280	0.0970537
DJ	525.242	4	5.46485e-05	94	0.0325823
MLK>	166.285	0	0	28	0.00970537
>T	148.881	2622	0.0358221	23	0.00797227
DNH	136.592	0	0	23	0.00797227
BJRWCLM	130.653	0	0	22	0.00762565
>LH>	118.775	0	0	20	0.00693241
WMBNJ	106.898	0	0	18	0.00623917
V<M	106.898	0	0	18	0.00623917
BNJ	99.063	623	0.00851151	110	0.0381282
BJT	91.8246	82	0.0011203	40	0.0138648
NHRH	77.204	0	0	13	0.00450607
PRS	77.204	0	0	13	0.00450607
DK	77.204	0	0	13	0.00450607
M>H	72.5528	15	0.000204932	20	0.00693241
W<MW	71.2652	0	0	12	0.00415945
JRWCLM	71.2652	0	0	12	0.00415945
>CR	68.7108	1664	0.0227338	23	0.00797227
MBNJ	67.7819	12	0.000163946	18	0.00623917
HGWLH	65.3264	0	0	11	0.00381282
>L	60.5844	1282	0.0175149	15	0.00519931
W>T	60.3444	828	0.0113122	4	0.00138648
<ZR>	59.3877	0	0	10	0.0034662
WC>R	59.3877	0	0	10	0.0034662
KWRC	59.3877	0	0	10	0.0034662
WCNJM	56.5693	3	4.09864e-05	12	0.00415945
HZKRJM	54.3748	2	2.73243e-05	11	0.00381282
HMW	53.4489	0	0	9	0.00311958
JHWH	53.3242	1526	0.0208484	25	0.00866551
M>TJM	51.0944	3	4.09864e-05	11	0.00381282
HMLK	48.9831	6	8.19728e-05	12	0.00415945
CMJ>	47.5101	0	0	8	0.00277296
JHWDJ>	47.5101	0	0	8	0.00277296
PXT	47.5101	0	0	8	0.00277296
JCW<	47.5101	0	0	8	0.00277296
LJRWCLM	47.5101	0	0	8	0.00277296
MCH	44.684	615	0.00840221	3	0.00103986
WHLWJM	43.0577	4	5.46485e-05	10	0.0034662
WJ>MR	41.8412	632	0.00863447	4	0.00138648
DRJWC	41.5714	0	0	7	0.00242634
>SPRN>	41.5714	0	0	7	0.00242634
LHW>	41.5714	0	0	7	0.00242634
>DJN	41.5714	0	0	7	0.00242634
M>WT	39.7278	107	0.00146185	28	0.00970537
HKHNJM	39.1811	20	0.000273243	14	0.00485269
>LHJNW	38.7419	30	0.000409864	16	0.00554593
QRJT>	35.6326	0	0	6	0.00207972
NKRJWT	35.6326	0	0	6	0.00207972
>LHK	35.6326	0	0	6	0.00207972
H>BWT	32.2475	2	2.73243e-05	7	0.00242634
>TW	31.9359	303	0.00413963	0	0
>RTXCST>	29.6938	0	0	5	0.0017331
ZRBBL	29.6938	0	0	5	0.0017331
LMLK>	29.6938	0	0	5	0.0017331
K<N	29.6938	0	0	5	0.0017331
H>RYWT	29.6938	0	0	5	0.0017331
MLK	27.1775	72	0.000983674	19	0.00658579
>W	26.9821	256	0.00349751	0	0
BBL	26.846	2	2.73243e-05	6	0.00207972
WCCH	26.846	2	2.73243e-05	6	0.00207972
