PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4524.97	0	0	1532	0.0798582
MCH	318.866	615	0.00840221	0	0
JHWH	235.497	1526	0.0208484	144	0.00750626
HKHN	121.843	235	0.0032106	0	0
>HRN	115.621	223	0.00304666	0	0
>LHJK	113.204	252	0.00344286	2	0.000104254
JFR>L	112.095	547	0.00747319	39	0.00203294
>W	93.2726	256	0.00349751	6	0.000312761
J<QB	90.623	160	0.00218594	146	0.00761051
JWSP	87.6212	162	0.00221327	145	0.00755838
WJ>MR	79.5918	632	0.00863447	347	0.018088
LJHWH	76.5885	255	0.00348384	10	0.000521268
MW<D	71.5505	138	0.00188537	0	0
>BRHM	70.3921	116	0.00158481	109	0.00568182
L>	63.9278	947	0.012938	145	0.00755838
>LHJM	60.2247	228	0.00311497	156	0.00813178
H<M	59.1908	215	0.00293736	10	0.000521268
>HL	52.8851	102	0.00139354	0	0
>LHJKM	44.0709	85	0.00116128	0	0
WJHJ	42.6058	194	0.00265045	125	0.00651585
JYXQ	41.1416	74	0.001011	67	0.00349249
>LP	40.9601	79	0.00107931	0	0
HMCKN	38.8861	75	0.00102466	0	0
HQDC	37.8492	73	0.000997336	0	0
QDC	35.8845	105	0.00143452	3	0.00015638
MCPXT	35.4226	104	0.00142086	3	0.00015638
>BRM	34.2771	49	0.000669445	49	0.00255421
H<DH	33.7013	65	0.000888039	0	0
ZHB	33.6925	117	0.00159847	5	0.000260634
HMZBX	33.5806	100	0.00136621	3	0.00015638
>CR	32.0354	1664	0.0227338	358	0.0186614
>XJW	30.4219	94	0.00128424	69	0.00359675
<LJW	30.3718	151	0.00206298	11	0.000573394
>BJ	29.4861	53	0.000724093	48	0.00250209
WT>MR	28.6272	58	0.000792404	50	0.00260634
HNG<	28.5165	55	0.000751417	0	0
YWH	28.3551	112	0.00153016	6	0.000312761
>BJW	27.9989	75	0.00102466	58	0.00302335
SBJB	27.998	54	0.000737755	0	0HCBJ<J
WJXNW	27.4795	53	0.000724093	0	0
N>	27.1064	111	0.0015165	74	0.00385738
BL<M	26.961	52	0.000710431	0	0
HDM	26.4426	51	0.000696769	0	0
BMJM	26.4426	51	0.000696769	0	0
WJWLD	26.4266	40	0.000546485	39	0.00203294
WL>	26.1883	358	0.00489104	53	0.00276272
HLWJM	25.9241	50	0.000683107	0	0
NX	25.8827	37	0.000505499	37	0.00192869
LPNJ	25.2155	247	0.00337455	31	0.00161593
<FW	24.8101	118	0.00161213	75	0.00390951
W>HRN	24.3686	47	0.00064212	0	0
HHR	24.3686	47	0.00064212	0	0
W<FJT	23.923	70	0.000956349	2	0.000104254
BCMN	23.8502	46	0.000628458	0	0
VHWR	23.8502	46	0.000628458	0	0
LMVH	23.8502	46	0.000628458	0	0
LBN	23.8501	61	0.00083339	48	0.00250209
LKM	22.7181	233	0.00318328	30	0.0015638
>LWP	22.385	32	0.000437188	32	0.00166806
H<RB	22.2947	43	0.000587472	0	0
JHJH	22.28	206	0.0028144	25	0.00130317
>XJ	21.9225	40	0.000546485	36	0.00187656
H<LH	21.7762	42	0.00057381	0	0
MBN	21.7762	42	0.00057381	0	0
WJXJ	21.4078	35	0.000478175	33	0.00172018
SLT	21.2578	41	0.000560148	0	0
M<FH	21.2578	41	0.000560148	0	0
RXL	20.986	30	0.000409864	30	0.0015638
<L	20.754	995	0.0135938	211	0.0109987
WM<LH	20.7393	40	0.000546485	0	0
>BTM	20.7393	40	0.000546485	0	0
MVH	20.7393	40	0.000546485	0	0
BNJ	20.3994	623	0.00851151	120	0.00625521
>XD	20.3473	189	0.00258214	23	0.00119892
KL	20.2032	967	0.0132113	205	0.010686
BLQ	19.7023	38	0.000519161	0	0
JVM>	19.7023	38	0.000519161	0	0
L>H	19.5869	28	0.00038254	28	0.00145955
FRH	19.5869	28	0.00038254	28	0.00145955
WNTN	19.1838	37	0.000505499	0	0
B>C	19.1838	37	0.000505499	0	0
WJS<W	18.8931	59	0.000806066	2	0.000104254
QRBNW	18.6653	36	0.000491837	0	0
>XT	18.6276	74	0.001011	4	0.000208507
>DNJ	18.4312	77	0.00105198	51	0.00265847
HNH	18.3686	100	0.00136621	61	0.00317973
WBJWM	18.1469	35	0.000478175	0	0
WKPR	18.1469	35	0.000478175	0	0
KBFJM	18.1469	35	0.000478175	0	0
T<FH	17.7159	98	0.00133889	8	0.000417014
KN<N	17.6828	63	0.000860715	44	0.00229358
XV>T	17.6284	34	0.000464513	0	0
XMCH	17.5428	56	0.00076508	2	0.000104254
B>RY	17.5372	158	0.00215862	84	0.00437865
JWMT	17.1099	33	0.00045085	0	0
LXV>T	17.1099	33	0.00045085	0	0
LMXNH	17.1099	33	0.00045085	0	0
NJXX	17.1099	33	0.00045085	0	0
MYWT	17.1099	33	0.00045085	0	0
WTLD	17.0087	37	0.000505499	31	0.00161593
CB<	16.8526	78	0.00106565	50	0.00260634
WJDBR	16.6733	140	0.0019127	16	0.000834028
WJQR>	16.6331	90	0.00122959	55	0.00286697
MTWK	16.5914	32	0.000437188	0	0
NXCT	16.5914	32	0.000437188	0	0
JB>	16.5914	32	0.000437188	0	0
PR	16.5914	32	0.000437188	0	0
>C	16.0729	31	0.000423526	0	0
QVRT	16.0729	31	0.000423526	0	0
HXYR	16.0729	31	0.000423526	0	0
HQRB	16.0729	31	0.000423526	0	0
CNH	16.0728	209	0.00285539	102	0.00531693
BH	15.8591	74	0.001011	5	0.000260634
W>M	15.7089	142	0.00194002	17	0.000886155
XLB	15.5545	30	0.000409864	0	0
SJNJ	15.5545	30	0.000409864	0	0
HXV>T	15.5545	30	0.000409864	0	0
>L<ZR	15.5545	30	0.000409864	0	0
<DT	15.5545	30	0.000409864	0	0
>LHJNW	15.5545	30	0.000409864	0	0
H<NN	15.5545	30	0.000409864	0	0
CM	15.4946	198	0.0027051	97	0.0050563
RBQH	15.3897	22	0.000300567	22	0.00114679
GM	15.3781	122	0.00166678	67	0.00349249
>TKM	15.1273	140	0.0019127	17	0.000886155
>TJ	15.0624	42	0.00057381	32	0.00166806
TKLT	15.036	29	0.000396202	0	0
YB>	15.036	29	0.000396202	0	0
BLWLH	15.036	29	0.000396202	0	0
WLQX	15.036	29	0.000396202	0	0
WVM>	15.036	29	0.000396202	0	0
CB<T	14.9699	65	0.000888039	4	0.000208507
J>KL	14.8769	50	0.000683107	2	0.000104254
>BJMLK	14.6902	21	0.000286905	21	0.00109466
THJH	14.5717	64	0.000874377	4	0.000208507
JLDH	14.5441	23	0.000314229	22	0.00114679
HTBH	14.5441	23	0.000314229	22	0.00114679
FR	14.5441	23	0.000314229	22	0.00114679
ZBX	14.5175	28	0.00038254	0	0
QRBN	14.5175	28	0.00038254	0	0
XV>	14.5175	28	0.00038254	0	0
HMZBXH	14.5175	28	0.00038254	0	0
MYWK	14.5175	28	0.00038254	0	0
H<DT	14.5175	28	0.00038254	0	0
HCLMJM	14.5175	28	0.00038254	0	0
WJB>	14.4737	74	0.001011	46	0.00239783
T<FW	14.4376	49	0.000669445	2	0.000104254
LWV	14.437	25	0.000341553	23	0.00119892
LJ<QB	14.437	25	0.000341553	23	0.00119892
LJ	14.0617	177	0.0024182	87	0.00453503
LDRTJKM	13.999	27	0.000368878	0	0
<WR	13.999	27	0.000368878	0	0
B<WR	13.999	27	0.000368878	0	0
HXLB	13.999	27	0.000368878	0	0
<BDT	13.999	27	0.000368878	0	0
QDCJM	13.999	27	0.000368878	0	0
BFRW	13.999	27	0.000368878	0	0
WJR>	13.5357	88	0.00120227	51	0.00265847
HPR	13.4805	26	0.000355216	0	0
LRCTH	13.4805	26	0.000355216	0	0
>JLM	13.4805	26	0.000355216	0	0
WNTTH	13.4805	26	0.000355216	0	0
HTWRH	13.4805	26	0.000355216	0	0
CVJM	13.4805	26	0.000355216	0	0
WBNWT	13.1472	21	0.000286905	20	0.00104254
R>CW	12.962	25	0.000341553	0	0
BCQL	12.962	25	0.000341553	0	0
L>HRN	12.962	25	0.000341553	0	0
LKHN	12.962	25	0.000341553	0	0
JBXR	12.962	25	0.000341553	0	0
DBR	12.6923	189	0.00258214	29	0.00151168
PTX	12.6098	59	0.000806066	4	0.000208507
JLD	12.5916	18	0.000245918	18	0.000938282
JM	12.4436	24	0.000327891	0	0
HKPRT	12.4436	24	0.000327891	0	0
BMSPR	12.4436	24	0.000327891	0	0
ML>KH	12.4436	24	0.000327891	0	0
>T	12.3053	2622	0.0358221	668	0.0348207
LBNJ	11.9539	87	0.00118861	9	0.000469141
W<FJTM	11.9251	23	0.000314229	0	0
>LPJM	11.9251	23	0.000314229	0	0
XDC	11.9251	23	0.000314229	0	0
HJMNJT	11.9251	23	0.000314229	0	0
H>DM	11.8776	59	0.000806066	37	0.00192869
MXWY	11.4117	42	0.00057381	2	0.000104254
JTN	11.4117	42	0.00057381	2	0.000104254
NG<	11.4066	22	0.000300567	0	0
WHQRJB	11.4066	22	0.000300567	0	0
HR<	11.4066	22	0.000300567	0	0
WCMRTM	11.4066	22	0.000300567	0	0
W<L	11.2212	116	0.00158481	15	0.000781902
CKM	11.1925	16	0.000218594	16	0.000834028
WTHR	11.0528	18	0.000245918	17	0.000886155
HWLJDW	11.0528	18	0.000245918	17	0.000886155
WJBRK	10.9613	20	0.000273243	18	0.000938282
WTQR>	10.9613	20	0.000273243	18	0.000938282
TTNW	10.8881	21	0.000286905	0	0
JMWT	10.8881	21	0.000286905	0	0
H>JL	10.8881	21	0.000286905	0	0
LKPR	10.8881	21	0.000286905	0	0
YR<T	10.8881	21	0.000286905	0	0
MCZR	10.8881	21	0.000286905	0	0
KLJW	10.8881	21	0.000286905	0	0
WRXY	10.8881	21	0.000286905	0	0
>TM	10.7563	264	0.0036068	48	0.00250209
W>MRT	10.5652	40	0.000546485	2	0.000104254
W>JC	10.5652	40	0.000546485	2	0.000104254
VM>	10.5652	40	0.000546485	2	0.000104254
HR<B	10.493	15	0.000204932	15	0.000781902
JQX	10.3696	20	0.000273243	0	0
MPNJK	10.3696	20	0.000273243	0	0
LBBK	10.3696	20	0.000273243	0	0
PQDJHM	10.3696	20	0.000273243	0	0
KBF	10.3696	20	0.000273243	0	0
H<MJM	10.3696	20	0.000273243	0	0
H>PD	10.3696	20	0.000273243	0	0
HJRJ<H	10.3696	20	0.000273243	0	0
W>RGMN	10.3696	20	0.000273243	0	0
XQT	10.3696	20	0.000273243	0	0
HQHL	10.3696	20	0.000273243	0	0
BKM	10.3696	20	0.000273243	0	0
>RYH	10.3363	31	0.000423526	23	0.00119892
BJT	10.3073	82	0.0011203	45	0.0023457
T>KLW	10.1394	46	0.000628458	3	0.00015638
MW>B	10.1394	46	0.000628458	3	0.00015638
WJTN	9.97652	78	0.00106565	43	0.00224145
WJQX	9.94838	88	0.00120227	47	0.00244996
MQRB	9.85115	19	0.000259581	0	0
<LJKM	9.85115	19	0.000259581	0	0
WXYJ	9.85115	19	0.000259581	0	0
MCMRT	9.85115	19	0.000259581	0	0
WNTT	9.85115	19	0.000259581	0	0
CBT	9.85115	19	0.000259581	0	0
W>DNJHM	9.85115	19	0.000259581	0	0
<FRNJM	9.85115	19	0.000259581	0	0
ML>KT	9.85115	19	0.000259581	0	0
WTWL<T	9.85115	19	0.000259581	0	0
WHBJ>	9.85115	19	0.000259581	0	0
H>RN	9.85115	19	0.000259581	0	0
TMJMM	9.85115	19	0.000259581	0	0
BNW	9.83672	52	0.000710431	32	0.00166806
WHNH	9.82988	119	0.00162579	59	0.00307548
BNJM	9.76272	43	0.000587472	28	0.00145955
>CTW	9.75829	32	0.000437188	23	0.00119892
BGDJW	9.72836	38	0.000519161	2	0.000104254
QJN	9.65743	16	0.000218594	15	0.000781902
BJNJ	9.5746	18	0.000245918	16	0.000834028
SDM	9.5746	18	0.000245918	16	0.000834028
BQR	9.5675	74	0.001011	8	0.000417014
LM<N	9.4048	68	0.000929025	7	0.000364887
LCMR	9.33267	18	0.000245918	0	0
BQDC	9.33267	18	0.000245918	0	0
WHQVJR	9.33267	18	0.000245918	0	0
HXCN	9.33267	18	0.000245918	0	0
TMJD	9.33267	18	0.000245918	0	0
WNFJ>	9.33267	18	0.000245918	0	0
NXLH	9.33267	18	0.000245918	0	0
HMJM	9.25684	51	0.000696769	31	0.00161593
WKJ	9.22102	50	0.000683107	4	0.000208507
XT	9.09391	13	0.000177608	13	0.000677648
JCM<>L	9.09391	13	0.000177608	13	0.000677648
LMCPXTM	8.85796	49	0.000669445	4	0.000208507
ZR<K	8.84262	21	0.000286905	17	0.000886155
W>MH	8.81419	17	0.000232256	0	0
TWRT	8.81419	17	0.000232256	0	0
WVHR	8.81419	17	0.000232256	0	0
JKBS	8.81419	17	0.000232256	0	0
HCBT	8.81419	17	0.000232256	0	0
HTMJD	8.81419	17	0.000232256	0	0
VB<T	8.81419	17	0.000232256	0	0
ML>JM	8.81419	17	0.000232256	0	0
HCLXN	8.81419	17	0.000232256	0	0
BC<RJK	8.81419	17	0.000232256	0	0
BMDBR	8.61877	60	0.000819728	6	0.000312761
HCBJ<J	8.49798	48	0.000655782	4	0.000208507
BM	8.49317	35	0.000478175	2	0.000104254
KKL	8.49317	35	0.000478175	2	0.000104254
L>DNJ	8.39438	12	0.000163946	12	0.000625521
NXWR	8.39438	12	0.000163946	12	0.000625521
CMW	8.34648	58	0.000792404	33	0.00172018
JHWC<	8.29571	16	0.000218594	0	0
<BDH	8.29571	16	0.000218594	0	0
JCLM	8.29571	16	0.000218594	0	0
WDBC	8.29571	16	0.000218594	0	0
MQR>	8.29571	16	0.000218594	0	0
JQWM	8.29571	16	0.000218594	0	0
MXNH	8.29571	16	0.000218594	0	0
