PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	519.159	0	0	56	0.188552
HWJ	46.3535	0	0	5	0.016835
>T	28.3231	2622	0.0358221	4	0.013468
WXMS	27.8121	0	0	3	0.010101
SLH	27.8121	0	0	3	0.010101
>L	24.9993	1282	0.0175149	0	0
QRJH	21.121	2	2.73243e-05	3	0.010101
HLW>	19.3221	12	0.000163946	4	0.013468
SWSJK	18.5414	0	0	2	0.00673401
MDMJ	18.5414	0	0	2	0.00673401
J<PW	18.5414	0	0	2	0.00673401
WCD	18.5414	0	0	2	0.00673401
XZWN	18.5414	0	0	2	0.00673401
LJC<	18.5414	0	0	2	0.00673401
JYRW	18.5414	0	0	2	0.00673401
MCL	18.5414	0	0	2	0.00673401
TBJV	18.5414	0	0	2	0.00673401
RC<	17.3246	5	6.83107e-05	3	0.010101
GWJM	16.964	17	0.000232256	4	0.013468
>CR	16.3448	1664	0.0227338	3	0.010101
W>T	16.1462	828	0.0113122	0	0
JBW>	14.4915	9	0.000122959	3	0.010101
<MJM	13.9618	10	0.000136621	3	0.010101
P<L	13.0352	2	2.73243e-05	2	0.00673401
BY<	13.0352	2	2.73243e-05	2	0.00673401
>WN	13.0352	2	2.73243e-05	2	0.00673401
BNJ	12.1486	623	0.00851151	0	0
>RY	12.0718	131	0.00178974	7	0.023569
MCH	11.9926	615	0.00840221	0	0
BDJ	11.8698	3	4.09864e-05	2	0.00673401
JFR>L	10.6666	547	0.00747319	0	0
RBJM	10.3903	20	0.000273243	3	0.010101
XMS	10.2631	5	6.83107e-05	2	0.00673401
HNBJ>	10.2631	5	6.83107e-05	2	0.00673401
R<	9.89484	22	0.000300567	3	0.010101
BJM	9.66103	6	8.19728e-05	2	0.00673401
W>P	8.68935	8	0.000109297	2	0.00673401
NPCW	8.68935	8	0.000109297	2	0.00673401
KLH	8.28583	9	0.000122959	2	0.00673401
P	8.28583	9	0.000122959	2	0.00673401
JCBJ	7.92293	10	0.000136621	2	0.00673401
>DM	7.8034	33	0.00045085	3	0.010101
WJ>SP	7.5935	11	0.000150283	2	0.00673401
CM<TJ	7.29214	12	0.000163946	2	0.00673401
BQRB	6.75775	14	0.00019127	2	0.00673401
JY>	6.35658	44	0.000601134	3	0.010101
LK	6.31807	324	0.00442653	0	0
BN	6.31807	324	0.00442653	0	0
<MD	6.08606	17	0.000232256	2	0.00673401
L>MR	5.94757	305	0.00416695	0	0
>TW	5.90857	303	0.00413963	0	0
MCPV	5.88908	18	0.000245918	2	0.00673401
>JC	5.59656	287	0.00392103	0	0
RWX	5.52741	20	0.000273243	2	0.00673401
W>JN	5.36069	21	0.000286905	2	0.00673401
>TM	5.14806	264	0.0036068	0	0
>W	4.99206	256	0.00349751	0	0
LJHWH	4.97256	255	0.00348384	0	0
>LHJK	4.91405	252	0.00344286	0	0
LPNJ	4.81655	247	0.00337455	0	0
MYRJM	4.75805	244	0.00333356	0	0
KN	4.66151	160	0.00218594	5	0.016835
HKHN	4.58255	235	0.0032106	0	0
LKM	4.54355	233	0.00318328	0	0
>LHJM	4.44605	228	0.00311497	0	0
>HRN	4.34855	223	0.00304666	0	0
MN	4.25105	218	0.00297835	0	0
H<M	4.19255	215	0.00293736	0	0
CNH	4.07555	209	0.00285539	0	0
KL	4.01974	967	0.0132113	4	0.013468
JHJH	4.01704	206	0.0028144	0	0
K>CR	3.95854	203	0.00277341	0	0
CM	3.86104	198	0.0027051	0	0
WJ>MR	3.83624	632	0.00863447	2	0.00673401
HZH	3.82204	196	0.00267778	0	0
WJHJ	3.78304	194	0.00265045	0	0
LMH	3.75614	34	0.000464513	2	0.00673401
DBR	3.68554	189	0.00258214	0	0
>XD	3.68554	189	0.00258214	0	0
PR<H	3.58804	184	0.00251383	0	0
LJ	3.45154	177	0.0024182	0	0
KJ	3.40062	988	0.0134982	16	0.0538721
LHM	3.19804	164	0.00224059	0	0
JWSP	3.15904	162	0.00221327	0	0
