PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1337.77	0	0	197	0.13055
>PRJM	134.37	22	0.000300567	30	0.0198807
>CR	59.0571	1664	0.0227338	10	0.00662691
>T	42.0656	2622	0.0358221	36	0.0238569
MCH	41.9479	615	0.00840221	0	0
CMRWN	40.7441	0	0	6	0.00397614
>WN	38.1365	2	2.73243e-05	7	0.00463883
JZR<>L	33.9534	0	0	5	0.00331345
ZNWNJM	33.9534	0	0	5	0.00331345
>CWR	33.3871	4	5.46485e-05	7	0.00463883
MZBXWTM	27.1628	0	0	4	0.00265076
JHWDH	27.1447	42	0.00057381	12	0.00795229
KJ	25.9391	988	0.0134982	69	0.0457256
<MJ	24.4673	31	0.000423526	10	0.00662691
W>T	23.1286	828	0.0113122	7	0.00463883
W>NKJ	22.5237	13	0.000177608	7	0.00463883
<TH	21.0265	30	0.000409864	9	0.00596421
BJT	20.9034	82	0.0011203	14	0.00927767
L>MR	20.8034	305	0.00416695	0	0
>TW	20.667	303	0.00413963	0	0
W>RFTJK	20.3721	0	0	3	0.00198807
BLJ	20.3721	0	0	3	0.00198807
JRB	20.3721	0	0	3	0.00198807
M<LLJHM	20.3721	0	0	3	0.00198807
W>PRJM	20.3721	0	0	3	0.00198807
>RXM	20.3721	0	0	3	0.00198807
M>HBJH	20.3721	0	0	3	0.00198807
>HJ	20.3721	0	0	3	0.00198807
NDMH	20.3721	0	0	3	0.00198807
<YBJM	20.3721	0	0	3	0.00198807
WPQDTJ	20.3721	0	0	3	0.00198807
ZRJM	20.3721	0	0	3	0.00198807
WTJRWC	20.3721	0	0	3	0.00198807
L>PRJM	19.661	2	2.73243e-05	4	0.00265076
RXMH	19.661	2	2.73243e-05	4	0.00265076
JLKW	19.2045	6	8.19728e-05	5	0.00331345
LHM	18.1821	164	0.00224059	19	0.0125911
JZBXW	17.8067	3	4.09864e-05	4	0.00265076
LBM	17.8067	3	4.09864e-05	4	0.00265076
W<M	17.8067	3	4.09864e-05	4	0.00265076
W>JN	17.4764	21	0.000286905	7	0.00463883
>W	17.4612	256	0.00349751	0	0
LPNJ	16.8474	247	0.00337455	0	0
HKHN	16.0289	235	0.0032106	0	0
WJ>MR	15.9092	632	0.00863447	6	0.00397614
>HRN	15.2104	223	0.00304666	0	0
H<M	14.6647	215	0.00293736	0	0
CNH	14.2555	209	0.00285539	0	0
KL	14.2411	967	0.0132113	14	0.00927767
N>M	14.1118	6	8.19728e-05	4	0.00265076
LKN	14.1118	6	8.19728e-05	4	0.00265076
JFR>L	14.0936	547	0.00747319	38	0.0251822
JHJH	14.0508	206	0.0028144	0	0
RWX	14.0177	20	0.000273243	6	0.00397614
