PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3950.41	0	0	1364	0.0695528
N>M	457.369	6	8.19728e-05	175	0.00892356
BBL	382.649	2	2.73243e-05	139	0.00708786
JRMJHW	330.166	0	0	114	0.00581306
MCH	329.519	615	0.00840221	0	0
JHWDH	316.102	42	0.00057381	175	0.00892356
KH	297.531	38	0.000519161	163	0.00831166
MLK	225.392	72	0.000983674	165	0.00841365
YB>WT	222.505	2	2.73243e-05	83	0.00423232
>MR	219.138	84	0.00114762	172	0.00877059
JRWCLM	214.318	0	0	74	0.00377339
BNJ	164.697	623	0.00851151	34	0.00173372
HMLK	139.482	6	8.19728e-05	61	0.0031105
WJ>MR	128.244	632	0.00863447	49	0.0024986
LKN	123.287	6	8.19728e-05	55	0.00280455
>HRN	119.484	223	0.00304666	0	0
>W	113.14	256	0.00349751	3	0.000152975
YDQJHW	107.159	0	0	37	0.0018867
HNNJ	97.0381	22	0.000300567	63	0.00321248
HW>	96.2765	451	0.00616162	33	0.00168273
HNBJ>	95.1377	5	6.83107e-05	43	0.00219265
HKHN	87.1251	235	0.0032106	6	0.000305951
JWSP	86.8001	162	0.00221327	0	0
>T	81.2406	2622	0.0358221	535	0.0272806
HKFDJM	81.0935	0	0	28	0.00142777
>LHJK	79.0558	252	0.00344286	10	0.000509918
MW<D	73.9408	138	0.00188537	0	0
LW	68.2383	348	0.00475442	28	0.00142777
JHWH	67.8748	1526	0.0208484	691	0.0352353
NBWKDR>YR	66.6125	0	0	23	0.00117281
>LJHM	64.3526	17	0.000232256	44	0.00224364
>BRHM	62.1531	116	0.00158481	0	0
CM<W	62.1162	17	0.000232256	43	0.00219265
HNB>JM	60.8201	0	0	21	0.00107083
>XD	57.5055	189	0.00258214	8	0.000407934
MCPXT	55.7235	104	0.00142086	0	0
BJT	55.5876	82	0.0011203	83	0.00423232
C>RJT	55.0277	0	0	19	0.000968844
>HL	54.6519	102	0.00139354	0	0
LJHWH	53.5964	255	0.00348384	19	0.000968844
HMZBX	53.5803	100	0.00136621	0	0
CNJ	52.1953	125	0.00170777	2	0.000101984
LCMH	52.1315	0	0	18	0.000917852
GDLJHW	52.1315	0	0	18	0.000917852
VBXJM	49.2353	0	0	17	0.00086686
HFRJM	49.2353	0	0	17	0.00086686
JHWJQJM	49.2353	0	0	17	0.00086686
HSPR	49.2353	0	0	17	0.00086686
H<JR	48.3889	35	0.000478175	50	0.00254959
HZ>T	47.9943	84	0.00114762	79	0.00402835
CNH	47.9203	209	0.00285539	14	0.000713885
>LHJM	47.8928	228	0.00311497	17	0.00086686
LBNJ	46.6149	87	0.00118861	0	0
>XJQM	46.3391	0	0	16	0.000815869
BBLH	46.3391	0	0	16	0.000815869
J>CJHW	46.3391	0	0	16	0.000815869
HMH	46.046	20	0.000273243	38	0.00193769
WJDBR	45.9949	140	0.0019127	5	0.000254959
PR<H	45.8261	184	0.00251383	11	0.00056091
>LHM	45.0075	84	0.00114762	0	0
HR<H	44.9448	10	0.000136621	29	0.00147876
>LP	42.3284	79	0.00107931	0	0
CNJM	41.9527	123	0.00168044	4	0.000203967
DBRJ	41.1155	43	0.000587472	51	0.00260058
>JK	40.5467	0	0	14	0.000713885
HMCKN	40.1852	75	0.00102466	0	0
LPNJ	39.6881	247	0.00337455	24	0.0012238
>XT	39.6494	74	0.001011	0	0
BQR	39.6494	74	0.001011	0	0
JYXQ	39.6494	74	0.001011	0	0
ZHB	39.1315	117	0.00159847	4	0.000203967
HQDC	39.1136	73	0.000997336	0	0
T<FH	38.6933	98	0.00133889	2	0.000101984
J<QB	38.6263	160	0.00218594	10	0.000509918
M>WT	38.4909	107	0.00146185	3	0.000152975
CQR	37.8347	6	8.19728e-05	22	0.00112182
HXRB	37.6505	0	0	13	0.000662893
QDC	37.5309	105	0.00143452	3	0.000152975
W<FJT	37.5062	70	0.000956349	0	0
MLKJ	35.4308	6	8.19728e-05	21	0.00107083
LW>	34.8528	2	2.73243e-05	16	0.000815869
CB<T	34.8272	65	0.000888039	0	0
H<DH	34.8272	65	0.000888039	0	0
>WTJ	34.7544	0	0	12	0.000611901
NTNJH	34.7544	0	0	12	0.000611901
H>XD	34.2914	64	0.000874377	0	0
KFDJM	33.9344	3	4.09864e-05	17	0.00086686
CM<TM	33.9344	3	4.09864e-05	17	0.00086686
WJR>	33.7612	88	0.00120227	2	0.000101984
KN<N	33.7556	63	0.000860715	0	0
>LHJ	33.261	68	0.000929025	60	0.00305951
WL>	33.2062	358	0.00489104	188	0.00958646
LBN	32.684	61	0.00083339	0	0
NBWZR>DN	31.8582	0	0	11	0.00056091
HMVRH	31.8582	0	0	11	0.00056091
CDD	31.8582	0	0	11	0.00056091
HHJ>	31.8582	0	0	11	0.00056091
CPN	31.8582	0	0	11	0.00056091
>BWTJKM	31.8582	0	0	11	0.00056091
WJS<W	31.6124	59	0.000806066	0	0
KJ	31.6024	988	0.0134982	424	0.0216205
DBRTJ	31.1872	9	0.000122959	22	0.00112182
KLH	31.1872	9	0.000122959	22	0.00112182
WT>MR	31.0766	58	0.000792404	0	0
B>JM	30.9282	4	5.46485e-05	17	0.00086686
M>JN	30.9282	4	5.46485e-05	17	0.00086686
XMCH	30.005	56	0.00076508	0	0
W<L	29.8964	116	0.00158481	81	0.00413034
KSP	29.8876	97	0.00132523	4	0.000203967
>XJK	29.4692	55	0.000751417	0	0
HNG<	29.4692	55	0.000751417	0	0
JHJH	29.401	206	0.0028144	22	0.00112182
JCBJ	29.3248	10	0.000136621	22	0.00112182
XNNJH	28.962	0	0	10	0.000509918
BJRWCLM	28.962	0	0	10	0.000509918
WQWL	28.962	0	0	10	0.000509918
YJWN	28.962	0	0	10	0.000509918
MYPWN	28.962	0	0	10	0.000509918
NPCM	28.962	0	0	10	0.000509918
NCM<	28.962	0	0	10	0.000509918
WPQDTJ	28.962	0	0	10	0.000509918
HNC>RJM	28.962	0	0	10	0.000509918
MMLKWT	28.962	0	0	10	0.000509918
WBJN	28.9334	54	0.000737755	0	0
MZBX	28.3976	53	0.000724093	0	0
WJXNW	28.3976	53	0.000724093	0	0
MPNJ	28.3647	31	0.000423526	36	0.0018357
MN	28.1657	218	0.00297835	25	0.00127479
<FRJM	27.8618	52	0.000710431	0	0
BL<M	27.8618	52	0.000710431	0	0
>CH	27.8049	107	0.00146185	6	0.000305951
>BJW	27.4274	75	0.00102466	2	0.000101984
HMJM	27.326	51	0.000696769	0	0
HDM	27.326	51	0.000696769	0	0
BMJM	27.326	51	0.000696769	0	0
W>L	27.1889	117	0.00159847	79	0.00402835
XRB	26.6968	17	0.000232256	26	0.00132579
HZH	26.4932	196	0.00267778	113	0.00576207
<FR	26.4625	73	0.000997336	2	0.000101984
>BRM	26.2543	49	0.000669445	0	0
LMCPXTM	26.2543	49	0.000669445	0	0
>LJ	26.1579	87	0.00118861	64	0.00326347
JRMJH	26.0658	0	0	9	0.000458926
WNPYTJ	26.0658	0	0	9	0.000458926
JWXNN	26.0658	0	0	9	0.000458926
HMGLH	26.0658	0	0	9	0.000458926
DWD	26.0658	0	0	9	0.000458926
NB>JM	26.0658	0	0	9	0.000458926
WBR<B	26.0658	0	0	9	0.000458926
PQDTM	26.0658	0	0	9	0.000458926
MJRWCLM	26.0658	0	0	9	0.000458926
HXJLJM	26.0658	0	0	9	0.000458926
KS>	26.0658	0	0	9	0.000458926
R<TM	26.0658	0	0	9	0.000458926
R<H	26.0402	22	0.000300567	29	0.00147876
<LJW	25.6031	151	0.00206298	14	0.000713885
W>HRN	25.1827	47	0.00064212	0	0
BRWK	24.8223	17	0.000232256	25	0.00127479
CB<	24.8187	78	0.00106565	3	0.000152975
>TW	24.6659	303	0.00413963	45	0.00229463
LMVH	24.6469	46	0.000628458	0	0
BHR	24.6469	46	0.000628458	0	0
BCMN	24.6469	46	0.000628458	0	0
VHWR	24.6469	46	0.000628458	0	0
T>KLW	24.6469	46	0.000628458	0	0
BXRB	24.5019	13	0.000177608	22	0.00112182
YWH	24.3963	112	0.00153016	8	0.000407934
BXYR	24.3427	2	2.73243e-05	12	0.000611901
CTJ	23.5859	67	0.000915363	2	0.000101984
WJQR>	23.5268	90	0.00122959	5	0.000254959
MWSR	23.1696	0	0	8	0.000407934
HWJ	23.1696	0	0	8	0.000407934
MBQCJ	23.1696	0	0	8	0.000407934
NSKJM	23.1696	0	0	8	0.000407934
>PQD	23.1696	0	0	8	0.000407934
QR>W	23.1696	0	0	8	0.000407934
HNBJ>JM	23.1696	0	0	8	0.000407934
WCBW	23.1696	0	0	8	0.000407934
YRH	23.1696	0	0	8	0.000407934
WJCBJ	23.1696	0	0	8	0.000407934
WJ<F	23.1652	82	0.0011203	4	0.000203967
HJH	22.8776	52	0.000710431	44	0.00224364
<MK	22.6337	65	0.000888039	2	0.000101984
MBN	22.5037	42	0.00057381	0	0
>XJW	22.3492	94	0.00128424	6	0.000305951
<LJHM	22.2094	29	0.000396202	31	0.00158075
XJL	22.1783	8	0.000109297	17	0.00086686
HJ>	22.1783	8	0.000109297	17	0.00086686
BBQR	21.9679	41	0.000560148	0	0
H>CH	21.9679	41	0.000560148	0	0
SLT	21.9679	41	0.000560148	0	0
RQ	21.9679	41	0.000560148	0	0
CMMH	21.7674	2	2.73243e-05	11	0.00056091
WM<LH	21.4321	40	0.000546485	0	0
>XJ	21.4321	40	0.000546485	0	0
MVH	21.4321	40	0.000546485	0	0
WJWLD	21.4321	40	0.000546485	0	0
>BTM	21.4321	40	0.000546485	0	0
VM>	21.4321	40	0.000546485	0	0
WJTN	21.4124	78	0.00106565	4	0.000203967
>MRJM	21.3497	3	4.09864e-05	12	0.000611901
BJD	21.043	45	0.000614796	39	0.00198868
BKWR	20.8963	39	0.000532823	0	0
WJ<FW	20.8963	39	0.000532823	0	0
B>HL	20.8963	39	0.000532823	0	0
XMCJM	20.8963	39	0.000532823	0	0
BNJW	20.7174	69	0.000942687	3	0.000152975
BLQ	20.3605	38	0.000519161	0	0
BGDJW	20.3605	38	0.000519161	0	0
JVM>	20.3605	38	0.000519161	0	0
NRJH	20.2734	0	0	7	0.000356943
PCXWR	20.2734	0	0	7	0.000356943
WHCBTJM	20.2734	0	0	7	0.000356943
CBWT	20.2734	0	0	7	0.000356943
JWCBJ	20.2734	0	0	7	0.000356943
M<LLJKM	20.2734	0	0	7	0.000356943
LQVR	20.2734	0	0	7	0.000356943
HPQJD	20.2734	0	0	7	0.000356943
HVW	20.2734	0	0	7	0.000356943
NLKDH	20.2734	0	0	7	0.000356943
WBXYWT	20.2734	0	0	7	0.000356943
>ZNM	20.2734	0	0	7	0.000356943
HCMJ<W	20.2734	0	0	7	0.000356943
MDW<	20.0729	8	0.000109297	16	0.000815869
WNTN	19.8247	37	0.000505499	0	0
NX	19.8247	37	0.000505499	0	0
R>WBN	19.8247	37	0.000505499	0	0
WTLD	19.8247	37	0.000505499	0	0
HNH	19.5517	100	0.00136621	64	0.00326347
JWCB	19.3555	14	0.00019127	20	0.00101984
>LH	19.3478	133	0.00181706	14	0.000713885
QRBNW	19.2889	36	0.000491837	0	0
K>CR	19.2296	203	0.00277341	28	0.00142777
WBDBR	19.2201	2	2.73243e-05	10	0.000509918
LBJ	19.2201	2	2.73243e-05	10	0.000509918
<LJKM	18.9499	19	0.000259581	23	0.00117281
<MJ	18.9482	31	0.000423526	30	0.00152975
LBM	18.9173	3	4.09864e-05	11	0.00056091
NQR>	18.9173	3	4.09864e-05	11	0.00056091
>MRW	18.9028	4	5.46485e-05	12	0.000611901
H>LHJM	18.8642	57	0.000778742	2	0.000101984
JCM<>L	18.7634	13	0.000177608	19	0.000968844
>RB<JM	18.7531	35	0.000478175	0	0
CC	18.7531	35	0.000478175	0	0
WBJWM	18.7531	35	0.000478175	0	0
HGR	18.7531	35	0.000478175	0	0
WKPR	18.7531	35	0.000478175	0	0
CLCH	18.7531	35	0.000478175	0	0
<ZJM	18.7531	35	0.000478175	0	0
WJXJ	18.7531	35	0.000478175	0	0
KBFJM	18.7531	35	0.000478175	0	0
>LHJKM	18.6958	85	0.00116128	6	0.000305951
<MW	18.4799	64	0.000874377	3	0.000152975
QWL	18.4635	28	0.00038254	28	0.00142777
XMC	18.2173	34	0.000464513	0	0
WJFM	18.2173	34	0.000464513	0	0
T>KL	18.2173	34	0.000464513	0	0
DBR	18.1061	189	0.00258214	100	0.00509918
BMYRJM	17.6815	33	0.00045085	0	0
CNJHM	17.6815	33	0.00045085	0	0
JWMT	17.6815	33	0.00045085	0	0
WR>H	17.6815	33	0.00045085	0	0
LXV>T	17.6815	33	0.00045085	0	0
LMXNH	17.6815	33	0.00045085	0	0
NJXX	17.6815	33	0.00045085	0	0
F<JR	17.6815	33	0.00045085	0	0
CMN	17.6815	33	0.00045085	0	0
WBJD	17.5638	7	9.56349e-05	14	0.000713885
ZRJM	17.3772	0	0	6	0.000305951
HJHWDJM	17.3772	0	0	6	0.000305951
H>RYWT	17.3772	0	0	6	0.000305951
NBWKDN>YR	17.3772	0	0	6	0.000305951
WLQLLH	17.3772	0	0	6	0.000305951
WJRWCLM	17.3772	0	0	6	0.000305951
MDRKW	17.3772	0	0	6	0.000305951
HJWYR	17.3772	0	0	6	0.000305951
JSPDW	17.3772	0	0	6	0.000305951
M>NW	17.3772	0	0	6	0.000305951
BCQR	17.3772	0	0	6	0.000305951
BQWLJ	17.3772	0	0	6	0.000305951
MPJ	17.3772	0	0	6	0.000305951
WB<RJ	17.3772	0	0	6	0.000305951
KRTW	17.3772	0	0	6	0.000305951
FRJH	17.3772	0	0	6	0.000305951
NWH	17.3772	0	0	6	0.000305951
QWLM	17.3772	0	0	6	0.000305951
NB>	17.3772	0	0	6	0.000305951
MCPXWT	17.3772	0	0	6	0.000305951
FMXH	17.3772	0	0	6	0.000305951
NPLW	17.3772	0	0	6	0.000305951
BC<RJ	17.3772	0	0	6	0.000305951
MDJ	17.3772	0	0	6	0.000305951
CTW	17.3772	0	0	6	0.000305951
LCLL	17.3772	0	0	6	0.000305951
NMY>W	17.3772	0	0	6	0.000305951
WCBR	17.3772	0	0	6	0.000305951
BMYPH	17.3772	0	0	6	0.000305951
R<NN	17.3772	0	0	6	0.000305951
H>ZWR	17.3772	0	0	6	0.000305951
LXRBH	17.3772	0	0	6	0.000305951
CMJ	17.1665	6	8.19728e-05	13	0.000662893
>WTM	17.1582	39	0.000532823	33	0.00168273
>CTW	17.1457	32	0.000437188	0	0
PR	17.1457	32	0.000437188	0	0
>CR	17.0733	1664	0.0227338	409	0.0208556
W>JN	16.9584	21	0.000286905	23	0.00117281
BNJHM	16.7063	2	2.73243e-05	9	0.000458926
LBLTJ	16.6301	18	0.000245918	21	0.00107083
MNCH	16.6099	31	0.000423526	0	0
QVRT	16.6099	31	0.000423526	0	0
HXYR	16.6099	31	0.000423526	0	0
HMXNH	16.6099	31	0.000423526	0	0
HQRB	16.6099	31	0.000423526	0	0
TTN	16.6099	31	0.000423526	0	0
L<LH	16.6099	31	0.000423526	0	0
WLQXT	16.6099	31	0.000423526	0	0
H>MRJ	16.6099	31	0.000423526	0	0
BKL	16.5757	140	0.0019127	17	0.00086686
MF>	16.5241	3	4.09864e-05	10	0.000509918
B<RJ	16.5241	3	4.09864e-05	10	0.000509918
WHNH	16.4715	119	0.00162579	13	0.000662893
CLWM	16.3288	12	0.000163946	17	0.00086686
HGWJM	16.313	27	0.000368878	26	0.00132579
RXL	16.0741	30	0.000409864	0	0
SJNJ	16.0741	30	0.000409864	0	0
HXV>T	16.0741	30	0.000409864	0	0
>L<ZR	16.0741	30	0.000409864	0	0
<DT	16.0741	30	0.000409864	0	0
WBNJW	16.0741	30	0.000409864	0	0
>RB<H	16.0741	30	0.000409864	0	0
L>CH	16.0741	30	0.000409864	0	0
H>HL	16.0741	30	0.000409864	0	0
H<NN	16.0741	30	0.000409864	0	0
PJ	15.8416	58	0.000792404	3	0.000152975
J>KL	15.6281	50	0.000683107	2	0.000101984
JMJ	15.6281	50	0.000683107	2	0.000101984
WLQX	15.5383	29	0.000396202	0	0
WCC	15.5383	29	0.000396202	0	0
TKLT	15.5383	29	0.000396202	0	0
WVM>	15.5383	29	0.000396202	0	0
HBQR	15.5383	29	0.000396202	0	0
CMWT	15.5383	29	0.000396202	0	0
BLWLH	15.5383	29	0.000396202	0	0
CWR	15.5383	29	0.000396202	0	0
HN<R	15.5383	29	0.000396202	0	0
MBJ>	15.0547	6	8.19728e-05	12	0.000611901
H<DT	15.0025	28	0.00038254	0	0
LWJ	15.0025	28	0.00038254	0	0
>JL	15.0025	28	0.00038254	0	0
HCLMJM	15.0025	28	0.00038254	0	0
H>XT	15.0025	28	0.00038254	0	0
GD	15.0025	28	0.00038254	0	0
QRBN	15.0025	28	0.00038254	0	0
XV>	15.0025	28	0.00038254	0	0
L>H	15.0025	28	0.00038254	0	0
FRH	15.0025	28	0.00038254	0	0
WXMC	15.0025	28	0.00038254	0	0
HMZBXH	15.0025	28	0.00038254	0	0
MYWK	15.0025	28	0.00038254	0	0
RB	14.9958	25	0.000341553	24	0.0012238
CLCJM	14.7165	48	0.000655782	2	0.000101984
HCBJ<J	14.7165	48	0.000655782	2	0.000101984
J<N	14.6624	5	6.83107e-05	11	0.00056091
LDWD	14.481	0	0	5	0.000254959
QDCW	14.481	0	0	5	0.000254959
HHMH	14.481	0	0	5	0.000254959
XMTJ	14.481	0	0	5	0.000254959
WYDQH	14.481	0	0	5	0.000254959
W<MJ	14.481	0	0	5	0.000254959
BTWLT	14.481	0	0	5	0.000254959
XLLJ	14.481	0	0	5	0.000254959
MGWR	14.481	0	0	5	0.000254959
<YMWT	14.481	0	0	5	0.000254959
HMQNH	14.481	0	0	5	0.000254959
WB<T	14.481	0	0	5	0.000254959
JWYR	14.481	0	0	5	0.000254959
HJDD	14.481	0	0	5	0.000254959
MXCBWT	14.481	0	0	5	0.000254959
<LTH	14.481	0	0	5	0.000254959
HMYPTH	14.481	0	0	5	0.000254959
HGLH	14.481	0	0	5	0.000254959
HGWLH	14.481	0	0	5	0.000254959
LJHWJQJM	14.481	0	0	5	0.000254959
TNTN	14.481	0	0	5	0.000254959
WHYTJ	14.481	0	0	5	0.000254959
CLXTJM	14.481	0	0	5	0.000254959
NXLTJ	14.481	0	0	5	0.000254959
BYJWN	14.481	0	0	5	0.000254959
T>NJM	14.481	0	0	5	0.000254959
JDBRW	14.481	0	0	5	0.000254959
JQBRW	14.481	0	0	5	0.000254959
