PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4206.55	0	0	1291	0.0975223
>T	426.968	2622	0.0358221	166	0.0125397
MCH	248.066	615	0.00840221	2	0.00015108
>CR	205.532	1664	0.0227338	136	0.0102735
YB>WT	185.092	2	2.73243e-05	62	0.00468349
BNJ	178.684	623	0.00851151	15	0.0011331
W>T	138.256	828	0.0113122	51	0.00385255
YJWN	117.301	0	0	36	0.00271944
WJ>MR	112.872	632	0.00863447	36	0.00271944
HKHN	102.586	235	0.0032106	0	0
XZQJHW	101.009	0	0	31	0.00234174
>HRN	97.3474	223	0.00304666	0	0
>CWR	96.091	4	5.46485e-05	37	0.00279498
>TW	92.6387	303	0.00413963	6	0.000453241
>L	90.3593	1282	0.0175149	148	0.0111799
JRWCLM	87.9758	0	0	27	0.00203958
>W	83.4533	256	0.00349751	4	0.00030216
>MR	73.7541	84	0.00114762	82	0.00619429
HWJ	71.684	0	0	22	0.00166188
BL	68.4257	0	0	21	0.00158634
W>JN	65.8178	21	0.000286905	42	0.00317268
>TM	65.4502	264	0.0036068	9	0.000679861
KH	63.4435	38	0.000519161	52	0.00392809
WJDBR	61.115	140	0.0019127	0	0
MW<D	60.2419	138	0.00188537	0	0
MJ	59.0634	62	0.000847052	63	0.00475903
JWSP	55.6331	162	0.00221327	2	0.00015108
CNJ	54.5669	125	0.00170777	0	0
N>M	53.616	6	8.19728e-05	25	0.0018885
JC<JHW	52.1338	0	0	16	0.00120864
KLM	51.6503	3	4.09864e-05	21	0.00158634
LKN	50.7958	6	8.19728e-05	24	0.00181296
PR<H	50.4247	184	0.00251383	5	0.000377701
MN	48.7526	218	0.00297835	9	0.000679861
LPNJ	46.9551	247	0.00337455	13	0.000982021
M>WT	46.7093	107	0.00146185	0	0
HW>	46.5346	451	0.00616162	42	0.00317268
MCPXT	45.3997	104	0.00142086	0	0
>HL	44.5266	102	0.00139354	0	0
RWX	43.7054	20	0.000273243	32	0.00241728
GWJM	41.3111	17	0.000232256	29	0.00219066
>XJW	41.0343	94	0.00128424	0	0
JXDW	39.0332	14	0.00019127	26	0.00196404
>LHJK	38.6059	252	0.00344286	17	0.00128418
