PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2742.62	0	0	658	0.0725789
JHWC<	559.942	16	0.000218594	159	0.0175381
MGRCH	204.238	0	0	49	0.00540481
HJRDN	126.129	38	0.000519161	59	0.00650783
HGBWL	120.976	5	6.83107e-05	36	0.00397088
<RJM	120.153	11	0.000150283	41	0.00452239
MLK	114.076	72	0.000983674	70	0.00772116
H<J	108.371	0	0	26	0.00286786
WXYRJHN	108.371	0	0	26	0.00286786
JRJXW	87.5305	0	0	21	0.00231635
H<JR	75.3098	35	0.000478175	41	0.00452239
<L	75.1807	995	0.0135938	48	0.00529451
>W	68.0312	256	0.00349751	0	0
WMMVH	62.5218	0	0	15	0.00165453
WBJT	55.9594	5	6.83107e-05	19	0.00209574
HJ>	55.4943	8	0.000109297	21	0.00231635
GBWL	52.1303	19	0.000259581	26	0.00286786
MYPWN	50.0174	0	0	12	0.00132363
PR<H	48.8975	184	0.00251383	0	0
MNCH	46.0026	31	0.000423526	29	0.00319876
GB<WN	45.8493	0	0	11	0.00121332
>RWN	45.7513	13	0.000177608	21	0.00231635
JFR>L	43.5294	547	0.00747319	149	0.016435
QRJT	42.9368	2	2.73243e-05	13	0.00143393
NXLT	42.5025	6	8.19728e-05	16	0.00176484
>LHJK	42.4325	252	0.00344286	4	0.000441209
HMNCH	41.6812	0	0	10	0.00110302
L>	39.9688	947	0.012938	65	0.00716964
>WTH	37.5131	0	0	9	0.00099272
YPWNH	37.5131	0	0	9	0.00099272
TY>TJW	37.5131	0	0	9	0.00099272
HMLKJM	35.8026	3	4.09864e-05	12	0.00132363
NXLTM	35.2184	2	2.73243e-05	11	0.00121332
W<BR	34.2439	5	6.83107e-05	13	0.00143393
XYWR	33.3449	0	0	8	0.000882418
JRWCLM	33.3449	0	0	8	0.000882418
HHJ>	33.3449	0	0	8	0.000882418
WJKM	33.3449	0	0	8	0.000882418
KTP	33.3449	0	0	8	0.000882418
GD	33.0976	28	0.00038254	23	0.00253695
CNH	32.4892	209	0.00285539	4	0.000441209
LJHWH	32.4169	255	0.00348384	7	0.000772116
NF>J	32.0983	3	4.09864e-05	11	0.00121332
W<LH	32.0983	3	4.09864e-05	11	0.00121332
XBRWN	32.0811	6	8.19728e-05	13	0.00143393
JCBJ	31.5287	10	0.000136621	15	0.00165453
NGBH	31.3992	2	2.73243e-05	10	0.00110302
WGBWL	31.3992	2	2.73243e-05	10	0.00110302
ZHB	31.0924	117	0.00159847	0	0
MPNJKM	30.749	5	6.83107e-05	12	0.00132363
H>LH	30.7238	85	0.00116128	39	0.00430179
HKHNJM	30.4693	20	0.000273243	19	0.00209574
LK	30.1622	324	0.00442653	13	0.00143393
<D	30.0362	280	0.0038254	83	0.00915508
MZRXH	29.9563	9	0.000122959	14	0.00154423
HGWRL	29.5148	4	5.46485e-05	11	0.00121332
J<QB	29.3028	160	0.00218594	2	0.000220604
LKJC	29.1768	0	0	7	0.000772116
H>RWN	29.1768	0	0	7	0.000772116
GBWLM	29.1768	0	0	7	0.000772116
HJMH	29.1768	0	0	7	0.000772116
WPG<	29.1768	0	0	7	0.000772116
H<RJM	29.1075	24	0.000327891	20	0.00220604
>HRN	28.7253	223	0.00304666	6	0.000661813
M>WT	28.4349	107	0.00146185	0	0
WJHJ	27.8852	194	0.00265045	63	0.00694904
>NJ	27.3806	152	0.00207664	2	0.000220604
B<BR	27.3032	13	0.000177608	15	0.00165453
MYRJM	27.2441	244	0.00333356	8	0.000882418
JMH	26.8101	9	0.000122959	13	0.00143393
<RJ	26.0742	14	0.00019127	15	0.00165453
LKD	25.0087	0	0	6	0.000661813
WLMLKH	25.0087	0	0	6	0.000661813
<KN	25.0087	0	0	6	0.000661813
BCWPRWT	25.0087	0	0	6	0.000661813
GWRL	25.0087	0	0	6	0.000661813
LMCPXWTM	25.0087	0	0	6	0.000661813
MZRX	25.0087	0	0	6	0.000661813
WJLXMW	25.0087	0	0	6	0.000661813
JRMWT	25.0087	0	0	6	0.000661813
J<RJM	25.0087	0	0	6	0.000661813
>BWTJKM	25.0087	0	0	6	0.000661813
HM<RH	25.0087	0	0	6	0.000661813
W<JN	25.0087	0	0	6	0.000661813
>XJW	24.9802	94	0.00128424	0	0
BJT	24.903	82	0.0011203	35	0.00386058
WJDBR	24.5184	140	0.0019127	2	0.000220604
>WTM	24.4567	39	0.000532823	23	0.00253695
MW<D	24.0441	138	0.00188537	2	0.000220604
<BRW	23.8684	2	2.73243e-05	8	0.000882418
WJR>	23.3857	88	0.00120227	0	0
LPJ	23.2579	14	0.00019127	14	0.00154423
CBV	22.7571	12	0.000163946	13	0.00143393
LMCPXTM	22.5651	49	0.000669445	25	0.00275756
JHWDH	22.5547	42	0.00057381	23	0.00253695
FRJD	22.5278	4	5.46485e-05	9	0.00099272
H<RBH	22.5278	4	5.46485e-05	9	0.00099272
R>WBN	21.4296	37	0.000505499	21	0.00231635
CMC	21.2512	3	4.09864e-05	8	0.000882418
LJFR>L	21.2512	3	4.09864e-05	8	0.000882418
WMGRCJHN	20.8406	0	0	5	0.000551511
RMWN	20.8406	0	0	5	0.000551511
WT>R	20.8406	0	0	5	0.000551511
TPWX	20.8406	0	0	5	0.000551511
MQDH	20.8406	0	0	5	0.000551511
XWRN	20.8406	0	0	5	0.000551511
GJ	20.8406	0	0	5	0.000551511
HLBNWN	20.8406	0	0	5	0.000551511
HRDPJM	20.8406	0	0	5	0.000551511
WBNWTJH	20.8406	0	0	5	0.000551511
MMLKWT	20.8406	0	0	5	0.000551511
>WTW	20.8406	0	0	5	0.000551511
HNFJ>JM	20.8406	0	0	5	0.000551511
HMLXMH	20.5066	7	9.56349e-05	10	0.00110302
HNWTRJM	20.1736	2	2.73243e-05	7	0.000772116
HMCKN	19.931	75	0.00102466	0	0
>BJW	19.931	75	0.00102466	0	0
JYXQ	19.6653	74	0.001011	0	0
BQR	19.6653	74	0.001011	0	0
HQDC	19.3995	73	0.000997336	0	0
HC>JR	19.1316	4	5.46485e-05	8	0.000882418
HW>	18.9762	451	0.00616162	31	0.00341937
MLKJ	18.9172	6	8.19728e-05	9	0.00099272
>BRHM	18.8868	116	0.00158481	2	0.000220604
W>T	18.8681	828	0.0113122	172	0.018972
HGL<D	18.8548	13	0.000177608	12	0.00132363
<BD	18.632	28	0.00038254	17	0.00187514
W<FJT	18.6023	70	0.000956349	0	0
>TW	18.5052	303	0.00413963	17	0.00187514
HKHN	18.4356	235	0.0032106	11	0.00121332
CTJ	17.8051	67	0.000915363	0	0
MNGB	17.7568	3	4.09864e-05	7	0.000772116
MMVH	17.7568	3	4.09864e-05	7	0.000772116
BBCN	17.7568	3	4.09864e-05	7	0.000772116
GDWLH	17.7568	3	4.09864e-05	7	0.000772116
XRB	17.6493	17	0.000232256	13	0.00143393
JHJH	17.5176	206	0.0028144	9	0.00099272
H>JC	17.2736	65	0.000888039	0	0
CB<T	17.2736	65	0.000888039	0	0
>LHJM	17.2253	228	0.00311497	11	0.00121332
BJHWH	17.197	12	0.000163946	11	0.00121332
H>XD	17.0078	64	0.000874377	0	0
WJ>MR	16.7734	632	0.00863447	52	0.00573572
BT	16.7421	63	0.000860715	0	0
LJ	16.7174	177	0.0024182	7	0.000772116
H>MRJ	16.6973	31	0.000423526	17	0.00187514
HGCWRJ	16.6725	0	0	4	0.000441209
TMW	16.6725	0	0	4	0.000441209
WJCBJ	16.6725	0	0	4	0.000441209
XGLH	16.6725	0	0	4	0.000441209
WJKH	16.6725	0	0	4	0.000441209
HWBJC	16.6725	0	0	4	0.000441209
CWPRWT	16.6725	0	0	4	0.000441209
WXYR	16.6725	0	0	4	0.000441209
NXLW	16.6725	0	0	4	0.000441209
GLJLWT	16.6725	0	0	4	0.000441209
HJWCB	16.6725	0	0	4	0.000441209
<GLWN	16.6725	0	0	4	0.000441209
>RB	16.6725	0	0	4	0.000441209
L<J	16.6725	0	0	4	0.000441209
L>BWTM	16.6725	0	0	4	0.000441209
HXRJM	16.6725	0	0	4	0.000441209
BGLGL	16.6725	0	0	4	0.000441209
N<BD	16.6725	0	0	4	0.000441209
GZR	16.6725	0	0	4	0.000441209
H<MQ	16.6725	0	0	4	0.000441209
GBWRJ	16.6725	0	0	4	0.000441209
<VRWT	16.6725	0	0	4	0.000441209
P<M	16.6725	0	0	4	0.000441209
HGLGL	16.6725	0	0	4	0.000441209
HNM	16.6725	0	0	4	0.000441209
M>XRJ	16.5428	2	2.73243e-05	6	0.000661813
XRMWN	16.5428	2	2.73243e-05	6	0.000661813
LBN	16.2106	61	0.00083339	0	0
WLBNJ	16.1309	8	0.000109297	9	0.00099272
WXYJ	16.005	19	0.000259581	13	0.00143393
LW	15.8904	348	0.00475442	23	0.00253695
WJKW	15.8192	4	5.46485e-05	7	0.000772116
HXRM	15.818	6	8.19728e-05	8	0.000882418
>HL	15.6762	102	0.00139354	2	0.000220604
BFR	15.4133	58	0.000792404	0	0
CMW	15.4133	58	0.000792404	0	0
W<L	15.3242	116	0.00158481	3	0.000330907
BNJ	15.2388	623	0.00851151	131	0.0144496
HMZBX	15.2231	100	0.00136621	2	0.000220604
>RB<	15.222	30	0.000409864	16	0.00176484
>LJHM	15.199	17	0.000232256	12	0.00132363
XMCH	14.8818	56	0.00076508	0	0
T<FH	14.7716	98	0.00133889	2	0.000220604
JM	14.7152	24	0.000327891	14	0.00154423
>XJK	14.6161	55	0.000751417	0	0
HNG<	14.6161	55	0.000751417	0	0
ZKR	14.6161	55	0.000751417	0	0
KSP	14.5465	97	0.00132523	2	0.000220604
HKN<NJ	14.4202	18	0.000245918	12	0.00132363
W>TN	14.3487	3	4.09864e-05	6	0.000661813
SJXWN	14.3487	3	4.09864e-05	6	0.000661813
WJY>	14.1812	55	0.000751417	22	0.00242665
>TK	14.0846	53	0.000724093	0	0
KJ	14.0414	988	0.0134982	96	0.010589
<JR	13.8522	22	0.000300567	13	0.00143393
BL<M	13.8188	52	0.000710431	0	0
HCMC	13.6858	19	0.000259581	12	0.00132363
HR	13.5535	33	0.00045085	16	0.00176484
BMJM	13.5531	51	0.000696769	0	0
WJCBW	13.4673	26	0.000355216	14	0.00154423
>XD	13.4652	189	0.00258214	50	0.00551511
>CH	13.4106	107	0.00146185	3	0.000330907
HGDWL	13.2902	8	0.000109297	8	0.000882418
HFDH	13.2874	50	0.000683107	0	0
J>KL	13.2874	50	0.000683107	0	0
>LH	13.1902	133	0.00181706	5	0.000551511
T<FW	13.0216	49	0.000669445	0	0
>BRM	13.0216	49	0.000669445	0	0
WHKHNJM	12.9963	2	2.73243e-05	5	0.000551511
WJLKD	12.9963	2	2.73243e-05	5	0.000551511
WJLKW	12.9923	20	0.000273243	12	0.00132363
<FW	12.8214	118	0.00161213	4	0.000441209
MCPXT	12.7817	104	0.00142086	3	0.000330907
>LHJKM	12.7603	85	0.00116128	28	0.00308846
WKL	12.7003	198	0.0027051	51	0.00562541
HMLX	12.6115	4	5.46485e-05	6	0.000661813
NTNW	12.6115	4	5.46485e-05	6	0.000661813
BGWRL	12.6115	4	5.46485e-05	6	0.000661813
XMCT	12.6115	4	5.46485e-05	6	0.000661813
WBNTJH	12.5044	0	0	3	0.000330907
WXYWR	12.5044	0	0	3	0.000330907
HWRJCW	12.5044	0	0	3	0.000330907
RDPW	12.5044	0	0	3	0.000330907
WJLKDH	12.5044	0	0	3	0.000330907
HKTWB	12.5044	0	0	3	0.000330907
T<NK	12.5044	0	0	3	0.000330907
QM	12.5044	0	0	3	0.000330907
KRTW	12.5044	0	0	3	0.000330907
LWZH	12.5044	0	0	3	0.000330907
LQWM	12.5044	0	0	3	0.000330907
GNJM	12.5044	0	0	3	0.000330907
>WTJ	12.5044	0	0	3	0.000330907
LKLB	12.5044	0	0	3	0.000330907
WBCPLH	12.5044	0	0	3	0.000330907
MMZRX	12.5044	0	0	3	0.000330907
LCBV	12.5044	0	0	3	0.000330907
WJKWM	12.5044	0	0	3	0.000330907
LJRJXW	12.5044	0	0	3	0.000330907
TMRDW	12.5044	0	0	3	0.000330907
WR>CJ	12.5044	0	0	3	0.000330907
GWRLM	12.5044	0	0	3	0.000330907
BXRM	12.5044	0	0	3	0.000330907
HNC>RJM	12.5044	0	0	3	0.000330907
XLQJM	12.5044	0	0	3	0.000330907
WB>CR	12.5044	0	0	3	0.000330907
NKRTW	12.5044	0	0	3	0.000330907
WXYRJH	12.5044	0	0	3	0.000330907
TY>WT	12.5044	0	0	3	0.000330907
<QRWN	12.5044	0	0	3	0.000330907
JQN<M	12.5044	0	0	3	0.000330907
M<RW<R	12.5044	0	0	3	0.000330907
WJTNH	12.5044	0	0	3	0.000330907
KMXLQTM	12.5044	0	0	3	0.000330907
LJHWC<	12.5044	0	0	3	0.000330907
<RJH	12.5044	0	0	3	0.000330907
WC>BJ	12.5044	0	0	3	0.000330907
WJKRT	12.5044	0	0	3	0.000330907
BQRBM	12.5044	0	0	3	0.000330907
<KWR	12.5044	0	0	3	0.000330907
BKJDWN	12.5044	0	0	3	0.000330907
LGBRJM	12.5044	0	0	3	0.000330907
ZBDJ	12.5044	0	0	3	0.000330907
HGLGLH	12.5044	0	0	3	0.000330907
HZWNH	12.5044	0	0	3	0.000330907
WHXLWY	12.5044	0	0	3	0.000330907
ML	12.5044	0	0	3	0.000330907
BJRDN	12.5044	0	0	3	0.000330907
LMNCH	12.5044	0	0	3	0.000330907
MPNJNW	12.5044	0	0	3	0.000330907
WQRJT	12.5044	0	0	3	0.000330907
WJLKDWH	12.5044	0	0	3	0.000330907
LXYJ	12.5044	0	0	3	0.000330907
B<CTRWT	12.5044	0	0	3	0.000330907
MLKJHM	12.5044	0	0	3	0.000330907
WJMHRW	12.5044	0	0	3	0.000330907
NQJM	12.5044	0	0	3	0.000330907
WJMS	12.5044	0	0	3	0.000330907
GLT	12.5044	0	0	3	0.000330907
MMCPXWT	12.5044	0	0	3	0.000330907
W>HRN	12.4901	47	0.00064212	0	0
BCMN	12.2244	46	0.000628458	0	0
VHWR	12.2244	46	0.000628458	0	0
T>KLW	12.2244	46	0.000628458	0	0
MVH	12.0196	40	0.000546485	17	0.00187514
W<D	12.0164	44	0.000601134	18	0.00198544
<LJW	11.9858	151	0.00206298	7	0.000772116
JWM	11.88	85	0.00116128	2	0.000220604
>TH	11.827	227	0.0031013	14	0.00154423
>PRJM	11.715	22	0.000300567	12	0.00132363
KLJ	11.6929	44	0.000601134	0	0
>CT	11.6929	44	0.000601134	0	0
N>	11.4421	111	0.0015165	4	0.000441209
BNJM	11.4271	43	0.000587472	0	0
JHJW	11.4271	43	0.000587472	0	0
CNJM	11.2995	123	0.00168044	5	0.000551511
NWN	11.2867	16	0.000218594	10	0.00110302
RXB	11.1792	5	6.83107e-05	6	0.000661813
H<LH	11.1614	42	0.00057381	0	0
MXWY	11.1614	42	0.00057381	0	0
MBN	11.1614	42	0.00057381	0	0
CM<	11.1614	42	0.00057381	0	0
HY>N	11.1614	42	0.00057381	0	0
JTN	11.1614	42	0.00057381	0	0
GM	11.1137	122	0.00166678	5	0.000551511
MQLV	11.0528	3	4.09864e-05	5	0.000551511
WJ<BRW	11.0528	3	4.09864e-05	5	0.000551511
LNXLH	11.0528	3	4.09864e-05	5	0.000551511
BQRBKM	11.0528	3	4.09864e-05	5	0.000551511
>JBJHM	11.0528	3	4.09864e-05	5	0.000551511
KCM<	11.0528	3	4.09864e-05	5	0.000551511
WNSB	11.0528	3	4.09864e-05	5	0.000551511
WJMT	10.8956	41	0.000560148	0	0
>K	10.8956	41	0.000560148	0	0
M<FH	10.8956	41	0.000560148	0	0
W>TH	10.8956	41	0.000560148	0	0
SLT	10.8956	41	0.000560148	0	0
>XR	10.8956	41	0.000560148	0	0
W>MRT	10.6299	40	0.000546485	0	0
W>JC	10.6299	40	0.000546485	0	0
WJWLD	10.6299	40	0.000546485	0	0
WM<LH	10.6299	40	0.000546485	0	0
>BTM	10.6299	40	0.000546485	0	0
VM>	10.6299	40	0.000546485	0	0
H<M	10.5906	215	0.00293736	52	0.00573572
MLKH	10.5751	8	0.000109297	7	0.000772116
>BNJM	10.4444	14	0.00019127	9	0.00099272
W>M	10.4345	142	0.00194002	7	0.000772116
W>MR	10.3641	39	0.000532823	0	0
B>HL	10.3641	39	0.000532823	0	0
BRJT	10.3232	32	0.000437188	14	0.00154423
LHM	10.2789	164	0.00224059	42	0.00463269
BLQ	10.0984	38	0.000519161	0	0
BGDJW	10.0984	38	0.000519161	0	0
JVM>	10.0984	38	0.000519161	0	0
FRJ	10.0984	38	0.000519161	0	0
VWB	10.0984	38	0.000519161	0	0
MCH	9.98281	615	0.00840221	58	0.00639753
<FRH	9.96979	58	0.000792404	20	0.00220604
WNTN	9.83264	37	0.000505499	0	0
NX	9.83264	37	0.000505499	0	0
JDK	9.83264	37	0.000505499	0	0
WTLD	9.83264	37	0.000505499	0	0
XLQ	9.61344	12	0.000163946	8	0.000882418
BHR	9.61165	46	0.000628458	17	0.00187514
QRBNW	9.56689	36	0.000491837	0	0
BMQWM	9.56689	36	0.000491837	0	0
<Y	9.56689	36	0.000491837	0	0
WLXYJ	9.56579	2	2.73243e-05	4	0.000441209
TXTJH	9.56579	2	2.73243e-05	4	0.000441209
NF>JM	9.56579	2	2.73243e-05	4	0.000441209
HJBWSJ	9.56579	2	2.73243e-05	4	0.000441209
GDLWT	9.56579	2	2.73243e-05	4	0.000441209
XPR	9.56579	2	2.73243e-05	4	0.000441209
HXJL	9.56579	2	2.73243e-05	4	0.000441209
RGLJ	9.56579	2	2.73243e-05	4	0.000441209
BCLH	9.56579	2	2.73243e-05	4	0.000441209
JCBJM	9.56579	2	2.73243e-05	4	0.000441209
HPRZJ	9.56579	2	2.73243e-05	4	0.000441209
LNXL	9.56579	2	2.73243e-05	4	0.000441209
PJNXS	9.53827	4	5.46485e-05	5	0.000551511
HNXL	9.53827	4	5.46485e-05	5	0.000551511
BTWK	9.37212	51	0.000696769	18	0.00198544
WBJWM	9.30115	35	0.000478175	0	0
HGR	9.30115	35	0.000478175	0	0
