PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2599.5	0	0	618	0.0714864
CMCWN	147.221	0	0	35	0.00404858
GD<WN	138.808	0	0	33	0.00381724
MCH	128.649	615	0.00840221	4	0.000462695
JPTX	91.4197	2	2.73243e-05	25	0.00289184
PLCTJM	80.1839	10	0.000136621	29	0.00335454
<MWN	78.0253	8	0.000109297	27	0.00312319
MJKH	75.7136	0	0	18	0.00208213
GL<D	73.3599	7	9.56349e-05	25	0.00289184
MDJN	72.8088	15	0.000204932	30	0.00347021
BNJMN	70.9151	16	0.000218594	30	0.00347021
H<JR	70.7899	35	0.000478175	39	0.00451128
>WTW	67.301	0	0	16	0.00185078
WJ>MRW	63.7048	88	0.00120227	55	0.00636206
>BJMLK	62.5529	21	0.000286905	30	0.00347021
>JC	62.3751	287	0.00392103	106	0.0122614
SJSR>	58.8884	0	0	14	0.00161943
>HRN	58.0643	223	0.00304666	0	0
JRB<L	54.6821	0	0	13	0.00150376
JFR>L	52.0312	547	0.00747319	154	0.0178138
B<LJ	51.508	3	4.09864e-05	16	0.00185078
MNWX	51.3003	2	2.73243e-05	15	0.00173511
>LHJK	50.667	252	0.00344286	2	0.000231348
PR<H	47.9096	184	0.00251383	0	0
BJT	45.5131	82	0.0011203	45	0.00520532
MYRJM	43.7231	244	0.00333356	3	0.000347021
<L	43.6436	995	0.0135938	65	0.0075188
XRB	43.5426	17	0.000232256	22	0.00254482
>PRJM	42.9972	22	0.000300567	24	0.00277617
>W	42.1488	256	0.00349751	4	0.000462695
>WTH	42.0631	0	0	10	0.00115674
BRQ	42.0631	0	0	10	0.00115674
J<QB	41.6605	160	0.00218594	0	0
HGB<H	39.5132	2	2.73243e-05	12	0.00138809
CKM	38.8311	16	0.000218594	20	0.00231348
G<L	37.8568	0	0	9	0.00104106
HHJ>	37.8568	0	0	9	0.00104106
CLP	37.8568	0	0	9	0.00104106
BJFR>L	37.2702	22	0.000300567	22	0.00254482
MW<D	35.9322	138	0.00188537	0	0
WJCPV	35.6278	2	2.73243e-05	11	0.00127241
WJ<LW	35.4988	14	0.00019127	18	0.00208213
JW>C	33.6505	0	0	8	0.00092539
>WTJ	33.6505	0	0	8	0.00092539
HKHN	33.6133	235	0.0032106	5	0.000578369
ML>K	33.4152	23	0.000314229	21	0.00242915
>BRHM	30.2039	116	0.00158481	0	0
PNJ	29.9435	115	0.00157115	0	0
WJQM	29.5726	27	0.000368878	21	0.00242915
HWRJC	29.4442	0	0	7	0.000809717
SKWT	29.4442	0	0	7	0.000809717
