PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3306.96	0	0	859	0.0758298
HKHN	162.984	235	0.0032106	163	0.0143891
WJ>MR	134.744	632	0.00863447	10	0.000882768
>W	99.9525	256	0.00349751	137	0.0120939
>LHJM	71.9099	228	0.00311497	0	0
WJHJ	61.1865	194	0.00265045	0	0
HNG<	59.824	55	0.000751417	48	0.00423729
PR<H	58.0326	184	0.00251383	0	0
>LHJK	53.6703	252	0.00344286	4	0.000353107
JWSP	51.0939	162	0.00221327	0	0
LK	50.8169	324	0.00442653	10	0.000882768
J<QB	50.4631	160	0.00218594	0	0
W>M	50.3078	142	0.00194002	73	0.00644421
LJHWH	44.6017	255	0.00348384	101	0.00891596
>NKJ	40.0551	127	0.00173509	0	0
HMZBX	39.8906	100	0.00136621	54	0.00476695
HXV>T	39.3311	30	0.000409864	29	0.00256003
JVM>	38.6523	38	0.000519161	32	0.00282486
>NJ	37.6418	152	0.00207664	68	0.00600282
ZHB	36.9011	117	0.00159847	0	0
>BRHM	36.5857	116	0.00158481	0	0
N>	35.0088	111	0.0015165	0	0
WKPR	34.523	35	0.000478175	29	0.00256003
M>WT	33.7472	107	0.00146185	0	0
MCPXT	32.801	104	0.00142086	0	0
BMJM	32.5657	51	0.000696769	34	0.00300141
BN	32.5413	324	0.00442653	17	0.00150071
H<RB	32.274	43	0.000587472	31	0.00273658
H<LH	30.9362	42	0.00057381	30	0.00264831
BGDJW	29.8045	38	0.000519161	28	0.00247175
HMZBXH	29.4465	28	0.00038254	24	0.00211864
YR<T	29.2444	21	0.000286905	21	0.00185381
QDC	29.1044	105	0.00143452	49	0.00432556
MYRJM	28.6312	244	0.00333356	11	0.000971045
WVM>	28.54	29	0.000396202	24	0.00211864
W>JC	28.2705	40	0.000546485	28	0.00247175
B<WR	28.0663	27	0.000368878	23	0.00203037
WJ>MRW	27.7547	88	0.00120227	0	0
HW>	27.596	451	0.00616162	133	0.0117408
>LJ	27.4393	87	0.00118861	0	0
HZ>T	26.4931	84	0.00114762	0	0
VM>	26.2166	40	0.000546485	27	0.00238347
BFRW	25.7935	27	0.000368878	22	0.00194209
HXLB	25.7935	27	0.000368878	22	0.00194209
GM	25.7016	122	0.00166678	2	0.000176554
MH	24.9162	79	0.00107931	0	0
>LP	24.9162	79	0.00107931	0	0
HJMNJT	24.8485	23	0.000314229	20	0.00176554
>DNJ	24.2854	77	0.00105198	0	0
HMCKN	23.6546	75	0.00102466	0	0
WJB>	23.3392	74	0.001011	0	0
JYXQ	23.3392	74	0.001011	0	0
CM	23.0543	198	0.0027051	9	0.000794492
HCMJM	23.0238	73	0.000997336	0	0
<LJW	22.7727	151	0.00206298	57	0.00503178
MLK	22.7084	72	0.000983674	0	0
H<M	22.2036	215	0.00293736	11	0.000971045
WRXY	22.0849	21	0.000286905	18	0.00158898
M>D	22.0776	70	0.000956349	0	0
W<FJT	22.0776	70	0.000956349	0	0
B>RY	21.456	158	0.00215862	6	0.000529661
>LHJ	21.4468	68	0.000929025	0	0
WR>H	21.072	33	0.00045085	22	0.00194209
PFH	20.8888	15	0.000204932	15	0.00132415
>HRN	20.68	223	0.00304666	73	0.00644421
LNW	20.5006	65	0.000888039	0	0
HBJT	20.4705	31	0.000423526	21	0.00185381
HZH	20.3028	196	0.00267778	10	0.000882768
WHQVJR	20.2573	18	0.000245918	16	0.00141243
H>DMH	20.1852	64	0.000874377	0	0
J>KL	19.9453	50	0.000683107	27	0.00238347
WCXV	19.8502	16	0.000218594	15	0.00132415
MJ	19.5544	62	0.000847052	0	0
HNH	19.5512	100	0.00136621	2	0.000176554
>LJK	19.2391	61	0.00083339	0	0
WJCB	19.2391	61	0.00083339	0	0
NG<	18.9623	22	0.000300567	17	0.00150071
WVHR	18.8721	17	0.000232256	15	0.00132415
JKBS	18.8721	17	0.000232256	15	0.00132415
CNH	18.8604	209	0.00285539	12	0.00105932
PN	18.6083	59	0.000806066	0	0
WJS<W	18.6083	59	0.000806066	0	0
H<WR	18.4598	15	0.000204932	14	0.00123588
TGLH	18.4598	15	0.000204932	14	0.00123588
B>	18.2929	58	0.000792404	0	0
WT>MR	18.2929	58	0.000792404	0	0
CMW	18.2929	58	0.000792404	0	0
>CH	18.2117	107	0.00146185	42	0.00370763
<RWT	18.152	23	0.000314229	17	0.00150071
WBNJ	17.9775	57	0.000778742	0	0
H>LHJM	17.9775	57	0.000778742	0	0
L>	17.9292	947	0.012938	224	0.019774
QDCJM	17.2407	27	0.000368878	18	0.00158898
QRBNW	17.1751	36	0.000491837	21	0.00185381
WHBJ>	17.0769	19	0.000259581	15	0.00132415
W<TH	17.0313	54	0.000737755	0	0
<FH	16.9101	116	0.00158481	4	0.000353107
WJQR>	16.8143	90	0.00122959	2	0.000176554
WGM	16.7159	53	0.000724093	0	0
>BJ	16.7159	53	0.000724093	0	0
WJXNW	16.7159	53	0.000724093	0	0
HMVHR	16.7111	12	0.000163946	12	0.00105932
HNTQ	16.7111	12	0.000163946	12	0.00105932
<RKK	16.7111	12	0.000163946	12	0.00105932
ZBX	16.549	28	0.00038254	18	0.00158898
BNW	16.4005	52	0.000710431	0	0
BL<M	16.4005	52	0.000710431	0	0
HMQWM	16.4005	52	0.000710431	0	0
JDW	16.1858	61	0.00083339	28	0.00247175
LBNJ	16.0022	87	0.00118861	2	0.000176554
LMCPXTM	15.4543	49	0.000669445	0	0
>BRM	15.4543	49	0.000669445	0	0
T>KLW	15.2142	46	0.000628458	23	0.00203037
>MR	15.1948	84	0.00114762	2	0.000176554
CLCJM	15.1389	48	0.000655782	0	0
W>HRN	14.8235	47	0.00064212	0	0
WJB>W	14.8235	47	0.00064212	0	0
HHR	14.8235	47	0.00064212	0	0
WHQRJB	14.7249	22	0.000300567	15	0.00132415
CMH	14.6592	82	0.0011203	2	0.000176554
<FW	14.644	118	0.00161213	5	0.000441384
LMVH	14.5081	46	0.000628458	0	0
MW>B	14.5081	46	0.000628458	0	0
CB<T	14.5048	65	0.000888039	28	0.00247175
HDM	14.4495	51	0.000696769	24	0.00211864
JG>L	14.2911	12	0.000163946	11	0.000971045
HDBRJM	14.1927	45	0.000614796	0	0
WJHJW	14.1927	45	0.000614796	0	0
MMYRJM	14.1927	45	0.000614796	0	0
H>NCJM	14.1927	45	0.000614796	0	0
WLQX	13.9901	29	0.000396202	17	0.00150071
MN	13.9791	218	0.00297835	65	0.00573799
HPR	13.9764	26	0.000355216	16	0.00141243
NTTJ	13.8773	44	0.000601134	0	0
DBRJ	13.562	43	0.000587472	0	0
BNJM	13.562	43	0.000587472	0	0
>HL	13.5308	102	0.00139354	37	0.00326624
H>CM	13.3435	13	0.000177608	11	0.000971045
HKLJT	13.3435	13	0.000177608	11	0.000971045
LBNH	13.3435	13	0.000177608	11	0.000971045
>TJ	13.2466	42	0.00057381	0	0
LBJT	13.2466	42	0.00057381	0	0
CM<	13.2466	42	0.00057381	0	0
JHWDH	13.2466	42	0.00057381	0	0
W>TH	12.9312	41	0.000560148	0	0
WJMT	12.9312	41	0.000560148	0	0
RQ	12.9312	41	0.000560148	0	0
WJLK	12.9312	41	0.000560148	0	0
M<FH	12.9312	41	0.000560148	0	0
WJR>	12.9306	88	0.00120227	3	0.000264831
<LJH	12.9074	51	0.000696769	23	0.00203037
XV>	12.7452	28	0.00038254	16	0.00141243
BHN	12.7065	25	0.000341553	15	0.00132415
LJ	12.6366	177	0.0024182	12	0.00105932
>XJ	12.6158	40	0.000546485	0	0
MVH	12.6158	40	0.000546485	0	0
WJWLD	12.6158	40	0.000546485	0	0
CLX	12.6158	40	0.000546485	0	0
XQTJ	12.5333	9	0.000122959	9	0.000794492
HZB	12.5333	9	0.000122959	9	0.000794492
HF<JR	12.5333	9	0.000122959	9	0.000794492
WKBS	12.4666	14	0.00019127	11	0.000971045
JCKB	12.4666	14	0.00019127	11	0.000971045
BKWR	12.3004	39	0.000532823	0	0
WJ<FW	12.3004	39	0.000532823	0	0
TWRT	12.223	17	0.000232256	12	0.00105932
H>LH	12.189	85	0.00116128	3	0.000264831
THJH	12.0719	64	0.000874377	26	0.0022952
MCM	11.985	38	0.000519161	0	0
W>LH	11.985	38	0.000519161	0	0
BLQ	11.985	38	0.000519161	0	0
KH	11.985	38	0.000519161	0	0
FRJ	11.985	38	0.000519161	0	0
HJRDN	11.985	38	0.000519161	0	0
BDRK	11.985	38	0.000519161	0	0
HCMN	11.9662	12	0.000163946	10	0.000882768
LHM	11.9071	164	0.00224059	11	0.000971045
HJWM	11.6982	135	0.00184439	8	0.000706215
<M	11.6857	105	0.00143452	5	0.000441384
NX	11.6696	37	0.000505499	0	0
R>WBN	11.6696	37	0.000505499	0	0
JDK	11.6696	37	0.000505499	0	0
WTLD	11.6696	37	0.000505499	0	0
>XJW	11.6223	94	0.00128424	4	0.000353107
DM	11.618	30	0.000409864	16	0.00141243
B>YB<W	11.5151	10	0.000136621	9	0.000794492
HXJH	11.4938	18	0.000245918	12	0.00105932
WJ<F	11.4546	82	0.0011203	3	0.000264831
LKPR	11.4366	21	0.000286905	13	0.0011476
B<JNJ	11.3542	36	0.000491837	0	0
JFR>L	11.1784	547	0.00747319	61	0.00538489
KN	11.1711	160	0.00218594	11	0.000971045
M>CJ	11.1407	8	0.000109297	8	0.000706215
<RWTH	11.1407	8	0.000109297	8	0.000706215
WHZH	11.1056	13	0.000177608	10	0.000882768
WNSLX	11.1056	13	0.000177608	10	0.000882768
HQRB	11.0899	31	0.000423526	16	0.00141243
LPNJ	11.0578	247	0.00337455	68	0.00600282
H<JR	11.0388	35	0.000478175	0	0
>RB<JM	11.0388	35	0.000478175	0	0
WJXJ	11.0388	35	0.000478175	0	0
HJW	11.0388	35	0.000478175	0	0
KKL	11.0388	35	0.000478175	0	0
LPNJK	11.0388	35	0.000478175	0	0
HJM	11.0388	35	0.000478175	0	0
CLCH	11.0388	35	0.000478175	0	0
HMNXH	10.8091	19	0.000259581	12	0.00105932
T<FW	10.7788	49	0.000669445	21	0.00185381
LMH	10.7234	34	0.000464513	0	0
MXWY	10.7188	42	0.00057381	19	0.00167726
MW<D	10.5944	138	0.00188537	43	0.0037959
WSMK	10.5918	11	0.000150283	9	0.000794492
HCRY	10.5918	11	0.000150283	9	0.000794492
L<FWT	10.4696	66	0.000901701	2	0.000176554
H>RY	10.4244	364	0.00497302	37	0.00326624
WJCM<	10.408	33	0.00045085	0	0
BMYRJM	10.408	33	0.00045085	0	0
LB	10.408	33	0.00045085	0	0
HR	10.408	33	0.00045085	0	0
MWM	10.3121	14	0.00019127	10	0.000882768
BMQWM	10.2922	36	0.000491837	17	0.00150071
DMW	10.1888	17	0.000232256	11	0.000971045
WJQVR	10.1287	9	0.000122959	8	0.000706215
JSWD	10.1287	9	0.000122959	8	0.000706215
CQY	10.1287	9	0.000122959	8	0.000706215
JQRJB	10.1287	9	0.000122959	8	0.000706215
HYPR	10.1287	9	0.000122959	8	0.000706215
>CTW	10.0926	32	0.000437188	0	0
NXCT	10.0926	32	0.000437188	0	0
>LWP	10.0926	32	0.000437188	0	0
WJCLX	10.0926	32	0.000437188	0	0
BFDH	10.0926	32	0.000437188	0	0
MTWK	10.0926	32	0.000437188	0	0
>TNW	10.0926	32	0.000437188	0	0
BW	9.78307	133	0.00181706	41	0.00361935
WLQXT	9.77722	31	0.000423526	0	0
