PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2141.22	0	0	405	0.0965205
BN	145.678	324	0.00442653	113	0.0269304
JHWH	139.674	1526	0.0208484	14	0.00333651
HXZJQ	137.461	0	0	26	0.00619638
JRWCLM	105.739	0	0	20	0.00476644
HMLK	88.1018	6	8.19728e-05	22	0.00524309
HXWMH	74.0174	0	0	14	0.00333651
C<R	66.9458	16	0.000218594	22	0.00524309
>T	65.3178	2622	0.0358221	95	0.0226406
WCNJM	58.616	3	4.09864e-05	14	0.00333651
JCW<	58.1565	0	0	11	0.00262154
MCLM	58.1565	0	0	11	0.00262154
WHLWJM	55.5381	4	5.46485e-05	14	0.00333651
HKHNJM	53.2381	20	0.000273243	20	0.00476644
>LJCJB	52.8696	0	0	10	0.00238322
BJRWCLM	52.8696	0	0	10	0.00238322
MCH	51.0049	615	0.00840221	7	0.00166826
BNJ	47.767	623	0.00851151	106	0.0252622
HMCRRJM	47.5826	0	0	9	0.0021449
>TW	44.7038	303	0.00413963	0	0
HXZJQW	42.2957	0	0	8	0.00190658
DWJD	42.2957	0	0	8	0.00190658
JHWDH	40.1427	42	0.00057381	22	0.00524309
WCMNH	39.4681	7	9.56349e-05	12	0.00285987
HLWJM	38.0048	50	0.000683107	23	0.00548141
>W	37.7696	256	0.00349751	0	0
>LHJK	37.1794	252	0.00344286	0	0
ZKRJH	37.0087	0	0	7	0.00166826
<ZR>	37.0087	0	0	7	0.00166826
CM<JH	37.0087	0	0	7	0.00166826
PLK	37.0087	0	0	7	0.00166826
HJHWDJM	37.0087	0	0	7	0.00166826
NXMJH	37.0087	0	0	7	0.00166826
W>MRH	36.9673	6	8.19728e-05	11	0.00262154
>LHJNW	36.0813	30	0.000409864	18	0.0042898
MYRJM	35.9991	244	0.00333356	0	0
HML>KH	35.1323	7	9.56349e-05	11	0.00262154
WJ>MR	34.726	632	0.00863447	13	0.00309819
LKM	34.3762	233	0.00318328	0	0
>L	34.0383	1282	0.0175149	45	0.0107245
H>LHJM	34.026	57	0.000778742	23	0.00548141
>XRJW	33.2251	11	0.000150283	12	0.00285987
BJT	32.8092	82	0.0011203	27	0.0064347
