PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4256.36	0	0	1289	0.0833818
>LHJK	107.357	252	0.00344286	0	0
MCPXT	84.3655	104	0.00142086	96	0.00620997
PR<H	78.3875	184	0.00251383	0	0
BN	74.1922	324	0.00442653	179	0.011579
>LP	66.0688	79	0.00107931	74	0.00478686
BNJ	60.6198	623	0.00851151	268	0.0173362
>LHJM	57.266	228	0.00311497	7	0.000452811
>XD	57.0171	189	0.00258214	115	0.00743903
KJ	53.8064	988	0.0134982	123	0.00795653
>T	49.762	2622	0.0358221	439	0.0283977
>BRHM	49.4182	116	0.00158481	0	0
L>	49.2929	947	0.012938	120	0.00776247
J<QB	48.154	160	0.00218594	3	0.000194062
BL<M	45.8935	52	0.000710431	50	0.00323436
>CR	42.8003	1664	0.0227338	261	0.0168834
H<DH	42.052	65	0.000888039	54	0.00349311
WJS<W	41.6304	59	0.000806066	51	0.00329905
MYRJM	41.3622	244	0.00333356	14	0.000905621
WJXNW	41.3101	53	0.000724093	48	0.00310499
JFR>L	38.5797	547	0.00747319	218	0.0141018
HJWM	38.5126	135	0.00184439	3	0.000194062
LBNJ	37.9095	87	0.00118861	61	0.00394592
BLQ	36.3089	38	0.000519161	38	0.00245812
LMCPXTM	35.7163	49	0.000669445	43	0.00278155
XMCH	31.962	56	0.00076508	44	0.00284624
>BJW	31.9514	75	0.00102466	0	0
JYXQ	31.5254	74	0.001011	0	0
HCMJM	31.0994	73	0.000997336	0	0
WM<LH	30.7674	40	0.000546485	36	0.00232874
W<FJT	29.8214	70	0.000956349	0	0
MBN	29.0982	42	0.00057381	36	0.00232874
>BTM	28.9746	40	0.000546485	35	0.00226405
>NKJ	28.073	127	0.00173509	5	0.000323436
LMVH	27.6887	46	0.000628458	37	0.00239343
MCH	27.3702	615	0.00840221	223	0.0144253
LBN	25.9872	61	0.00083339	0	0
M>WT	25.6048	107	0.00146185	60	0.00388123
LK	25.5532	324	0.00442653	34	0.00219937
MVH	25.4817	40	0.000546485	33	0.00213468
LW	25.4162	348	0.00475442	38	0.00245812
W>T	24.8404	828	0.0113122	125	0.0080859
HLWJM	24.8196	50	0.000683107	37	0.00239343
CMW	24.7091	58	0.000792404	0	0
KBFJM	24.2485	35	0.000478175	30	0.00194062
LBJT	23.9715	42	0.00057381	33	0.00213468
YB>	23.9493	29	0.000396202	27	0.00174656
BKL	23.8153	140	0.0019127	8	0.000517498
>XJW	23.1892	94	0.00128424	3	0.000194062
MZBX	22.579	53	0.000724093	0	0
>BJ	22.579	53	0.000724093	0	0
HW>	22.5774	451	0.00616162	58	0.00375186
WJHJ	22.3474	194	0.00265045	16	0.001035
JWSP	21.3076	162	0.00221327	12	0.000776247
>BRM	20.8749	49	0.000669445	0	0
NFJ>	20.2277	27	0.000368878	24	0.00155249
B>RY	20.1822	158	0.00215862	12	0.000776247
MW>B	19.6585	46	0.000628458	32	0.00206999
T>KLW	19.5969	46	0.000628458	0	0
>L<ZR	19.5412	30	0.000409864	25	0.00161718
WJ>MR	19.2741	632	0.00863447	95	0.00614529
PQDJHM	19.1099	20	0.000273243	20	0.00129374
>CT	18.7448	44	0.000601134	0	0
BLWLH	18.6029	29	0.000396202	24	0.00155249
BQR	18.3451	74	0.001011	42	0.00271686
RQ	17.4668	41	0.000560148	0	0
WJWLD	17.0408	40	0.000546485	0	0
<FH	16.5089	116	0.00158481	8	0.000517498
MCMRT	16.2657	19	0.000259581	18	0.00116437
HTMJD	16.2434	17	0.000232256	17	0.00109968
WBKL	16.1887	38	0.000519161	0	0
>JLM	15.797	26	0.000355216	21	0.00135843
WTLD	15.7627	37	0.000505499	0	0
NX	15.7627	37	0.000505499	0	0
JDK	15.7627	37	0.000505499	0	0
BMSPR	15.633	24	0.000327891	20	0.00129374
WNFJ>	15.3117	18	0.000245918	17	0.00109968
LYB>TM	15.2879	16	0.000218594	16	0.001035
SLT	15.2576	41	0.000560148	27	0.00174656
H<JR	14.9107	35	0.000478175	0	0
WJXJ	14.9107	35	0.000478175	0	0
LPNJK	14.9107	35	0.000478175	0	0
>LPJM	14.6949	23	0.000314229	19	0.00122906
T>KL	14.4847	34	0.000464513	0	0
<L	14.3477	995	0.0135938	175	0.0113203
>LHJKM	14.1013	85	0.00116128	5	0.000323436
BCMN	13.8916	46	0.000628458	28	0.00181124
WT>MR	13.7759	58	0.000792404	2	0.000129374
