PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4240.25	0	0	915	0.161547
>T	377.11	2622	0.0358221	25	0.00441384
>CR	263.808	1664	0.0227338	11	0.00194209
RC<JM	162.195	0	0	35	0.00617938
RC<	137.462	5	6.83107e-05	36	0.00635593
WJ>MR	131.157	632	0.00863447	0	0
MCH	127.629	615	0.00840221	0	0
VWB	126.282	38	0.000519161	52	0.00918079
YDJQ	124.99	6	8.19728e-05	34	0.00600282
LB	119.792	33	0.00045085	48	0.00847458
W>T	118.595	828	0.0113122	8	0.00141243
JFR>L	113.517	547	0.00747319	0	0
XKMH	111.354	5	6.83107e-05	30	0.00529661
MWSR	106.585	0	0	23	0.00406073
KSJL	101.951	0	0	22	0.00388418
D<T	101.82	3	4.09864e-05	26	0.0045904
YDJQJM	97.3172	0	0	21	0.00370763
XKM	87.8349	7	9.56349e-05	26	0.0045904
R<	76.2864	22	0.000300567	31	0.00547316
H>RY	75.5397	364	0.00497302	0	0
LBK	74.1464	0	0	16	0.00282486
>WLT	69.5123	0	0	15	0.00264831
>DM	68.2799	33	0.00045085	33	0.00582627
JHWH	66.4459	1526	0.0208484	70	0.0123588
JCRJM	64.8781	0	0	14	0.00247175
KSJLJM	64.8781	0	0	14	0.00247175
L>MR	63.2956	305	0.00416695	0	0
>TW	62.8806	303	0.00413963	0	0
FPTJ	60.244	0	0	13	0.0022952
NPCW	56.8936	8	0.000109297	19	0.00335452
LCWN	55.6098	0	0	12	0.00211864
<YL	55.6098	0	0	12	0.00211864
HWN	55.6098	0	0	12	0.00211864
XJJM	54.7373	20	0.000273243	24	0.00423729
CQR	53.6234	6	8.19728e-05	17	0.00300141
>LHJK	52.2967	252	0.00344286	0	0
>WJL	50.9757	0	0	11	0.00194209
MYRJM	50.6365	244	0.00333356	0	0
XKMJM	49.6567	3	4.09864e-05	14	0.00247175
HKHN	48.7688	235	0.0032106	0	0
FPTJW	46.3415	0	0	10	0.00176554
XSR	46.3415	0	0	10	0.00176554
JFMX	46.3415	0	0	10	0.00176554
LY	46.3415	0	0	10	0.00176554
JR>T	46.3415	0	0	10	0.00176554
JCR	46.3415	0	0	10	0.00176554
>HRN	46.2785	223	0.00304666	0	0
MN	45.2408	218	0.00297835	0	0
H<M	44.6182	215	0.00293736	0	0
K>CR	42.1279	203	0.00277341	0	0
TBWNH	41.7074	0	0	9	0.00158898
WD<T	41.7074	0	0	9	0.00158898
WPJ	41.7074	0	0	9	0.00158898
HZH	40.6752	196	0.00267778	0	0
>TM	40.509	264	0.0036068	2	0.000353107
WJHJ	40.2602	194	0.00265045	0	0
>XD	39.2225	189	0.00258214	0	0
>W	38.9714	256	0.00349751	2	0.000353107
PR<H	38.1849	184	0.00251383	0	0
KL	37.9744	967	0.0132113	47	0.00829802
THPKWT	37.0732	0	0	8	0.00141243
TWKXT	37.0732	0	0	8	0.00141243
MRMH	37.0732	0	0	8	0.00141243
WDRK	37.0732	0	0	8	0.00141243
RYWN	37.0732	0	0	8	0.00141243
BLB	37.0732	0	0	8	0.00141243
BL	37.0732	0	0	8	0.00141243
BJNH	37.0732	0	0	8	0.00141243
>HB	36.0503	5	6.83107e-05	12	0.00211864
<L	35.2267	995	0.0135938	51	0.00900424
LKM	34.5733	233	0.00318328	2	0.000353107
YDQH	34.4083	4	5.46485e-05	11	0.00194209
LJHWH	34.1307	255	0.00348384	3	0.000529661
LHM	34.0344	164	0.00224059	0	0
JWSP	33.6193	162	0.00221327	0	0
J<QB	33.2043	160	0.00218594	0	0
WHJH	32.5817	157	0.00214496	0	0
<CJR	32.4391	0	0	7	0.00123588
MRP>	32.4391	0	0	7	0.00123588
FMXH	32.4391	0	0	7	0.00123588
JFB<	32.4391	0	0	7	0.00123588
MDWN	32.4391	0	0	7	0.00123588
KZBJM	32.4391	0	0	7	0.00123588
B>JN	32.4391	0	0	7	0.00123588
MR<	32.4391	0	0	7	0.00123588
MXCBWT	32.4391	0	0	7	0.00123588
DRKJ	31.6913	2	2.73243e-05	9	0.00158898
>WN	31.6913	2	2.73243e-05	9	0.00158898
<LJW	31.3365	151	0.00206298	0	0
CNH	30.0256	209	0.00285539	2	0.000353107
TW<BT	29.4226	11	0.000150283	13	0.0022952
>LHJM	29.1948	228	0.00311497	3	0.000529661
>TKM	29.0537	140	0.0019127	0	0
WJDBR	29.0537	140	0.0019127	0	0
MW<D	28.6387	138	0.00188537	0	0
MWQC	27.8049	0	0	6	0.00105932
<RWM	27.8049	0	0	6	0.00105932
JPWL	27.8049	0	0	6	0.00105932
LKSJL	27.8049	0	0	6	0.00105932
MFKJL	27.8049	0	0	6	0.00105932
NBXR	27.8049	0	0	6	0.00105932
NYR	27.8049	0	0	6	0.00105932
JBJN	27.8049	0	0	6	0.00105932
LYDJQ	27.8049	0	0	6	0.00105932
MLKJM	27.8049	0	0	6	0.00105932
DRKW	27.4802	2	2.73243e-05	8	0.00141243
FPTJM	27.4802	2	2.73243e-05	8	0.00141243
HJ>	26.772	8	0.000109297	11	0.00194209
DRK	26.1304	30	0.000409864	18	0.00317797
CNJ	25.9408	125	0.00170777	0	0
>LJW	25.5258	123	0.00168044	0	0
CNJM	25.5258	123	0.00168044	0	0
HHW>	25.1107	121	0.00165312	0	0
W>JN	24.9684	21	0.000286905	15	0.00264831
BNJ	24.8907	623	0.00851151	30	0.00529661
RC	24.8048	3	4.09864e-05	8	0.00141243
CMR	24.7594	7	9.56349e-05	10	0.00176554
R<H	24.1173	22	0.000300567	15	0.00264831
>BRHM	24.0731	116	0.00158481	0	0
B<JNJW	23.9864	10	0.000136621	11	0.00194209
DL	23.3194	2	2.73243e-05	7	0.00123588
PC<	23.3194	2	2.73243e-05	7	0.00123588
YWH	23.243	112	0.00153016	0	0
MDWNJM	23.1708	0	0	5	0.000882768
PJHW	23.1708	0	0	5	0.000882768
MQWR	23.1708	0	0	5	0.000882768
>RXWT	23.1708	0	0	5	0.000882768
LNPCK	23.1708	0	0	5	0.000882768
WLB	23.1708	0	0	5	0.000882768
MZMWT	23.1708	0	0	5	0.000882768
<YH	23.1708	0	0	5	0.000882768
WRC<JM	23.1708	0	0	5	0.000882768
FWN>	23.1708	0	0	5	0.000882768
DJN	23.1708	0	0	5	0.000882768
DLJM	23.1708	0	0	5	0.000882768
MBJC	23.1708	0	0	5	0.000882768
LXKM	23.1708	0	0	5	0.000882768
JSR	23.1708	0	0	5	0.000882768
XDRJ	23.1708	0	0	5	0.000882768
BRB	23.1708	0	0	5	0.000882768
M>CT	23.1708	0	0	5	0.000882768
W>XRJTH	23.1708	0	0	5	0.000882768
QLWN	23.1708	0	0	5	0.000882768
PTJ	23.1708	0	0	5	0.000882768
N>	23.0355	111	0.0015165	0	0
M>WT	22.2054	107	0.00146185	0	0
HWLK	21.9223	9	0.000122959	10	0.00176554
QDC	21.7903	105	0.00143452	0	0
MCPXT	21.5828	104	0.00142086	0	0
>HL	21.1677	102	0.00139354	0	0
HMZBX	20.7527	100	0.00136621	0	0
