PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	7309.42	0	0	2527	0.144582
>T	708.105	2622	0.0358221	139	0.00795286
>CR	423.08	1664	0.0227338	97	0.00554983
W>T	353.497	828	0.0113122	12	0.000686577
WJ>MR	295.369	632	0.00863447	5	0.000286074
MCH	293.474	615	0.00840221	4	0.000228859
L<WLM	247.829	2	2.73243e-05	92	0.00526376
LDWD	231.402	0	0	80	0.00457718
SLH	205.37	0	0	71	0.00406225
NPCJ	196.699	11	0.000150283	90	0.00514933
BNJ	181.161	623	0.00851151	29	0.00165923
MZMWR	164.874	0	0	57	0.00326124
LMNYX	159.089	0	0	55	0.00314681
L>MR	138.682	305	0.00416695	3	0.000171644
>TW	137.647	303	0.00413963	3	0.000171644
>W	137.454	256	0.00349751	0	0
XSDW	135.949	0	0	47	0.00268909
BN	126.375	324	0.00442653	7	0.000400503
HKHN	126.179	235	0.0032106	0	0
LKM	125.105	233	0.00318328	0	0
>TM	123.988	264	0.0036068	2	0.00011443
RC<JM	118.594	0	0	41	0.00234581
>LHJM	114.951	228	0.00311497	204	0.0116718
CJR	109.916	0	0	38	0.00217416
HZH	105.238	196	0.00267778	0	0
PR<H	98.7953	184	0.00251383	0	0
JH	97.9	2	2.73243e-05	39	0.00223138
JFR>L	96.7336	547	0.00747319	49	0.00280352
BL	95.4535	0	0	33	0.00188809
<LJ	91.4395	28	0.00038254	66	0.00377618
LBJ	89.5343	2	2.73243e-05	36	0.00205973
HW>	87.183	451	0.00616162	37	0.00211695
>LHJK	86.9957	252	0.00344286	8	0.000457718
HLLW	86.7759	0	0	30	0.00171644
WHJH	84.2981	157	0.00214496	0	0
CNH	84.0643	209	0.00285539	4	0.000228859
JHJH	82.568	206	0.0028144	4	0.000228859
H<M	82.1754	215	0.00293736	5	0.000286074
>HRN	81.5458	223	0.00304666	6	0.000343289
K>CR	81.0735	203	0.00277341	4	0.000228859
>CRJ	80.9908	0	0	28	0.00160201
MYRJM	79.3169	244	0.00333356	9	0.000514933
WJDBR	75.1703	140	0.0019127	0	0
>TKM	75.1703	140	0.0019127	0	0
>XD	74.1223	189	0.00258214	4	0.000228859
XSDK	70.9856	3	4.09864e-05	31	0.00177366
>L	69.6824	1282	0.0175149	224	0.0128161
CNJ	67.1163	125	0.00170777	0	0
YJWN	66.5282	0	0	23	0.00131594
JWSP	65.6713	162	0.00221327	3	0.000171644
