PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2763.51	0	0	719	0.0651268
MLK	525.819	72	0.000983674	215	0.0194746
HMLK	366.255	6	8.19728e-05	107	0.00969203
>LJC<	180.647	0	0	47	0.00425725
JHWDH	169.699	42	0.00057381	82	0.00742754
MCH	150.068	615	0.00840221	6	0.000543478
>CWR	146.517	4	5.46485e-05	45	0.00407609
BJT	136.352	82	0.0011203	91	0.00824275
XZQJHW	134.524	0	0	35	0.00317029
JHW>	126.837	0	0	33	0.00298913
JRWCLM	107.619	0	0	28	0.00253623
BJRWCLM	92.2451	0	0	24	0.00217391
>X>B	92.2451	0	0	24	0.00217391
>RM	90.8343	15	0.000204932	39	0.00353261
DBRJ	90.6192	43	0.000587472	55	0.00498188
BCMRWN	88.4016	0	0	23	0.00208333
LMLKJ	84.558	0	0	22	0.00199275
JRB<M	84.558	0	0	22	0.00199275
KTWBJM	80.7145	0	0	21	0.00190217
CMRWN	80.7145	0	0	21	0.00190217
BBL	78.7762	2	2.73243e-05	24	0.00217391
SPR	78.7245	8	0.000109297	30	0.00271739
HSPR	76.8709	0	0	20	0.00181159
HB<L	73.0274	0	0	19	0.00172101
>LJHW	73.0274	0	0	19	0.00172101
WJTR	71.4228	2	2.73243e-05	22	0.00199275
BCNT	70.6373	5	6.83107e-05	25	0.00226449
>HRN	70.5709	223	0.00304666	0	0
>BTJW	68.0417	7	9.56349e-05	26	0.00235507
LMLK	65.3635	8	0.000109297	26	0.00235507
WJMLK	65.3635	8	0.000109297	26	0.00235507
JHW>C	65.3403	0	0	17	0.00153986
DWD	61.4968	0	0	16	0.00144928
BNJ	60.2567	623	0.00851151	34	0.00307971
BN	59.791	324	0.00442653	131	0.0118659
>LHJK	58.6584	252	0.00344286	3	0.000271739
BMLKW	57.6532	0	0	15	0.0013587
JW>C	57.6532	0	0	15	0.0013587
HNBJ>JM	57.6532	0	0	15	0.0013587
>XZ	56.8134	2	2.73243e-05	18	0.00163043
>W	55.0551	256	0.00349751	4	0.000362319
TXTJW	54.3981	13	0.000177608	26	0.00235507
JHW>XZ	53.8097	0	0	14	0.00126812
JWSP	51.2668	162	0.00221327	0	0
J<QB	50.6338	160	0.00218594	0	0
JC<JHW	49.9661	0	0	13	0.00117754
HBMWT	49.9661	0	0	13	0.00117754
J>CJHW	49.9661	0	0	13	0.00117754
LKM	48.5235	233	0.00318328	4	0.000362319
WJCLX	46.8701	32	0.000437188	33	0.00298913
HXVJ>	46.1226	0	0	12	0.00108696
JHWRM	46.1226	0	0	12	0.00108696
NBV	46.1226	0	0	12	0.00108696
MW<D	43.6717	138	0.00188537	0	0
JWRM	42.279	0	0	11	0.000996377
XZ>L	42.279	0	0	11	0.000996377
>XZJHW	42.279	0	0	11	0.000996377
WJLK	40.3377	41	0.000560148	34	0.00307971
HJMJM	39.4662	23	0.000314229	26	0.00235507
WJCKB	39.3622	4	5.46485e-05	15	0.0013587
N<MN	38.4355	0	0	10	0.000905797
MLKJ	37.6136	6	8.19728e-05	16	0.00144928
HW>	37.0012	451	0.00616162	28	0.00253623
LJHWH	36.7829	255	0.00348384	9	0.000815217
>BRHM	36.7095	116	0.00158481	0	0
H<JR	36.6584	35	0.000478175	30	0.00271739
KH	36.2325	38	0.000519161	31	0.00280797
WJ>MR	36.1046	632	0.00863447	184	0.0166667
BBJT	35.7757	24	0.000327891	25	0.00226449
B<JNJ	35.7498	36	0.000491837	30	0.00271739
CPN	34.5919	0	0	9	0.000815217
>MYJHW	34.5919	0	0	9	0.000815217
JHWCPV	34.5919	0	0	9	0.000815217
PQX	34.5919	0	0	9	0.000815217
>CH	33.8614	107	0.00146185	0	0
JHJH	33.6458	206	0.0028144	6	0.000543478
QDC	33.2284	105	0.00143452	0	0
HR<	33.0027	22	0.000300567	23	0.00208333
MCPXT	32.912	104	0.00142086	0	0
H>LHJM	32.2637	57	0.000778742	36	0.00326087
SR	32.0599	3	4.09864e-05	12	0.00108696
L>	31.6358	947	0.012938	92	0.00833333
WHJH	31.4123	157	0.00214496	3	0.000271739
KL	31.2525	967	0.0132113	95	0.00860507
CQH	30.7484	0	0	8	0.000724638
MNXM	30.7484	0	0	8	0.000724638
>MR	29.2722	84	0.00114762	43	0.00389493
HCLWM	28.2549	2	2.73243e-05	10	0.000905797
PR<H	28.0185	184	0.00251383	6	0.000543478
>NKJ	27.2422	127	0.00173509	2	0.000181159
VBXJM	26.9048	0	0	7	0.000634058
JHWJQJM	26.9048	0	0	7	0.000634058
XLQJHW	26.9048	0	0	7	0.000634058
BDQ	26.9048	0	0	7	0.000634058
QCR	26.9048	0	0	7	0.000634058
JHWJD<	26.9048	0	0	7	0.000634058
XV>WT	26.9048	0	0	7	0.000634058
WJHW>	26.9048	0	0	7	0.000634058
W>XT	26.9048	0	0	7	0.000634058
XZQJH	26.9048	0	0	7	0.000634058
HNM	26.9048	0	0	7	0.000634058
W>LJC<	26.9048	0	0	7	0.000634058
RMLJHW	26.9048	0	0	7	0.000634058
BC<R	24.7938	2	2.73243e-05	9	0.000815217
<BDJ	24.4718	14	0.00019127	16	0.00144928
<FH	24.3126	116	0.00158481	49	0.00443841
HNBJ>	23.9866	5	6.83107e-05	11	0.000996377
HMCKN	23.7346	75	0.00102466	0	0
JYXQ	23.4181	74	0.001011	0	0
BQR	23.4181	74	0.001011	0	0
HKSP	23.3008	15	0.000204932	16	0.00144928
HQDC	23.1017	73	0.000997336	0	0
YDQJHW	23.0613	0	0	6	0.000543478
BJZR<>L	23.0613	0	0	6	0.000543478
BGDJM	23.0613	0	0	6	0.000543478
JHWJKJN	23.0613	0	0	6	0.000543478
BBMWT	23.0613	0	0	6	0.000543478
>JZBL	23.0613	0	0	6	0.000543478
HSJR	23.0613	0	0	6	0.000543478
GJXZJ	23.0613	0	0	6	0.000543478
<M	22.9288	105	0.00143452	45	0.00407609
LPNJ	22.8274	247	0.00337455	14	0.00126812
WJB>	22.6952	74	0.001011	36	0.00326087
BJWM	22.6034	138	0.00188537	4	0.000362319
KJ	22.2423	988	0.0134982	108	0.00978261
MYRJM	22.2108	244	0.00333356	14	0.00126812
W<FJT	22.1523	70	0.000956349	0	0
RKB	22.1033	6	8.19728e-05	11	0.000996377
CB	22.0453	3	4.09864e-05	9	0.000815217
BNJW	21.8358	69	0.000942687	0	0
>LJW	21.7162	123	0.00168044	49	0.00443841
NPC	21.5194	68	0.000929025	0	0
JFR>L	21.4089	547	0.00747319	147	0.0133152
WJQBR	21.3733	2	2.73243e-05	8	0.000724638
CTJ	21.2029	67	0.000915363	0	0
HL>	21.1592	17	0.000232256	16	0.00144928
<MK	20.57	65	0.000888039	0	0
H<DH	20.57	65	0.000888039	0	0
KDBR	20.5308	13	0.000177608	14	0.00126812
W>M	20.5173	142	0.00194002	5	0.000452899
B<JR	20.2886	9	0.000122959	12	0.00108696
H>DMH	20.2535	64	0.000874377	0	0
THJH	20.2535	64	0.000874377	0	0
>HL	20.1999	102	0.00139354	2	0.000181159
KN<N	19.9371	63	0.000860715	0	0
LBN	19.3041	61	0.00083339	0	0
WJCB	19.2326	61	0.00083339	30	0.00271739
HML>K	19.2177	0	0	5	0.000452899
DMFQ	19.2177	0	0	5	0.000452899
BBLH	19.2177	0	0	5	0.000452899
>MWN	19.2177	0	0	5	0.000452899
M<LWT	19.2177	0	0	5	0.000452899
>LJQJM	19.2177	0	0	5	0.000452899
>WRJH	19.2177	0	0	5	0.000452899
WJMJTHW	19.2177	0	0	5	0.000452899
JWTM	19.2177	0	0	5	0.000452899
WJKRT	19.2177	0	0	5	0.000452899
HRYJM	19.2177	0	0	5	0.000452899
HHJ>	19.2177	0	0	5	0.000452899
XZH>L	19.2177	0	0	5	0.000452899
HSWSJM	19.2177	0	0	5	0.000452899
HXMH	19.2177	0	0	5	0.000452899
GDLJHW	19.2177	0	0	5	0.000452899
WJFRP	19.2177	0	0	5	0.000452899
GDWDJ	19.2177	0	0	5	0.000452899
>DNJKM	19.2177	0	0	5	0.000452899
KS>	19.2177	0	0	5	0.000452899
HLW>	19.1463	12	0.000163946	13	0.00117754
<WLM	18.9877	60	0.000819728	0	0
BMDBR	18.9877	60	0.000819728	0	0
WJ<MD	18.9708	10	0.000136621	12	0.00108696
>TH	18.7952	227	0.0031013	14	0.00126812
WJS<W	18.6712	59	0.000806066	0	0
H>DM	18.6712	59	0.000806066	0	0
>JC	18.5625	287	0.00392103	86	0.00778986
JMJM	18.5109	122	0.00166678	4	0.000362319
HHW>	18.2593	121	0.00165312	4	0.000362319
>XJW	17.9916	94	0.00128424	2	0.000181159
<FJM	17.925	5	6.83107e-05	9	0.000815217
M>WT	17.8634	107	0.00146185	3	0.000271739
XMCH	17.7218	56	0.00076508	0	0
HNG<	17.4054	55	0.000751417	0	0
>XJK	17.4054	55	0.000751417	0	0
KN	17.057	160	0.00218594	8	0.000724638
MZBX	16.7725	53	0.000724093	0	0
WJXNW	16.7725	53	0.000724093	0	0
RB	16.5606	25	0.000341553	17	0.00153986
BL<M	16.456	52	0.000710431	0	0
HBJT	16.4313	31	0.000423526	19	0.00172101
WJK	16.2365	8	0.000109297	10	0.000905797
BMJM	16.1395	51	0.000696769	0	0
HDM	16.1395	51	0.000696769	0	0
WJ<L	15.8554	26	0.000355216	17	0.00153986
KKL	15.8441	35	0.000478175	20	0.00181159
H>RY	15.8405	364	0.00497302	32	0.00289855
J>KL	15.8231	50	0.000683107	0	0
HLWJM	15.8231	50	0.000683107	0	0
HNMY>	15.6369	3	4.09864e-05	7	0.000634058
HMLKJM	15.6369	3	4.09864e-05	7	0.000634058
>LHJKM	15.5416	85	0.00116128	2	0.000181159
>LHJM	15.5363	228	0.00311497	16	0.00144928
T<FH	15.5348	98	0.00133889	3	0.000271739
LMCPXTM	15.5066	49	0.000669445	0	0
T<FW	15.5066	49	0.000669445	0	0
>BRM	15.5066	49	0.000669445	0	0
XLQJH	15.3742	0	0	4	0.000362319
BMLK	15.3742	0	0	4	0.000362319
>CWRH	15.3742	0	0	4	0.000362319
HMKJM	15.3742	0	0	4	0.000362319
