PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3037.03	0	0	817	0.0682768
HMLK	534.248	6	8.19728e-05	157	0.0131205
CLMH	485.322	2	2.73243e-05	136	0.0113655
DWD	234.189	0	0	63	0.00526492
MLK	178.21	72	0.000983674	106	0.00885843
MCH	175.003	615	0.00840221	4	0.00033428
JRB<M	167.278	0	0	45	0.00376066
>X>B	156.126	0	0	42	0.00350994
>LJHW	152.409	0	0	41	0.00342637
HBJT	102.524	31	0.000423526	55	0.00459636
BJT	78.2341	82	0.0011203	70	0.00584991
B<C>	78.0631	0	0	21	0.00175497
JHWCPV	78.0631	0	0	21	0.00175497
>HRN	75.5814	223	0.00304666	0	0
RXB<M	70.6285	0	0	19	0.00158783
NBWT	66.9112	0	0	18	0.00150426
BNJ	65.6606	623	0.00851151	36	0.00300852
LMLK	65.4501	8	0.000109297	27	0.00225639
>W	65.2036	256	0.00349751	3	0.00025071
LKM	63.3566	233	0.00318328	2	0.00016714
>S>	63.1939	0	0	17	0.00142069
LCLMH	59.4766	0	0	16	0.00133712
HDD	58.0977	2	2.73243e-05	19	0.00158783
HNBJ>	57.6001	5	6.83107e-05	22	0.00183854
XJRM	55.7593	0	0	15	0.00125355
JWSP	54.9067	162	0.00221327	0	0
J<QB	54.2288	160	0.00218594	0	0
JFR>L	53.4548	547	0.00747319	193	0.016129
H>RY	50.1679	364	0.00497302	16	0.00133712
KS>	48.3248	0	0	13	0.00108641
>JZBL	48.3248	0	0	13	0.00108641
BJRWCLM	48.3248	0	0	13	0.00108641
JW>B	48.3248	0	0	13	0.00108641
>DNJHW	48.3248	0	0	13	0.00108641
MW<D	46.7724	138	0.00188537	0	0
<MRJ	44.6075	0	0	12	0.00100284
JRWCLM	44.6075	0	0	12	0.00100284
JHWJD<	44.6075	0	0	12	0.00100284
BNH	42.8118	13	0.000177608	23	0.00192211
LJHWH	41.3761	255	0.00348384	9	0.000752131
LMLKJ	40.8902	0	0	11	0.000919271
KTWBJM	40.8902	0	0	11	0.000919271
>RZJM	40.8902	0	0	11	0.000919271
WHMLK	40.8902	0	0	11	0.000919271
WJTR	40.6633	2	2.73243e-05	14	0.00116998
>LHJK	40.5686	252	0.00344286	9	0.000752131
>BRHM	39.3159	116	0.00158481	0	0
JHWDH	38.2328	42	0.00057381	35	0.00292495
>TM	37.9985	264	0.0036068	11	0.000919271
H<MWDJM	37.2224	2	2.73243e-05	13	0.00108641
HB<L	37.1729	0	0	10	0.000835701
MCPXT	35.2487	104	0.00142086	0	0
WJMLK	34.5619	8	0.000109297	17	0.00142069
WJCKB	34.3284	4	5.46485e-05	14	0.00116998
>BTJW	33.582	7	9.56349e-05	16	0.00133712
WJHJ	33.4585	194	0.00265045	81	0.00676918
L>S>	33.4556	0	0	9	0.000752131
HRKB	33.4556	0	0	9	0.000752131
CMRWN	33.4556	0	0	9	0.000752131
MJKJHW	33.4556	0	0	9	0.000752131
NBV	33.4556	0	0	9	0.000752131
WJLK	32.7623	41	0.000560148	32	0.00267424
J<N	31.836	5	6.83107e-05	14	0.00116998
BCMRWN	29.7383	0	0	8	0.000668561
BTRYH	29.7383	0	0	8	0.000668561
CM<J	29.7383	0	0	8	0.000668561
BNJHW	29.7383	0	0	8	0.000668561
CMH	27.7923	82	0.0011203	0	0
KCM<	27.3587	3	4.09864e-05	11	0.000919271
LBNWT	27.0373	2	2.73243e-05	10	0.000835701
HW>	26.9841	451	0.00616162	38	0.00317566
W>M	26.3293	142	0.00194002	4	0.00033428
HKLBJM	26.021	0	0	7	0.000584991
HKTRT	26.021	0	0	7	0.000584991
YDWQ	26.021	0	0	7	0.000584991
HMMLKH	26.021	0	0	7	0.000584991
C>LT	26.021	0	0	7	0.000584991
LJRB<M	26.021	0	0	7	0.000584991
ZMRJ	26.021	0	0	7	0.000584991
>TKM	25.7634	140	0.0019127	4	0.00033428
HMCKN	25.4198	75	0.00102466	0	0
DBRJ	25.3018	43	0.000587472	29	0.00242353
JYXQ	25.0808	74	0.001011	0	0
>RM	24.0415	15	0.000204932	17	0.00142069
L>	23.9392	947	0.012938	110	0.00919271
WTB>	23.7024	2	2.73243e-05	9	0.000752131
>XJH	23.7024	2	2.73243e-05	9	0.000752131
HJH	23.1694	52	0.000710431	31	0.00259067
KH	23.0694	38	0.000519161	26	0.00217282
>LHJ	22.7028	68	0.000929025	36	0.00300852
QWMTW	22.3037	0	0	6	0.000501421
HNBJ>JM	22.3037	0	0	6	0.000501421
HMKNWT	22.3037	0	0	6	0.000501421
HXMWR	22.3037	0	0	6	0.000501421
BQJR	22.3037	0	0	6	0.000501421
RMT	22.3037	0	0	6	0.000501421
HJZR<>LJ	22.3037	0	0	6	0.000501421
JHW>	22.3037	0	0	6	0.000501421
HXVJ>	22.3037	0	0	6	0.000501421
HKRWB	22.3037	0	0	6	0.000501421
WHBJT	22.3037	0	0	6	0.000501421
LDWD	22.3037	0	0	6	0.000501421
HMLWKH	22.3037	0	0	6	0.000501421
KS>J	22.3037	0	0	6	0.000501421
WJBW>	22.3037	0	0	6	0.000501421
<BDK	22.085	19	0.000259581	18	0.00150426
H<DH	22.0305	65	0.000888039	0	0
MYRJM	21.9621	244	0.00333356	16	0.00133712
WJBN	21.6177	15	0.000204932	16	0.00133712
JCB	21.4666	22	0.000300567	19	0.00158783
KN<N	21.3526	63	0.000860715	0	0
DBR	20.9107	189	0.00258214	69	0.00576634
BN	20.8766	324	0.00442653	103	0.00860772
LBN	20.6747	61	0.00083339	0	0
HJMJM	20.5811	23	0.000314229	19	0.00158783
B>MH	20.5381	16	0.000218594	16	0.00133712
WJQBR	20.4081	2	2.73243e-05	8	0.000668561
SPR	20.3984	8	0.000109297	12	0.00100284
HKHN	20.0759	235	0.0032106	16	0.00133712
WJS<W	19.9969	59	0.000806066	0	0
PN	19.9969	59	0.000806066	0	0
>XJW	19.8512	94	0.00128424	2	0.00016714
BCNT	19.7721	5	6.83107e-05	10	0.000835701
BFR	19.6579	58	0.000792404	0	0
QDC	19.3225	105	0.00143452	3	0.00025071
>NKJ	19.0888	127	0.00173509	5	0.000417851
TXTJW	19.0552	13	0.000177608	14	0.00116998
B<JR	18.9757	9	0.000122959	12	0.00100284
W>T	18.7234	828	0.0113122	99	0.00827344
HNG<	18.6412	55	0.000751417	0	0
HMS	18.5864	0	0	5	0.000417851
WCBW	18.5864	0	0	5	0.000417851
WBNJHW	18.5864	0	0	5	0.000417851
JMLK	18.5864	0	0	5	0.000417851
M<KH	18.5864	0	0	5	0.000417851
WSLXT	18.5864	0	0	5	0.000417851
L>X>B	18.5864	0	0	5	0.000417851
<BDJHW	18.5864	0	0	5	0.000417851
WMLXMH	18.5864	0	0	5	0.000417851
HNBLH	18.5864	0	0	5	0.000417851
BXRTJ	18.5864	0	0	5	0.000417851
LKTRT	18.5864	0	0	5	0.000417851
KRWBJM	18.5864	0	0	5	0.000417851
SGWR	18.5864	0	0	5	0.000417851
BRWCJM	18.5864	0	0	5	0.000417851
HLBNWN	18.5864	0	0	5	0.000417851
QR>W	18.5864	0	0	5	0.000417851
HDBJR	18.5864	0	0	5	0.000417851
VWRJM	18.5864	0	0	5	0.000417851
>BJM	18.5864	0	0	5	0.000417851
GZJT	18.5864	0	0	5	0.000417851
HKRWBJM	18.5864	0	0	5	0.000417851
>LJW	18.2932	123	0.00168044	49	0.00409494
<FH	18.2127	116	0.00158481	47	0.0039278
>YL	18.0365	6	8.19728e-05	10	0.000835701
WCNJM	17.8641	3	4.09864e-05	8	0.000668561
LBNJ	17.7848	87	0.00118861	2	0.00016714
BBJT	17.6813	24	0.000327891	18	0.00150426
BL<M	17.6244	52	0.000710431	0	0
BMJM	17.2854	51	0.000696769	0	0
HDM	17.2854	51	0.000696769	0	0
<LJH	17.2854	51	0.000696769	0	0
>LHJKM	17.1989	85	0.00116128	2	0.00016714
KS>W	17.1642	2	2.73243e-05	7	0.000584991
<M	17.0512	105	0.00143452	43	0.00359351
J>KL	16.9465	50	0.000683107	0	0
HLWJM	16.9465	50	0.000683107	0	0
HFDH	16.9465	50	0.000683107	0	0
>MH	16.794	20	0.000273243	16	0.00133712
<FW	16.7588	118	0.00161213	5	0.000417851
>BRM	16.6076	49	0.000669445	0	0
LMCPXTM	16.6076	49	0.000669445	0	0
T<FW	16.6076	49	0.000669445	0	0
BDBR	16.5106	7	9.56349e-05	10	0.000835701
GL<D	16.5106	7	9.56349e-05	10	0.000835701
WJ<F	16.4484	82	0.0011203	36	0.00300852
W>HRN	15.9297	47	0.00064212	0	0
HMT	15.8177	4	5.46485e-05	8	0.000668561
>MR	15.6851	84	0.00114762	36	0.00300852
BCMN	15.5908	46	0.000628458	0	0
VHWR	15.5908	46	0.000628458	0	0
T>KLW	15.5908	46	0.000628458	0	0
LMVH	15.5908	46	0.000628458	0	0
>HL	15.3758	102	0.00139354	4	0.00033428
H>NCJM	15.2519	45	0.000614796	0	0
YWH	15.236	112	0.00153016	5	0.000417851
PR<H	14.8907	184	0.00251383	13	0.00108641
MKWN	14.8692	0	0	4	0.00033428
>BJCG	14.8692	0	0	4	0.00033428
LCMJ	14.8692	0	0	4	0.00033428
B>DWM	14.8692	0	0	4	0.00033428
