PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1332.75	0	0	211	0.0913025
YB>WT	311.515	2	2.73243e-05	52	0.0225011
JRWCLM	176.858	0	0	28	0.012116
N>M	98.7575	6	8.19728e-05	20	0.00865426
HML>K	82.1125	0	0	13	0.00562527
KH	54.9023	38	0.000519161	20	0.00865426
BNJ	54.1175	623	0.00851151	0	0
MCH	53.4226	615	0.00840221	0	0
JHWDH	52.0042	42	0.00057381	20	0.00865426
BJRWCLM	50.5308	0	0	8	0.0034617
HNBJ>JM	50.5308	0	0	8	0.0034617
W>MR	50.0335	39	0.000532823	19	0.00822155
>MR	47.8126	84	0.00114762	25	0.0108178
LBD	44.3108	8	0.000109297	11	0.00475984
>LJ	40.0284	87	0.00118861	23	0.0099524
SWSJM	37.8981	0	0	6	0.00259628
YJWN	37.8981	0	0	6	0.00259628
BJ	36.9791	18	0.000245918	12	0.00519256
W>T	35.257	828	0.0113122	7	0.00302899
JHWH	33.2106	1526	0.0208484	122	0.052791
WNCJHM	31.5817	0	0	5	0.00216357
DWJD	31.5817	0	0	5	0.00216357
LW	30.2294	348	0.00475442	0	0
BJWM	30.1994	138	0.00188537	25	0.0108178
BJT	29.4699	82	0.0011203	19	0.00822155
HGWJM	26.0975	27	0.000368878	11	0.00475984
<JNJ	25.4144	7	9.56349e-05	7	0.00302899
ZKRJH	25.2654	0	0	4	0.00173085
W><N	25.2654	0	0	4	0.00173085
ZRBBL	25.2654	0	0	4	0.00173085
HWJ	25.2654	0	0	4	0.00173085
HHW>	24.1505	121	0.00165312	21	0.00908698
W>F>	23.3797	2	2.73243e-05	5	0.00216357
>W	22.2377	256	0.00349751	0	0
JFR>L	22.1018	547	0.00747319	5	0.00216357
>LHJK	21.8902	252	0.00344286	0	0
>CR	21.7846	1664	0.0227338	37	0.0160104
MH	21.783	79	0.00107931	16	0.00692341
HR<JM	21.2573	3	4.09864e-05	5	0.00216357
H>JPH	21.2573	3	4.09864e-05	5	0.00216357
LKM	20.2398	233	0.00318328	0	0
>LHJM	19.8054	228	0.00311497	0	0
>HRN	19.3711	223	0.00304666	0	0
QN>TJ	18.949	0	0	3	0.00129814
MCPXWT	18.949	0	0	3	0.00129814
LDRJWC	18.949	0	0	3	0.00129814
HHDSJM	18.949	0	0	3	0.00129814
WJCBH	18.949	0	0	3	0.00129814
WYWM	18.949	0	0	3	0.00129814
WBMRKBH	18.949	0	0	3	0.00129814
HJWY>T	18.949	0	0	3	0.00129814
HZJTJM	18.949	0	0	3	0.00129814
CBTJ	18.949	0	0	3	0.00129814
G>WN	18.949	0	0	3	0.00129814
KMW	17.801	2	2.73243e-05	4	0.00173085
CM	17.1995	198	0.0027051	0	0
WHJH	17.0974	157	0.00214496	21	0.00908698
WJ<N	16.1304	18	0.000245918	7	0.00302899
HLW>	16.026	12	0.000163946	6	0.00259628
PR<H	15.9833	184	0.00251383	0	0
GDWLH	15.9653	3	4.09864e-05	4	0.00173085
<WD	15.892	71	0.000970012	13	0.00562527
>LH	14.9152	133	0.00181706	18	0.00778884
HR>CNJM	14.5225	4	5.46485e-05	4	0.00173085
QYP	14.5225	4	5.46485e-05	4	0.00173085
JWSP	14.0723	162	0.00221327	0	0
J<QB	13.8986	160	0.00218594	0	0
CLXNJ	13.355	10	0.000136621	5	0.00216357
JGP	12.6327	0	0	2	0.000865426
ZRW	12.6327	0	0	2	0.000865426
N<M	12.6327	0	0	2	0.000865426
QR>TJ	12.6327	0	0	2	0.000865426
MJRWCLM	12.6327	0	0	2	0.000865426
JGN	12.6327	0	0	2	0.000865426
>BWTJKM	12.6327	0	0	2	0.000865426
JCBT	12.6327	0	0	2	0.000865426
>FJM	12.6327	0	0	2	0.000865426
C>RJT	12.6327	0	0	2	0.000865426
YMX	12.6327	0	0	2	0.000865426
JLDJW	12.6327	0	0	2	0.000865426
HSWS	12.6327	0	0	2	0.000865426
KMWH	12.6327	0	0	2	0.000865426
BGDJM	12.6327	0	0	2	0.000865426
W>GD<	12.6327	0	0	2	0.000865426
TXCBW	12.6327	0	0	2	0.000865426
NQH	12.6327	0	0	2	0.000865426
VWBJM	12.6327	0	0	2	0.000865426
BHJKL	12.6327	0	0	2	0.000865426
HHRGH	12.6327	0	0	2	0.000865426
BLBBKM	12.6327	0	0	2	0.000865426
>DWN	12.6327	0	0	2	0.000865426
