PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2788.69	0	0	695	0.0726152
DWD	963.002	0	0	240	0.0250757
HMLK	900.394	6	8.19728e-05	238	0.0248668
JW>B	345.076	0	0	86	0.00898548
>BCLWM	272.851	0	0	68	0.0071048
C>WL	219.752	4	5.46485e-05	62	0.0064779
MCH	177.659	615	0.00840221	0	0
>BNR	152.475	0	0	38	0.00397033
LDWD	108.338	0	0	27	0.00282102
>WRJH	92.2877	0	0	23	0.00240309
<BDK	91.8387	19	0.000259581	40	0.00417929
>MNWN	84.2627	0	0	21	0.00219413
WJ>MR	83.062	632	0.00863447	213	0.0222547
MYRJM	70.4857	244	0.00333356	0	0
JRWCLM	68.2127	0	0	17	0.0017762
HKHN	67.8859	235	0.0032106	0	0
BJT	66.4669	82	0.0011203	58	0.00605997
W>T	65.2382	828	0.0113122	45	0.0047017
>HRN	64.4193	223	0.00304666	0	0
>XJTPL	64.2002	0	0	16	0.00167172
WJCLX	56.9345	32	0.000437188	35	0.00365688
H>RY	56.444	364	0.00497302	9	0.000940341
BCT	56.1751	0	0	14	0.00146275
JHWNTN	56.1751	0	0	14	0.00146275
WDWD	56.1751	0	0	14	0.00146275
BXBRWN	56.1751	0	0	14	0.00146275
PR<H	53.1532	184	0.00251383	0	0
HW>	52.4022	451	0.00616162	17	0.0017762
PLCTJM	51.4144	10	0.000136621	22	0.00229861
JHWH	50.262	1526	0.0208484	131	0.0136872
>W	48.669	256	0.00349751	4	0.000417929
>BCLM	48.1501	0	0	12	0.00125379
YJB>	48.1501	0	0	12	0.00125379
JWSP	46.7979	162	0.00221327	0	0
J<QB	46.2202	160	0.00218594	0	0
XWCJ	44.1376	0	0	11	0.00114931
YRWJH	44.1376	0	0	11	0.00114931
>LHJK	43.5608	252	0.00344286	5	0.000522411
LKM	42.7719	233	0.00318328	4	0.000417929
BN	42.3362	324	0.00442653	109	0.0113886
WJW>B	40.1251	0	0	10	0.00104482
MW<D	39.8649	138	0.00188537	0	0
<MWN	39.1802	8	0.000109297	17	0.0017762
L>	38.3432	947	0.012938	75	0.00783617
WJHWNTN	36.1126	0	0	9	0.000940341
WJKHW	36.1126	0	0	9	0.000940341
>BJCJ	36.1126	0	0	9	0.000940341
HDD<ZR	36.1126	0	0	9	0.000940341
YDWQ	36.1126	0	0	9	0.000940341
LMLK	35.9585	8	0.000109297	16	0.00167172
TMR	35.7188	5	6.83107e-05	14	0.00146275
<BDJ	35.2947	14	0.00019127	19	0.00198516
>RWN	33.8154	13	0.000177608	18	0.00188068
>BRHM	33.5096	116	0.00158481	0	0
>DNJ	32.4515	77	0.00105198	40	0.00417929
BJRWCLM	32.1001	0	0	8	0.000835858
HC<R	32.1001	0	0	8	0.000835858
L>BCLWM	32.1001	0	0	8	0.000835858
HMLXMH	31.4637	7	9.56349e-05	14	0.00146275
>TM	30.547	264	0.0036068	10	0.00104482
QDC	30.332	105	0.00143452	0	0
MCPXT	30.0431	104	0.00142086	0	0
>HL	29.4653	102	0.00139354	0	0
>CR	28.9423	1664	0.0227338	172	0.017971
HMZBX	28.8876	100	0.00136621	0	0
BJTW	28.4076	30	0.000409864	23	0.00240309
T<FH	28.3098	98	0.00133889	0	0
>XJM<Y	28.0876	0	0	7	0.000731376
>RWNH	28.0876	0	0	7	0.000731376
HXWMH	28.0876	0	0	7	0.000731376
WHMLK	28.0876	0	0	7	0.000731376
<FH>L	28.0876	0	0	7	0.000731376
MT	27.9754	20	0.000273243	19	0.00198516
WJDBR	27.4452	140	0.0019127	2	0.000208965
>JC	26.2632	287	0.00392103	87	0.00908996
LJHWH	26.179	255	0.00348384	11	0.00114931
WTHJ	24.9207	18	0.000245918	17	0.0017762
>LHJKM	24.5545	85	0.00116128	0	0
>LHM	24.2656	84	0.00114762	0	0
HML>K	24.0751	0	0	6	0.000626894
<YMWT	24.0751	0	0	6	0.000626894
HGTJ	24.0751	0	0	6	0.000626894
LHCJB	24.0751	0	0	6	0.000626894
HKWCJ	24.0751	0	0	6	0.000626894
CM<J	24.0751	0	0	6	0.000626894
HYPH	24.0751	0	0	6	0.000626894
W>NCJW	24.0751	0	0	6	0.000626894
HMGJD	24.0751	0	0	6	0.000626894
MJKL	24.0751	0	0	6	0.000626894
>JK	24.0751	0	0	6	0.000626894
BKRJ	22.6698	2	2.73243e-05	8	0.000835858
M>XRJ	22.6698	2	2.73243e-05	8	0.000835858
WJLK	22.5333	41	0.000560148	24	0.00250757
>BH	22.4741	5	6.83107e-05	10	0.00104482
H<JR	22.3583	35	0.000478175	22	0.00229861
JHWDH	21.9094	42	0.00057381	24	0.00250757
H<M	21.7141	215	0.00293736	67	0.00700031
HMCKN	21.6657	75	0.00102466	0	0
