PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3004.3	0	0	811	0.06841
C>WL	926.736	4	5.46485e-05	261	0.022016
DWD	918.7	0	0	248	0.0209194
CMW>L	429.715	0	0	116	0.0097849
PLCTJM	278.788	10	0.000136621	92	0.00776044
MCH	190.396	615	0.00840221	2	0.000168705
JHWNTN	144.473	0	0	39	0.00328975
HPLCTJ	118.542	0	0	32	0.00269928
HMLK	118.03	6	8.19728e-05	41	0.00345846
WJ>MR	98.5782	632	0.00863447	257	0.0216786
JCJ	88.9065	0	0	24	0.00202446
WDWD	81.4976	0	0	22	0.00185576
JWNTN	81.4976	0	0	22	0.00185576
LC>WL	74.0887	0	0	20	0.00168705
>RWN	71.9066	13	0.000177608	33	0.00278364
BNJ	71.0094	623	0.00851151	34	0.00286799
>KJC	70.3843	0	0	19	0.0016027
W>NCJW	62.9754	0	0	17	0.00143399
PR<H	62.8016	184	0.00251383	0	0
WC>WL	61.3674	2	2.73243e-05	20	0.00168705
>HRN	60.6476	223	0.00304666	2	0.000168705
LDWD	59.271	0	0	16	0.00134964
J<QB	54.61	160	0.00218594	0	0
NBL	53.8827	3	4.09864e-05	19	0.0016027
H>RY	53.5215	364	0.00497302	15	0.00126529
>LHJK	51.2437	252	0.00344286	6	0.000506116
<LJ	50.1389	28	0.00038254	34	0.00286799
<L	50.063	995	0.0135938	92	0.00776044
MW<D	47.1012	138	0.00188537	0	0
MYRJM	45.2948	244	0.00333356	7	0.000590468
WPLCTJM	44.4532	0	0	12	0.00101223
JWSP	41.0992	162	0.00221327	2	0.000168705
DGWN	40.7488	0	0	11	0.000927879
>BRHM	39.5923	116	0.00158481	0	0
CNH	38.7835	209	0.00285539	6	0.000506116
>CR	38.2374	1664	0.0227338	200	0.0168705
YWH	38.227	112	0.00153016	0	0
L>	37.9519	947	0.012938	96	0.00809785
JHJH	37.9306	206	0.0028144	6	0.000506116
KL	37.7248	967	0.0132113	99	0.00835091
XNH	37.0444	0	0	10	0.000843526
>BNR	37.0444	0	0	10	0.000843526
Q<JLH	37.0444	0	0	10	0.000843526
WCMW>L	37.0444	0	0	10	0.000843526
WJLK	36.6269	41	0.000560148	34	0.00286799
HLW>	35.8444	12	0.000163946	20	0.00168705
>HL	34.8139	102	0.00139354	0	0
BJT	34.5789	82	0.0011203	48	0.00404892
W>T	34.1914	828	0.0113122	83	0.00700127
HMZBX	34.1313	100	0.00136621	0	0
WL>CR	33.6526	2	2.73243e-05	12	0.00101223
>XJMLK	33.3399	0	0	9	0.000759173
MJKL	33.3399	0	0	9	0.000759173
BPLCTJM	33.3399	0	0	9	0.000759173
>LH	31.9847	133	0.00181706	2	0.000168705
>W	31.3986	256	0.00349751	13	0.00109658
GDWLH	30.4651	3	4.09864e-05	12	0.00101223
LBNJ	29.6942	87	0.00118861	0	0
BRMH	29.6355	0	0	8	0.000674821
BDWD	29.6355	0	0	8	0.000674821
HGLGL	29.6355	0	0	8	0.000674821
GT	29.6355	0	0	8	0.000674821
