PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1051.82	0	0	146	0.106492
>MR	262.774	7	8.49731e-05	42	0.0306346
MR"WT>	115.268	0	0	16	0.0116703
MR>	85.8467	5	6.06951e-05	15	0.0109409
XJLTN>	72.0424	0	0	10	0.00729395
SXR"TH^	57.634	0	0	8	0.00583516
W>M#R	52.8561	956	0.0116049	0	0
WD>R"B<>	50.4297	0	0	7	0.00510576
MWC>	37.3752	676	0.00820597	0	0
<MWS	36.0212	0	0	5	0.00364697
>TPNJTWN	36.0212	0	0	5	0.00364697
CBJT>	36.0212	0	0	5	0.00364697
DHKN>	31.9341	3	3.6417e-05	6	0.00437637
>HPK	31.377	12	0.000145668	8	0.00583516
MNHWN	30.0903	36	0.000437005	11	0.00802334
W>WBD	28.817	0	0	4	0.00291758
DCMRJN	28.817	0	0	4	0.00291758
>RJ>	28.817	0	0	4	0.00291758
XWJNJ	28.817	0	0	4	0.00291758
X"WBWHJ	28.817	0	0	4	0.00291758
BKLHWN	28.817	0	0	4	0.00291758
>CDR	28.3437	5	6.06951e-05	6	0.00437637
WT>KWL	27.9478	10	0.00012139	7	0.00510576
BXRB>	24.5464	8	9.71121e-05	6	0.00437637
NWR>	24.0554	22	0.000267058	8	0.00583516
>JL	23.7374	15	0.000182085	7	0.00510576
DLM>	23.4446	53	0.000643368	11	0.00802334
LMWC>	22.1155	400	0.00485561	0	0
MDJNT>	21.6127	0	0	3	0.00218818
BCBJ>	21.6127	0	0	3	0.00218818
JWRB<M	21.6127	0	0	3	0.00218818
>DMWS	21.6127	0	0	3	0.00218818
NCTXRWN	21.6127	0	0	3	0.00218818
LMS"KN>	21.6127	0	0	3	0.00218818
DMLK>	21.6127	0	0	3	0.00218818
X"WBJH^	21.6127	0	0	3	0.00218818
B>BL>	21.6127	0	0	3	0.00218818
MLK>	21.6127	0	0	3	0.00218818
NB"J>	21.6127	0	0	3	0.00218818
WSMK	21.6127	0	0	3	0.00218818
W>MRT	21.2894	2	2.4278e-05	4	0.00291758
CM<W	21.2894	2	2.4278e-05	4	0.00291758
PR<WN	19.2958	349	0.00423652	0	0
<BD	17.9478	4	4.85561e-05	4	0.00291758
>PQWD	17.9478	4	4.85561e-05	4	0.00291758
W>MR	16.5713	80	0.000971121	11	0.00802334
KD	16.089	291	0.00353245	0	0
XD	15.7573	285	0.00345962	0	0
>NT	15.315	277	0.00336251	0	0
HKN>	15.3107	230	0.00279197	19	0.0138585
DDHB>	15.2597	276	0.00335037	0	0
PTGMH	14.4085	0	0	2	0.00145879
CLMT>	14.4085	0	0	2	0.00145879
DQY>	14.4085	0	0	2	0.00145879
BKSP>	14.4085	0	0	2	0.00145879
XZJT	14.4085	0	0	2	0.00145879
YLW	14.4085	0	0	2	0.00145879
TXWMHWN	14.4085	0	0	2	0.00145879
MW>B	14.4085	0	0	2	0.00145879
DPLCT"J>	14.4085	0	0	2	0.00145879
W>KLT	14.4085	0	0	2	0.00145879
BCWR"JH^	14.4085	0	0	2	0.00145879
WQWR"BN>	14.4085	0	0	2	0.00145879
