PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2911.93	0	0	768	0.0651676
MLK>	636.985	0	0	168	0.0142554
W>M#R	311.186	956	0.0116049	0	0
DMRJ>	262.514	151	0.00183299	175	0.0148494
CLJMWN	246.452	0	0	65	0.00551549
D>JSRJL	215.33	57	0.000691924	108	0.00916419
W>MR	195.329	80	0.000971121	114	0.00967331
MWC>	192.9	676	0.00820597	3	0.000254561
B>WRCLM	185.787	0	0	49	0.00415783
JHWD>	181.804	23	0.000279197	74	0.00627917
W<BD	160.534	6	7.28341e-05	52	0.00441239
CN"JN	153.396	6	7.28341e-05	50	0.00424268
DMLK>	132.705	0	0	35	0.00296988
LMWC>	130.203	400	0.00485561	0	0
DDWJD	128.914	0	0	34	0.00288502
DJHWD>	126.895	14	0.000169946	50	0.00424268
DWJD	125.122	0	0	33	0.00280017
XZQJ>	125.122	0	0	33	0.00280017
DBJT	121.399	50	0.000606951	71	0.00602461
BMLKWT>	121.33	0	0	32	0.00271532
XJL>	114.116	2	2.4278e-05	34	0.00288502
HWW	113.455	132	0.00160235	104	0.00882478
BBJTH	109.956	0	0	29	0.00246076
<LW"T>	102.373	0	0	27	0.00229105
JHWCPV	102.373	0	0	27	0.00229105
LMLK>	98.581	0	0	26	0.00220619
HW>	93.552	239	0.00290122	131	0.0111158
KH"N>	90.419	4	4.85561e-05	30	0.00254561
PR<WN	90.4126	349	0.00423652	3	0.000254561
>LPJ"N	87.2063	0	0	23	0.00195163
NBJ>	87.2063	0	0	23	0.00195163
L>WRCLM	83.4147	0	0	22	0.00186678
>S>	75.8315	0	0	20	0.00169707
D>WRCLM	75.8315	0	0	20	0.00169707
WJHB	72.0399	0	0	19	0.00161222
>MLK	72.0399	0	0	19	0.00161222
<SRJN	72.0399	0	0	19	0.00161222
TR"JN	69.0078	212	0.00257347	0	0
W<B^D	66.4037	204	0.00247636	0	0
BR	65.4343	159	0.0019301	89	0.00755197
WLW"J>	64.4568	0	0	17	0.00144251
WHW>	59.2277	31	0.000376309	38	0.00322444
D<BD	58.9416	4	4.85561e-05	21	0.00178193
<B^D>	58.5915	180	0.00218502	0	0
W<B#DW	57.9405	178	0.00216074	0	0
JWJD<	56.8736	0	0	15	0.0012728
D>TWR	56.8736	0	0	15	0.0012728
LW"J>	56.8736	0	0	15	0.0012728
>HRWN	54.6854	168	0.00203935	0	0
QWR"J>	53.6387	7	8.49731e-05	22	0.00186678
JWCJ>	53.0821	0	0	14	0.00118795
DCLJMWN	53.0821	0	0	14	0.00118795
WKNC	53.0821	0	0	14	0.00118795
>MWYJ>	53.0821	0	0	14	0.00118795
W<B#D	52.7323	162	0.00196652	0	0
WHW#>	50.1283	154	0.00186941	0	0
L>	49.329	856	0.010391	69	0.0058549
JWRB<M	49.2905	0	0	13	0.0011031
DMCKN>	47.8497	147	0.00178444	0	0
KTJBJN	45.4989	0	0	12	0.00101824
WNPQ	45.4989	0	0	12	0.00101824
WCRK>	45.4989	0	0	12	0.00101824
WBN>	45.4989	0	0	12	0.00101824
GNBR"J	45.4989	0	0	12	0.00101824
RXB<M	45.4989	0	0	12	0.00101824
<>D>	45.4989	0	0	12	0.00101824
LMBN>	45.4989	0	0	12	0.00101824
>BH"TH	45.4989	0	0	12	0.00101824
QM	44.9853	11	0.000133529	22	0.00186678
HNWN	44.9325	8	9.71121e-05	20	0.00169707
J<QWB	42.6416	131	0.00159021	0	0
DPQ^D	42.3161	130	0.00157807	0	0
BJTH	42.1164	22	0.000267058	27	0.00229105
LCLJMWN	41.7073	0	0	11	0.00093339
DJHBT	41.7073	0	0	11	0.00093339
SWG>>	41.6764	2	2.4278e-05	14	0.00118795
M>	41.6651	128	0.00155379	0	0
LM<BD	41.1834	27	0.000327753	29	0.00246076
BRH	40.9629	34	0.000412727	32	0.00271532
C"NJN	39.712	122	0.00148096	0	0
BJT>	39.473	20	0.00024278	25	0.00212134
DMYRJN	39.0154	268	0.00325326	10	0.000848536
DVB	38.7559	8	9.71121e-05	18	0.00152737
WQ#R>	38.7355	119	0.00144454	0	0
DBJTH	38.1613	2	2.4278e-05	13	0.0011031
>PW"HJ	37.9158	0	0	10	0.000848536
WDHB>	37.9158	0	0	10	0.000848536
WCKB	37.9158	0	0	10	0.000848536
LDWJD	37.9158	0	0	10	0.000848536
>XB	37.9158	0	0	10	0.000848536
LJHWCPV	37.9158	0	0	10	0.000848536
>WRCLM	37.9158	0	0	10	0.000848536
LMLKWTH	37.9158	0	0	10	0.000848536
W>N	36.9098	186	0.00225786	4	0.000339415
>"LPJN	36.8752	20	0.00024278	24	0.00203649
DBJT>	36.8364	6	7.28341e-05	16	0.00135766
LBJTH	35.5481	19	0.000230641	23	0.00195163
MJTJN	35.3147	4	4.85561e-05	14	0.00118795
L>HRWN	35.1549	108	0.00131101	0	0
JWSP	35.1549	108	0.00131101	0	0
W>P	34.9164	112	0.00135957	56	0.0047518
SGJ	34.6667	2	2.4278e-05	12	0.00101824
CM<	34.1242	0	0	9	0.000763683
>BJ>	34.1242	0	0	9	0.000763683
MR"WT>	34.1242	0	0	9	0.000763683
BNW"HJ	34.1242	0	0	9	0.000763683
NBV	34.1242	0	0	9	0.000763683
WBJT>	34.1242	0	0	9	0.000763683
<WZJ>	34.1242	0	0	9	0.000763683
DHWW	34.1242	0	0	9	0.000763683
DKH"N>	34.1242	0	0	9	0.000763683
KWLHWN	34.1242	0	0	9	0.000763683
TR"TJN	33.9183	146	0.0017723	2	0.000169707
D>CKR<>	33.8529	104	0.00126246	0	0
WX#Z>	33.8529	104	0.00126246	0	0
>N>	33.6991	517	0.00627587	39	0.00330929
M"J>	33.62	145	0.00176016	2	0.000169707
DZXWRJT>	33.2018	102	0.00123818	0	0
<B^D	32.8763	101	0.00122604	0	0
DPR<WN	32.7266	142	0.00172374	2	0.000169707
H#W	32.2253	99	0.00120176	0	0
>R<>	32.1054	431	0.00523192	30	0.00254561
>M#R	31.8998	98	0.00118962	0	0
DS>M>	31.8998	98	0.00118962	0	0
D>S>	30.3326	0	0	8	0.000678829
<BJ"DT>	30.3326	0	0	8	0.000678829
JHB	30.3326	0	0	8	0.000678829
JW>C	30.3326	0	0	8	0.000678829
D>BH"THWN	30.3326	0	0	8	0.000678829
BKLHJN	30.3326	0	0	8	0.000678829
WHPK	30.3326	0	0	8	0.000678829
DM"LK>	30.3326	0	0	8	0.000678829
XLQJ>	30.3326	0	0	8	0.000678829
DMLK">	30.3326	0	0	8	0.000678829
CBJT>	30.3326	0	0	8	0.000678829
DBJ#C	30.3326	0	0	8	0.000678829
WLLW"J>	30.3326	0	0	8	0.000678829
QDM"J>	30.3326	0	0	8	0.000678829
WMLK>	30.3326	0	0	8	0.000678829
<B#DW	30.2723	93	0.00112893	0	0
<ZJL>	29.9468	92	0.00111679	0	0
T<B^D	29.9468	92	0.00111679	0	0
MNC>	29.6477	5	6.06951e-05	13	0.0011031
MLKWT>	28.8062	4	4.85561e-05	12	0.00101824
W>RGWN>	28.6447	88	0.00106823	0	0
MYR"J>	28.6447	88	0.00106823	0	0
>BRHM	27.9937	86	0.00104396	0	0
<B#D	27.6682	85	0.00103182	0	0
DPDT>	27.3427	84	0.00101968	0	0
WYWB<>	27.3427	84	0.00101968	0	0
PRS>	27.3427	84	0.00101968	0	0
LPR<WN	27.3427	84	0.00101968	0	0
W>HRWN	27.3427	84	0.00101968	0	0
W>M#RT	27.0172	83	0.00100754	0	0
>P	26.9077	186	0.00225786	7	0.000593975
KHN>	26.8899	20	0.00024278	20	0.00169707
WNYLWN	26.541	0	0	7	0.000593975
DBN>	26.541	0	0	7	0.000593975
<MWR"JH^	26.541	0	0	7	0.000593975
W<MWR"JH^	26.541	0	0	7	0.000593975
>XZ	26.541	0	0	7	0.000593975
DJHB	26.541	0	0	7	0.000593975
BN>	26.541	0	0	7	0.000593975
>M">	26.541	0	0	7	0.000593975
MDJNT>	26.541	0	0	7	0.000593975
LLW"J>	26.541	0	0	7	0.000593975
WHLK	26.541	0	0	7	0.000593975
CWR>	26.541	0	0	7	0.000593975
LKH"N>	26.541	0	0	7	0.000593975
LJHWD>	26.541	0	0	7	0.000593975
DXZQJ>	26.541	0	0	7	0.000593975
WQVL	26.541	0	0	7	0.000593975
