PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3615.7	0	0	895	0.0953142
DWJD	605.984	0	0	150	0.0159744
BRH	363.886	34	0.000412727	129	0.013738
BR	317.722	159	0.0019301	185	0.0197018
W>M#R	272.13	956	0.0116049	0	0
>WLD	248.597	16	0.000194224	82	0.00873269
MLK>	193.915	0	0	48	0.00511182
BNW"HJ	161.596	0	0	40	0.00425985
XJL>	157.921	2	2.4278e-05	43	0.00457934
MWC>	153.522	676	0.00820597	5	0.000532481
WKPR"WNJH^	141.396	0	0	35	0.00372737
B"NJ	130.442	35	0.000424866	61	0.00649627
LDWJD	125.237	0	0	31	0.00330138
HWW	122.02	132	0.00160235	99	0.0105431
LMWC>	113.862	400	0.00485561	0	0
DDWJD	113.117	0	0	28	0.0029819
HLJN	110.97	143	0.00173588	98	0.0104366
WBN"WHJ	108.672	56	0.000679785	64	0.00681576
>"LPJN	107.247	20	0.00024278	45	0.00479233
PR<WN	99.3445	349	0.00423652	0	0
L>	97.4211	856	0.010391	32	0.00340788
GNBR"J	96.9574	0	0	24	0.00255591
W>X"WHJ	92.9175	0	0	23	0.00244941
DMN	85.4508	23	0.000279197	40	0.00425985
TR<SR	84.8377	0	0	21	0.00223642
<SRJN	80.7978	0	0	20	0.00212993
MRJ>	77.29	1348	0.0163634	88	0.00937167
DBJT	72.3315	50	0.000606951	48	0.00511182
CBV>	69.983	25	0.000303475	36	0.00383387
BN"WHJ	68.5982	39	0.000473422	42	0.00447284
DMRJ>	66.209	151	0.00183299	79	0.00841321
HN>	64.7402	389	0.00472208	8	0.00085197
WLKPR"WNJH^	64.6383	0	0	16	0.00170394
LW"J>	64.6383	0	0	16	0.00170394
DMYRJN	60.761	268	0.00325326	2	0.000212993
DMLK>	60.5984	0	0	15	0.00159744
TR"JN	60.3468	212	0.00257347	0	0
C>WL	60.284	2	2.4278e-05	18	0.00191693
>N>	59.6976	517	0.00627587	19	0.00202343
W<B^D	58.0696	204	0.00247636	0	0
W>MR	58.0289	80	0.000971121	53	0.0056443
>R<>	57.7864	431	0.00523192	13	0.00138445
JW>B	56.5585	0	0	14	0.00149095
<MWN	56.5585	0	0	14	0.00149095
D>JSRJL	55.6427	57	0.000691924	44	0.00468584
QWR"J>	55.3395	7	8.49731e-05	21	0.00223642
>DWM	52.9945	4	4.85561e-05	18	0.00191693
>LP	52.5186	0	0	13	0.00138445
CM<J>	52.5186	0	0	13	0.00138445
NBJ>	52.5186	0	0	13	0.00138445
<B^D>	51.2378	180	0.00218502	0	0
W<B#DW	50.6685	178	0.00216074	0	0
PLC"TJ>	48.9181	3	3.6417e-05	16	0.00170394
LCLJMWN	48.4787	0	0	12	0.00127796
DMTB<>	48.4787	0	0	12	0.00127796
RBJ<J>	48.4787	0	0	12	0.00127796
MNJN>	48.4787	0	0	12	0.00127796
MR"WT>	48.4787	0	0	12	0.00127796
MN	47.2548	1856	0.02253	170	0.0181044
W<B#D	46.1141	162	0.00196652	0	0
