PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2130.04	0	0	422	0.0811382
M^LK>	441.089	75	0.000910426	140	0.0269179
DNJ>JL	232.184	0	0	46	0.00884445
CBXWHJ	161.519	0	0	32	0.00615266
WRMRMWHJ	161.519	0	0	32	0.00615266
B^RKW	141.329	0	0	28	0.00538358
NBWKDNYR	141.329	0	0	28	0.00538358
HJDJN	131.074	21	0.000254919	41	0.0078831
L<LM	120.525	64	0.000776897	54	0.0103826
LDNJ>JL	116.092	0	0	23	0.00442223
MWC>	112.966	676	0.00820597	0	0
MRJ>	110.876	1348	0.0163634	22	0.00422996
WPCRH	80.7596	0	0	16	0.00307633
BLVCYR	75.7122	0	0	15	0.00288406
>TWN>	75.7122	0	0	15	0.00288406
MJCK	70.6647	0	0	14	0.00269179
HWJT	70.6609	4	4.85561e-05	18	0.00346087
DNWR>	68.3433	17	0.000206363	24	0.0046145
LMWC>	66.8438	400	0.00485561	0	0
>JSRJL	66.8345	595	0.00722271	5	0.000961354
W<BDN^GW	65.6172	0	0	13	0.00249952
DBBL	65.6172	0	0	13	0.00249952
DM^LK>	63.7312	2	2.4278e-05	15	0.00288406
PR<WN	58.3213	349	0.00423652	0	0
<N#>	56.8238	4	4.85561e-05	15	0.00288406
JQDT>	55.5223	0	0	11	0.00211498
XZW>	51.5875	6	7.28341e-05	15	0.00288406
XJ"L>	50.4748	0	0	10	0.00192271
LM^LK>	49.5995	5	6.06951e-05	14	0.00269179
MLKWT>	47.7354	4	4.85561e-05	13	0.00249952
XLM>	46.9256	13	0.000157807	17	0.0032686
MBRK	45.4273	0	0	9	0.00173044
CWLVN	40.3798	0	0	8	0.00153817
CDRK	40.3798	0	0	8	0.00153817
BMLKWT>	40.3798	0	0	8	0.00153817
WMRMRM	40.3798	0	0	8	0.00153817
PRZL>	40.3798	0	0	8	0.00153817
WXZJT	40.3798	0	0	8	0.00153817
X^Z>	38.6579	6	7.28341e-05	12	0.00230725
TR"JN	35.4272	212	0.00257347	0	0
MCBX	35.3323	0	0	7	0.0013459
BC<T>	35.3323	0	0	7	0.0013459
WDNJ>JL	35.3323	0	0	7	0.0013459
SGJ>">	35.3323	0	0	7	0.0013459
>LH"JN	35.3323	0	0	7	0.0013459
BQWCT>	35.3323	0	0	7	0.0013459
DXZJT	35.3323	0	0	7	0.0013459
BXJL	35.3323	0	0	7	0.0013459
MLKWTH	35.3323	0	0	7	0.0013459
SGJ	35.3305	2	2.4278e-05	9	0.00173044
MRJM>	34.3917	4	4.85561e-05	10	0.00192271
BXZW>	34.3917	4	4.85561e-05	10	0.00192271
W<B^D	34.0904	204	0.00247636	0	0
RB	32.7082	22	0.000267058	16	0.00307633
DMYRJN	31.2741	268	0.00325326	2	0.000384541
>JT	31.2522	40	0.000485561	20	0.00384541
W>N	31.0824	186	0.00225786	0	0
<M>	30.4389	292	0.00354459	3	0.000576812
WLC"N>	30.2849	0	0	6	0.00115362
LMQM	30.2849	0	0	6	0.00115362
M"LKJN	30.2849	0	0	6	0.00115362
DY^B>	30.2849	0	0	6	0.00115362
XJJ	30.2849	0	0	6	0.00115362
NQWMWN	30.2849	0	0	6	0.00115362
LYLM>	30.2849	0	0	6	0.00115362
MHJ"MN>	30.2849	0	0	6	0.00115362
QY>	30.2849	0	0	6	0.00115362
WLBH	30.2849	0	0	6	0.00115362
WMLKWT>	30.2849	0	0	6	0.00115362
XZJT	30.2849	0	0	6	0.00115362
D>R"JWT>	30.2849	0	0	6	0.00115362
<B^D>	30.0797	180	0.00218502	0	0
>LH	30.0475	4	4.85561e-05	9	0.00173044
DPRZL>	30.0475	4	4.85561e-05	9	0.00173044
W<B#DW	29.7455	178	0.00216074	0	0
H^NWN	29.5007	9	0.000109251	11	0.00211498
DCMJ>	29.2841	26	0.000315614	16	0.00307633
>HRWN	28.0744	168	0.00203935	0	0
<D	27.9902	3	3.6417e-05	8	0.00153817
KLHJN	27.9373	20	0.00024278	14	0.00269179
XJL>	26.1319	2	2.4278e-05	7	0.0013459
