PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1442.09	0	0	222	0.0980999
HBL>	175.39	0	0	27	0.0119311
CMC>	155.898	30	0.00036417	38	0.0167919
WZBN>	110.431	0	0	17	0.00751215
JD<	90.9428	0	0	14	0.00618648
W>M#R	75.7696	956	0.0116049	0	0
TXJT	64.7379	119	0.00144454	33	0.0145824
XZJT	58.4632	0	0	9	0.00397702
DHW>	58.4632	0	0	9	0.00397702
XKMT>	56.0042	12	0.000145668	14	0.00618648
W>P	53.9549	112	0.00135957	29	0.0128148
MRJ>	53.6476	1348	0.0163634	10	0.00441891
MWC>	53.5777	676	0.00820597	0	0
MVL	52.7139	649	0.00787822	73	0.0322581
WXZJT	51.9673	0	0	8	0.00353513
WVWRP>	51.9673	0	0	8	0.00353513
D>T<BD	48.5246	4	4.85561e-05	10	0.00441891
>JSRJL	47.1579	595	0.00722271	0	0
DVB	46.2252	8	9.71121e-05	11	0.0048608
QWHLT	45.4714	0	0	7	0.00309324
MLK>	45.4714	0	0	7	0.00309324
KL	45.2568	282	0.0034232	42	0.0185594
>NC>	44.7692	39	0.000473422	17	0.00751215
SGJ	42.1178	2	2.4278e-05	8	0.00353513
DSKL>	38.9755	0	0	6	0.00265135
<^BD>	38.9755	0	0	6	0.00265135
<ML	38.9755	0	0	6	0.00265135
LBRNC>	38.9755	0	0	6	0.00265135
JHB	38.9755	0	0	6	0.00265135
XKJM>	38.9755	0	0	6	0.00265135
XZ>	38.9755	0	0	6	0.00265135
D>P	38.9755	0	0	6	0.00265135
<WTR>	38.9755	0	0	6	0.00265135
BLBJ	38.9755	0	0	6	0.00265135
LJT	37.1961	20	0.00024278	12	0.0053027
LBJ	36.0952	2	2.4278e-05	7	0.00309324
<BD>	36.0952	2	2.4278e-05	7	0.00309324
BJC>	35.0404	5	6.06951e-05	8	0.00353513
WLJT	34.4971	13	0.000157807	10	0.00441891
HJ	32.9663	99	0.00120176	21	0.00927972
JT	32.4796	0	0	5	0.00220946
<ML>	32.4796	0	0	5	0.00220946
JWTRN>	32.4796	0	0	5	0.00220946
<MLH	32.4796	0	0	5	0.00220946
SKL>	32.4796	0	0	5	0.00220946
<NJN>	32.4796	0	0	5	0.00220946
LMWC>	31.7028	400	0.00485561	0	0
ZBN>	31.6759	57	0.000691924	16	0.00707026
<BD	31.3678	4	4.85561e-05	7	0.00309324
BKL	31.1486	35	0.000424866	13	0.00574459
VB	29.6961	90	0.00109251	19	0.00839593
VB>	28.0021	6	7.28341e-05	7	0.00309324
PR<WN	27.6607	349	0.00423652	0	0
BRNC>	25.9979	12	0.000145668	8	0.00353513
>MRT	25.9837	0	0	4	0.00176757
B>WRCLM	25.9837	0	0	4	0.00176757
H"BLJN	25.9837	0	0	4	0.00176757
HBL	25.9837	0	0	4	0.00176757
D>T>	25.9837	0	0	4	0.00176757
DHWW	25.9837	0	0	4	0.00176757
GDC>	25.9837	0	0	4	0.00176757
DMNW	25.9837	0	0	4	0.00176757
MNTH	25.9837	0	0	4	0.00176757
DXZJT	25.9837	0	0	4	0.00176757
WLBJ	25.9837	0	0	4	0.00176757
JWTRN	25.9837	0	0	4	0.00176757
DXL	25.9837	0	0	4	0.00176757
DHW	25.9837	0	0	4	0.00176757
DJHB	25.9837	0	0	4	0.00176757
D<ML	25.9837	0	0	4	0.00176757
DS"KL>	25.9837	0	0	4	0.00176757
MDJNT>	25.9837	0	0	4	0.00176757
B<MLH	25.9837	0	0	4	0.00176757
<BDT	25.9837	0	0	4	0.00176757
>NWN	25.1803	541	0.00656721	3	0.00132567
JTJR	24.2623	2	2.4278e-05	5	0.00220946
W>MRT	24.2623	2	2.4278e-05	5	0.00220946
BJCT>	24.1245	20	0.00024278	9	0.00397702
>ZL	23.2292	10	0.00012139	7	0.00309324
<M>	23.143	292	0.00354459	0	0
<L	23.1036	1170	0.0142026	18	0.00795404
KD	23.0638	291	0.00353245	0	0
LMD<	22.8155	6	7.28341e-05	6	0.00265135
LMRJ>	21.9542	277	0.00336251	0	0
DDHB>	21.8749	276	0.00335037	0	0
DMYRJN	21.2409	268	0.00325326	0	0
DRWX>	20.6206	26	0.000315614	9	0.00397702
VBT>	20.4881	8	9.71121e-05	6	0.00265135
D<BD	20.4313	4	4.85561e-05	5	0.00220946
DLJT	20.115	27	0.000327753	9	0.00397702
