PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1113.4	0	0	168	0.080847
DM^LK>	432.645	2	2.4278e-05	68	0.0327238
M^LK>	412.792	75	0.000910426	97	0.0466795
>STJR	205.448	0	0	31	0.0149182
MWRDKJ	165.684	0	0	25	0.0120308
>XCJRJC	152.429	0	0	23	0.0110683
HMN	139.175	0	0	21	0.0101059
MRJ>	99.9149	1348	0.0163634	0	0
LMWRDKJ	99.4104	0	0	15	0.00721848
JHW"DJ>	99.4104	0	0	15	0.00721848
JHWD"J>	86.1556	0	0	13	0.00625602
MLKT>	86.1556	0	0	13	0.00625602
L>STJR	86.1556	0	0	13	0.00625602
DMLKWT>	79.5283	0	0	12	0.00577478
BJRT>	72.9009	0	0	11	0.00529355
DHMN	59.6462	0	0	9	0.00433109
MLK>	59.6462	0	0	9	0.00433109
BCWCN	59.6462	0	0	9	0.00433109
DMWRDKJ	53.0189	0	0	8	0.00384986
WHMN	53.0189	0	0	8	0.00384986
MWC>	50.1057	676	0.00820597	0	0
D>STJR	46.3915	0	0	7	0.00336862
>GR"T>	46.3915	0	0	7	0.00336862
>JSRJL	44.1019	595	0.00722271	0	0
LM^LK>	41.7676	5	6.06951e-05	9	0.00433109
LMCTJ>	39.7641	0	0	6	0.00288739
LHMN	39.7641	0	0	6	0.00288739
>GGJ>	39.7641	0	0	6	0.00288739
M^LKT>	39.7641	0	0	6	0.00288739
DH#W	39.7641	0	0	6	0.00288739
NC">	36.2292	23	0.000279197	12	0.00577478
LM<LW	33.1368	0	0	5	0.00240616
BTLT<SR>	33.1368	0	0	5	0.00240616
B>JQRH	33.1368	0	0	5	0.00240616
WCTJ	33.1368	0	0	5	0.00240616
>J#D>	33.1368	0	0	5	0.00240616
B<LDBB>	33.1368	0	0	5	0.00240616
>DR	33.1368	0	0	5	0.00240616
DMDJNT>	33.1368	0	0	5	0.00240616
>R<>	31.9461	431	0.00523192	0	0
LMWC>	29.6483	400	0.00485561	0	0
>LH>	28.9813	391	0.00474636	0	0
W<#BD	26.6004	4	4.85561e-05	6	0.00288739
JHWDJ>	26.6004	4	4.85561e-05	6	0.00288739
>JQR>	26.5094	0	0	4	0.00192493
WMWRDKJ	26.5094	0	0	4	0.00192493
MDJN>	26.5094	0	0	4	0.00192493
WPWQDNH	26.5094	0	0	4	0.00192493
BKLHJN	26.5094	0	0	4	0.00192493
XSD>	26.5094	0	0	4	0.00192493
DPWR"J>	26.5094	0	0	4	0.00192493
TTJHB	26.5094	0	0	4	0.00192493
H#W>	26.5094	0	0	4	0.00192493
PR<WN	25.8682	349	0.00423652	0	0
LK	21.1244	285	0.00345962	0	0
LMRJ>	20.5315	277	0.00336251	0	0
QJS>	20.2409	9	0.000109251	6	0.00288739
R"WRBN>	19.9817	15	0.000182085	7	0.00336862
>JD"JHWN	19.8821	0	0	3	0.0014437
R"X^MWHJ	19.8821	0	0	3	0.0014437
<LJM"T>	19.8821	0	0	3	0.0014437
LCNH	19.8821	0	0	3	0.0014437
DNP#LT	19.8821	0	0	3	0.0014437
KWLHWN	19.8821	0	0	3	0.0014437
Q^VLW	19.8821	0	0	3	0.0014437
BBJTH	19.8821	0	0	3	0.0014437
KTBH^	19.8821	0	0	3	0.0014437
SWSJ>	19.8821	0	0	3	0.0014437
JW"MJN	19.8821	0	0	3	0.0014437
DBCWCN	19.8821	0	0	3	0.0014437
>WCVW	19.8821	0	0	3	0.0014437
BNW"HJ	19.8821	0	0	3	0.0014437
<#BD	19.8821	0	0	3	0.0014437
B<LDB"BJHWN	19.8821	0	0	3	0.0014437
DG#DC	19.8821	0	0	3	0.0014437
C>LTKJ	19.8821	0	0	3	0.0014437
LPLGH^	19.8821	0	0	3	0.0014437
BDRT>	19.8821	0	0	3	0.0014437
DMLK>	19.8821	0	0	3	0.0014437
LJHWD"J>	19.8821	0	0	3	0.0014437
B>JRX	19.8821	0	0	3	0.0014437
B<ZQT>	19.8821	0	0	3	0.0014437
DBKL	19.8821	0	0	3	0.0014437
>TKTB	19.8821	0	0	3	0.0014437
<^BDJN	19.8821	0	0	3	0.0014437
MDJ"NTH	19.8821	0	0	3	0.0014437
<^BD>	19.8821	0	0	3	0.0014437
<MM">	19.8821	0	0	3	0.0014437
W^L>	19.8821	0	0	3	0.0014437
LWCTJ	19.8821	0	0	3	0.0014437
W>TKTB	19.8821	0	0	3	0.0014437
BJTWN>	19.8821	0	0	3	0.0014437
W>JQR>	19.8821	0	0	3	0.0014437
WMCTJ>	19.8821	0	0	3	0.0014437
DBKLHJN	19.8821	0	0	3	0.0014437
B<WTKJ	19.8821	0	0	3	0.0014437
DTR<SR	19.8821	0	0	3	0.0014437
SQ>	19.8821	0	0	3	0.0014437
HGJ	19.8821	0	0	3	0.0014437
DMLKWTH	19.8821	0	0	3	0.0014437
DMYRJN	19.8644	268	0.00325326	0	0
LKJ	19.8546	22	0.000267058	8	0.00384986
LBWC>	19.6444	5	6.06951e-05	5	0.00240616
JWM	19.3353	10	0.00012139	6	0.00288739
CPJR	19.3103	16	0.000194224	7	0.00336862
MCTJ>	18.4233	6	7.28341e-05	5	0.00240616
WMN>	18.4233	6	7.28341e-05	5	0.00240616
LM<L	17.355	7	8.49731e-05	5	0.00240616
DHKN>	17.1711	3	3.6417e-05	4	0.00192493
BN"J	17.0478	230	0.00279197	0	0
M"L>	17.0288	13	0.000157807	6	0.00288739
LKWN	16.6772	225	0.00273128	0	0
JWM"T>	15.7486	15	0.000182085	6	0.00288739
PWQDN>	15.7156	4	4.85561e-05	4	0.00192493
HLJ#N	15.7156	4	4.85561e-05	4	0.00192493
W<B^D	15.1207	204	0.00247636	0	0
QDMWHJ	14.6383	34	0.000412727	8	0.00384986
BJRX>	14.5382	55	0.000667646	10	0.00481232
LH^	13.6723	109	0.00132315	14	0.00673725
WM^LK>	13.4939	6	7.28341e-05	4	0.00192493
<B^D>	13.3418	180	0.00218502	0	0
<LJM"WHJ	13.3002	2	2.4278e-05	3	0.0014437
MHJMN>	13.3002	2	2.4278e-05	3	0.0014437
DM^VJ	13.2547	0	0	2	0.000962464
WLR"WRBN>	13.2547	0	0	2	0.000962464
W>#T>	13.2547	0	0	2	0.000962464
>T<BD	13.2547	0	0	2	0.000962464
XDWT>	13.2547	0	0	2	0.000962464
