PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4159.36	0	0	1213	0.0843885
JWSP	42.8799	108	0.00131101	0	0
>BRHM	34.1451	86	0.00104396	0	0
J<QWB	33.571	131	0.00159021	3	0.00020871
<SW	21.837	55	0.000667646	0	0
>JSXQ	21.44	54	0.000655507	0	0
>BWHJ	17.8666	45	0.000546256	0	0
LJ<QWB	17.4696	44	0.000534117	0	0
LBN	13.8963	35	0.000424866	0	0
>XWHJ	13.8963	35	0.000424866	0	0
W>WLD	13.8963	35	0.000424866	0	0
>BRM	13.8963	35	0.000424866	0	0
BRH	13.4992	34	0.000412727	0	0
W>M#R	13.1931	956	0.0116049	155	0.0107834
LJWSP	11.9111	30	0.00036417	0	0
CB<	11.5141	29	0.000352031	0	0
WH#W	11.5141	29	0.000352031	0	0
RB>	10.9614	72	0.000874009	4	0.00027828
NWX	10.72	27	0.000327753	0	0
>LH>	10.6868	391	0.00474636	55	0.00382635
LH	10.4727	663	0.00804817	105	0.00730486
DCMJ>	10.3229	26	0.000315614	0	0
WMJT	10.3229	26	0.000315614	0	0
<BWR>	10.3229	26	0.000315614	0	0
BRJ	10.3229	26	0.000315614	0	0
C"NJN	10.2592	122	0.00148096	11	0.000765271
WX#J>	9.92591	25	0.000303475	0	0
H#J	9.52887	24	0.000291336	0	0
JHWD>	9.13183	23	0.000279197	0	0
RB	8.7348	22	0.000267058	0	0
>BJ	8.33776	21	0.000254919	0	0
WBN"T>	8.33776	21	0.000254919	0	0
DJWSP	7.94072	20	0.00024278	0	0
SR>	7.94072	20	0.00024278	0	0
B"NJ>	7.94072	20	0.00024278	0	0
W>M#RT	7.76144	83	0.00100754	7	0.00048699
<DKJL	7.54369	19	0.000230641	0	0
RXJL	7.54369	19	0.000230641	0	0
>BJMLK	7.54369	19	0.000230641	0	0
>DM	7.54369	19	0.000230641	0	0
>"XWHJ	7.14665	18	0.000218502	0	0
D<SW	7.14665	18	0.000218502	0	0
DKN<N	7.0818	50	0.000606951	3	0.00020871
>R<>	6.95093	431	0.00523192	68	0.00473076
BR>	6.85638	86	0.00104396	8	0.00055656
H#W	6.76803	99	0.00120176	10	0.000695701
ZR<>	6.74962	17	0.000206363	0	0
WKLH^	6.74962	17	0.000206363	0	0
H^J	6.74962	17	0.000206363	0	0
KPN>	6.74962	17	0.000206363	0	0
>BWHWN	6.74962	17	0.000206363	0	0
>CKX	6.35258	16	0.000194224	0	0
DM"J>	6.35258	16	0.000194224	0	0
WHWT	6.35258	16	0.000194224	0	0
>SJR">	6.35258	16	0.000194224	0	0
CMH^	6.35258	16	0.000194224	0	0
D>WLD	6.35258	16	0.000194224	0	0
>WLD	6.35258	16	0.000194224	0	0
LJ	6.24278	278	0.00337465	41	0.00285237
B>R<>	6.23294	170	0.00206363	22	0.00153054
H>	6.01917	209	0.00253705	29	0.00201753
>NTTH	5.97891	46	0.000558395	3	0.00020871
>JL	5.95554	15	0.000182085	0	0
PRXT>	5.95554	15	0.000182085	0	0
L>BRM	5.95554	15	0.000182085	0	0
W>ZL	5.95554	15	0.000182085	0	0
LMRJ	5.95554	15	0.000182085	0	0
LJ>	5.95554	15	0.000182085	0	0
LWV	5.95554	15	0.000182085	0	0
JWM"T>	5.95554	15	0.000182085	0	0
BTR	5.86744	88	0.00106823	9	0.000626131
<N>	5.79231	53	0.000643368	4	0.00027828
DMRJ	5.55851	14	0.000169946	0	0
<B"DWHJ	5.55851	14	0.000169946	0	0
NPC"T>	5.55851	14	0.000169946	0	0
XJT>	5.55851	14	0.000169946	0	0
>BWN	5.55851	14	0.000169946	0	0
BLXWD	5.55851	14	0.000169946	0	0
MN	5.19512	1856	0.02253	358	0.0249061
JWM"WHJ	5.16147	13	0.000157807	0	0
L>TR>	5.16147	13	0.000157807	0	0
XLM>	5.16147	13	0.000157807	0	0
