PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4137.81	0	0	1271	0.0792098
MR"WT>	732.499	0	0	225	0.0140222
MR>	660.822	5	6.06951e-05	217	0.0135236
W>M#R	417.984	956	0.0116049	0	0
MWC>	295.562	676	0.00820597	0	0
>M^R	279.08	141	0.0017116	213	0.0132743
BRNC>	197.421	12	0.000145668	81	0.00504799
PTGMH	195.333	0	0	60	0.00373925
LMWC>	174.889	400	0.00485561	0	0
MRJ>	163.654	1348	0.0163634	112	0.00697993
<LJKJ	146.5	0	0	45	0.00280444
DDHB>	120.673	276	0.00335037	0	0
LM>MR	120.384	7	8.49731e-05	49	0.00305372
>LH>	109.933	391	0.00474636	10	0.000623208
<LJ	105.317	24	0.000291336	60	0.00373925
D>N>	98.8862	59	0.000716202	81	0.00504799
PR<WN	97.8191	349	0.00423652	9	0.000560887
W>MR	94.8848	80	0.000971121	91	0.0056712
<M"M>	94.5673	31	0.000376309	61	0.00380157
WTWB	92.9754	2	2.4278e-05	33	0.00205659
QDM	92.4302	421	0.00511053	18	0.00112177
XZW>	85.3735	6	7.28341e-05	36	0.00224355
W<B#DW	77.8255	178	0.00216074	0	0
DBJT>	76.5694	6	7.28341e-05	33	0.00205659
H"WJ	75.149	39	0.000473422	58	0.00361461
>HRWN	73.4533	168	0.00203935	0	0
>MR	73.3957	7	8.49731e-05	33	0.00205659
LH	73.3846	663	0.00804817	59	0.00367693
WND<WN	72.8011	16	0.000194224	41	0.00255515
D>JSRJL	71.9505	57	0.000691924	67	0.0041755
WXZ^JT	71.6222	0	0	22	0.00137106
LXBL>	71.6222	0	0	22	0.00137106
W<B#D	70.83	162	0.00196652	0	0
LMRJ>	70.4389	277	0.00336251	9	0.000560887
>"MJN	68.8319	49	0.000594812	61	0.00380157
<W#L>	68.0044	2	2.4278e-05	25	0.00155802
WHW#>	67.3322	154	0.00186941	0	0
DJN	66.8651	19	0.000230641	41	0.00255515
HKN>	66.8388	230	0.00279197	141	0.00878724
WMCX	65.1111	0	0	20	0.00124642
BKJ	65.1111	0	0	20	0.00124642
DMCKN>	64.2716	147	0.00178444	0	0
WHW>	63.9901	31	0.000376309	48	0.0029914
LKJ	63.9852	22	0.000267058	42	0.00261747
W<B^D	62.683	204	0.00247636	4	0.000249283
BJNT	59.8687	4	4.85561e-05	25	0.00155802
>TNB>	58.5999	0	0	18	0.00112177
SJP>	58.5999	0	0	18	0.00112177
<B^D>	57.8508	180	0.00218502	3	0.000186962
DPQ^D	56.8389	130	0.00157807	0	0
>N>	56.0584	517	0.00627587	234	0.0145831
LWT	56.0138	247	0.00299834	10	0.000623208
MLK>	55.3444	0	0	17	0.00105945
GWJT>	55.3444	0	0	17	0.00105945
DHB>	53.3411	122	0.00148096	0	0
>"LPJN	52.9476	20	0.00024278	36	0.00224355
DJN>	52.0888	0	0	16	0.000997133
WQ#R>	52.0294	119	0.00144454	0	0
D<M"M>	50.8288	7	8.49731e-05	25	0.00155802
MMRMRN>	48.8333	0	0	15	0.000934812
DMDJNT>	48.8333	0	0	15	0.000934812
DKJ>	48.0944	110	0.00133529	0	0
JWSP	47.22	108	0.00131101	0	0
L>HRWN	47.22	108	0.00131101	0	0
TR"JN	46.7458	212	0.00257347	9	0.000560887
LMDNX>	45.5777	0	0	14	0.000872492
WPTJH	45.5777	0	0	14	0.000872492
LDRT>	45.5777	0	0	14	0.000872492
MDJNT>	45.5777	0	0	14	0.000872492
MDJN"T>	45.5777	0	0	14	0.000872492
NPLWN	45.5777	0	0	14	0.000872492
D>CKR<>	45.4711	104	0.00126246	0	0
WX#Z>	45.4711	104	0.00126246	0	0
D<BD	45.233	4	4.85561e-05	20	0.00124642
DZXWRJT>	44.5967	102	0.00123818	0	0
<M>	44.1994	292	0.00354459	20	0.00124642
>NTT>	43.7222	100	0.0012139	0	0
DMYR"J>	43.7222	100	0.0012139	0	0
H#W	43.285	99	0.00120176	0	0
DTR<>	43.222	32	0.000388449	39	0.00243051
>M#R	42.8478	98	0.00118962	0	0
DS>M>	42.8478	98	0.00118962	0	0
LRWX>	42.6867	3	3.6417e-05	18	0.00112177
DPR<WN	42.646	142	0.00172374	3	0.000186962
BRJT>	42.3222	0	0	13	0.000810171
