PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1681.77	0	0	280	0.0954329
BN"J	389.807	230	0.00279197	144	0.0490798
MLK>	294.31	0	0	49	0.0167007
DB>WRCLM	120.127	0	0	20	0.00681663
W>M#R	97.3275	956	0.0116049	0	0
KWMR">	96.1014	0	0	16	0.00545331
W<SRJN	84.0887	0	0	14	0.00477164
L>WRCLM	84.0887	0	0	14	0.00477164
MRJ>	79.1493	1348	0.0163634	10	0.00340832
NMWS>	77.5643	26	0.000315614	24	0.00817996
BR	74.1912	159	0.0019301	46	0.0156783
MWC>	68.8215	676	0.00820597	0	0
DPRS	66.0697	0	0	11	0.00374915
DKR">	60.265	6	7.28341e-05	14	0.00477164
CBJT>	60.0634	0	0	10	0.00340832
WTRJN	60.0634	0	0	10	0.00340832
KWRC	60.0634	0	0	10	0.00340832
BJT>	57.5763	20	0.00024278	18	0.00613497
WCRK>	54.057	0	0	9	0.00306748
<ZR>	54.057	0	0	9	0.00306748
S^PR>	54.057	0	0	9	0.00306748
DMLK>	54.057	0	0	9	0.00306748
>LP	54.057	0	0	9	0.00306748
MDJNT>	54.057	0	0	9	0.00306748
W<MH	51.9879	5	6.06951e-05	12	0.00408998
WDHB>	48.0507	0	0	8	0.00272665
LMBN>	48.0507	0	0	8	0.00272665
D>JSRJL	44.4833	57	0.000691924	22	0.0074983
>R<>	43.8788	431	0.00523192	0	0
>RVXCCT	42.0443	0	0	7	0.00238582
NWKR"JT>	42.0443	0	0	7	0.00238582
DB<BR	42.0443	0	0	7	0.00238582
WLW"J>	42.0443	0	0	7	0.00238582
D>LHN	42.0443	0	0	7	0.00238582
LMWC>	40.7228	400	0.00485561	0	0
LBJT>	40.0266	12	0.000145668	12	0.00408998
WLWJ">	36.038	0	0	6	0.00204499
W<MHWN	36.038	0	0	6	0.00204499
>N"CJ	36.038	0	0	6	0.00204499
WMKJL	36.038	0	0	6	0.00204499
PR<WN	35.5306	349	0.00423652	0	0
M>>	34.4484	57	0.000691924	19	0.0064758
D>LH>	33.4728	89	0.00108037	23	0.00783913
CB<M>>	32.7132	2	2.4278e-05	7	0.00238582
<JLM	30.0317	0	0	5	0.00170416
HJKL>	30.0317	0	0	5	0.00170416
LMLK>	30.0317	0	0	5	0.00170416
D>LHK	30.0317	0	0	5	0.00170416
TR<SR	30.0317	0	0	5	0.00170416
>RXWM	30.0317	0	0	5	0.00170416
NBJ>	30.0317	0	0	5	0.00170416
ZKRJ>	30.0317	0	0	5	0.00170416
DJ#HB	30.0317	0	0	5	0.00170416
D>GRT>	30.0317	0	0	5	0.00170416
W>XW"HJ	30.0317	0	0	5	0.00170416
W>RB<JN	30.0317	0	0	5	0.00170416
W>RB<>	30.0317	0	0	5	0.00170416
WM>TJN	30.0317	0	0	5	0.00170416
ZWRBBL	30.0317	0	0	5	0.00170416
<SRJN	30.0317	0	0	5	0.00170416
DBBL	30.0317	0	0	5	0.00170416
>N>	29.7347	517	0.00627587	4	0.00136333
>JLJN	29.5401	6	7.28341e-05	8	0.00272665
LJ	28.3023	278	0.00337465	0	0
NHR>	27.3782	38	0.000461283	14	0.00477164
DMYRJN	27.2843	268	0.00325326	0	0
HJDJN	27.0242	21	0.000254919	11	0.00374915
M>TJN	26.5966	12	0.000145668	9	0.00306748
MKJL	24.8862	3	3.6417e-05	6	0.00204499
DBJT>	24.7104	6	7.28341e-05	7	0.00238582
DSLQW	24.0253	0	0	4	0.00136333
LBBL	24.0253	0	0	4	0.00136333
BKTB>	24.0253	0	0	4	0.00136333
>LJCB	24.0253	0	0	4	0.00136333
L<ZR>	24.0253	0	0	4	0.00136333
WJ#HB	24.0253	0	0	4	0.00136333
B<BR	24.0253	0	0	4	0.00136333
BJWM	24.0253	0	0	4	0.00136333
JWZDQ	24.0253	0	0	4	0.00136333
BBJ	24.0253	0	0	4	0.00136333
TRJN	24.0253	0	0	4	0.00136333
BGWJ	24.0253	0	0	4	0.00136333
>WRCLM	24.0253	0	0	4	0.00136333
NBWKDNYR	24.0253	0	0	4	0.00136333
WKWMR">	24.0253	0	0	4	0.00136333
>BH"T>	24.0253	0	0	4	0.00136333
B>WRCLM	24.0253	0	0	4	0.00136333
DJHW"DJ>	24.0253	0	0	4	0.00136333
W>JLJN	24.0253	0	0	4	0.00136333
CLJV>	24.0253	0	0	4	0.00136333
VGM>	24.0253	0	0	4	0.00136333
KWLHWN	24.0253	0	0	4	0.00136333
DRJWC	24.0253	0	0	4	0.00136333
NTNJ>	24.0253	0	0	4	0.00136333
D>LH	24.0253	0	0	4	0.00136333
PRCGN>	24.0253	0	0	4	0.00136333
WTMNJ>	24.0253	0	0	4	0.00136333
MCM"CN>	24.0253	0	0	4	0.00136333
L>	23.6011	856	0.010391	16	0.00545331
BBL	21.8595	2	2.4278e-05	5	0.00170416
TR"JN	21.5831	212	0.00257347	0	0
W<L	21.2777	209	0.00253705	0	0
H>	21.2777	209	0.00253705	0	0
LH	21.2109	663	0.00804817	11	0.00374915
>JSRJL	21.0527	595	0.00722271	9	0.00306748
