PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4739.92	0	0	1533	0.0850391
MWC>	324.024	676	0.00820597	0	0
LMWC>	191.73	400	0.00485561	0	0
MRJ>	164.318	1348	0.0163634	132	0.00732235
>JSRJL	146.467	595	0.00722271	27	0.00149775
DDHB>	102.731	276	0.00335037	4	0.000221889
W<B^D	97.7825	204	0.00247636	0	0
J<QWB	84.7331	131	0.00159021	119	0.00660121
>HRWN	80.5267	168	0.00203935	0	0
JWSP	77.8456	108	0.00131101	103	0.00571365
W<B#DW	69.5269	178	0.00216074	2	0.000110945
LMRJ>	66.8317	277	0.00336251	13	0.000721141
<M>	63.6395	292	0.00354459	16	0.000887558
>BRHM	61.9575	86	0.00104396	82	0.00454873
XD>	61.3085	193	0.00234283	5	0.000277362
<B^D>	60.1048	180	0.00218502	4	0.000221889
DNXC>	56.0811	117	0.00142026	0	0
L>HRWN	51.7672	108	0.00131101	0	0
DMCKN>	50.3249	147	0.00178444	3	0.000166417
D>CKR<>	49.8499	104	0.00126246	0	0
DMYR"J>	47.9326	100	0.0012139	0	0
DPQ^D	47.768	130	0.00157807	2	0.000110945
<B#DW	44.5773	93	0.00112893	0	0
DHB>	44.1855	122	0.00148096	2	0.000110945
DDRT>	44.098	92	0.00111679	0	0
<ZJL>	44.098	92	0.00111679	0	0
T<B^D	44.098	92	0.00111679	0	0
<SW	43.9263	55	0.000667646	55	0.00305098
W>RGWN>	42.1807	88	0.00106823	0	0
DPDT>	40.2634	84	0.00101968	0	0
WYWB<>	40.2634	84	0.00101968	0	0
PRS>	40.2634	84	0.00101968	0	0
QWDC>	40.2634	84	0.00101968	0	0
W>HRWN	40.2634	84	0.00101968	0	0
L<M>	39.0812	173	0.00210005	9	0.000499251
DKJ>	38.8442	110	0.00133529	2	0.000110945
DQJS>	38.8254	81	0.00098326	0	0
DJRJ<T>	38.3461	80	0.000971121	0	0
>JSXQ	36.459	54	0.000655507	50	0.00277362
WBWY>	36.4288	76	0.000922565	0	0
PWRCN>	36.4288	76	0.000922565	0	0
DMWC>	36.4288	76	0.000922565	0	0
DZXWRJT>	35.3088	102	0.00123818	2	0.000110945
LJ<QWB	35.141	44	0.000534117	44	0.00244078
>M"JN	34.7351	111	0.00134743	3	0.000166417
>R"B<	34.5115	72	0.000874009	0	0
DS>M>	33.5499	98	0.00118962	2	0.000110945
<L	33.0812	1170	0.0142026	210	0.0116492
LBH	33.0735	69	0.000837592	0	0
XWSJ>	32.5942	68	0.000825453	0	0
TWR>	32.5942	68	0.000825453	0	0
RB>	32.2187	72	0.000874009	56	0.00310645
C"NJN	32.1485	122	0.00148096	78	0.00432684
SVR"WHJ	30.6768	64	0.000776897	0	0
>XRN>	30.131	126	0.00152952	6	0.000332834
>BWHJ	29.3033	45	0.000546256	41	0.00227437
DBWY>	29.2389	61	0.00074048	0	0
>R"B<>	29.2389	61	0.00074048	0	0
VWR>	29.2389	61	0.00074048	0	0
M>"NWHJ	28.7595	60	0.000728341	0	0
SM"KJN	28.7595	60	0.000728341	0	0
WL>HRWN	28.7595	60	0.000728341	0	0
LBN"J	28.3149	86	0.00104396	2	0.000110945
LBN	27.9531	35	0.000424866	35	0.00194153
>XWHJ	27.9531	35	0.000424866	35	0.00194153
W>WLD	27.9531	35	0.000424866	35	0.00194153
>BRM	27.9531	35	0.000424866	35	0.00194153
DSHDWT>	27.3216	57	0.000691924	0	0
TR"JN	27.1912	212	0.00257347	20	0.00110945
WSM"KJHWN	26.8422	56	0.000679785	0	0
XDR	26.8422	56	0.000679785	0	0
W>M>	26.8422	56	0.000679785	0	0
LWX">	26.8422	56	0.000679785	0	0
TR"TJN	26.6105	146	0.0017723	10	0.000554723
LWQBL	26.3914	100	0.0012139	4	0.000221889
>LH>	25.5053	391	0.00474636	171	0.00948577
LDBJT	25.4043	53	0.000643368	0	0
L>	25.3232	856	0.010391	152	0.0084318
M>	25.2378	128	0.00155379	8	0.000443779
>W	25.2304	142	0.00172374	10	0.000554723
JR"J<N	24.9249	52	0.000631229	0	0
TKLT>	24.9249	52	0.000631229	0	0
DQWDC>	24.9249	52	0.000631229	0	0
>WRKH	24.9249	52	0.000631229	0	0
QDM	24.2888	421	0.00511053	61	0.00338381
W>M#RT	24.252	83	0.00100754	55	0.00305098
<B^D	23.5712	101	0.00122604	5	0.000277362
>"MJN	23.487	49	0.000594812	0	0
DBN"J	23.12	129	0.00156593	9	0.000499251
W>N	23.0474	186	0.00225786	18	0.000998502
KNWCT>	23.0076	48	0.000582673	0	0
Q"NJN	23.0076	48	0.000582673	0	0
LMDBX>	23.0076	48	0.000582673	0	0
DP>	23.0076	48	0.000582673	0	0
PTJH	23.0076	48	0.000582673	0	0
DPJ"N	23.0076	48	0.000582673	0	0
SDR">	23.0076	48	0.000582673	0	0
>LHK	21.5697	45	0.000546256	0	0
KLJL>	21.5697	45	0.000546256	0	0
NWX	21.5638	27	0.000327753	27	0.00149775
BR>	21.484	86	0.00104396	54	0.00299551
>NWN	21.3463	541	0.00656721	89	0.00493704
XD	21.3245	285	0.00345962	37	0.00205248
DKN<N	21.1069	50	0.000606951	38	0.00210795
DXWSJ>	21.0903	44	0.000534117	0	0
PTWR>	21.0903	44	0.000534117	0	0
DMCJXWT>	21.0903	44	0.000534117	0	0
BRD>	21.0903	44	0.000534117	0	0
DTKLT>	21.0903	44	0.000534117	0	0
WP#LG	21.0903	44	0.000534117	0	0
H#W	21.0798	99	0.00120176	59	0.00327287
<BWR>	20.7652	26	0.000315614	26	0.00144228
BRJ	20.7652	26	0.000315614	26	0.00144228
BRH	20.5821	34	0.000412727	30	0.00166417
WX#J>	19.9665	25	0.000303475	25	0.00138681
DM>	19.7733	66	0.000801175	2	0.000110945
BWKR">	19.6524	41	0.0004977	0	0
CT>	19.6524	41	0.0004977	0	0
LDR"JKWN	19.6524	41	0.0004977	0	0
KLH	19.2062	155	0.00188155	15	0.000832085
DMCKNZBN>	19.173	40	0.000485561	0	0
D>HRWN	19.173	40	0.000485561	0	0
PVJR>	19.173	40	0.000485561	0	0
DSJNJ	19.173	40	0.000485561	0	0
<M"WDJHWN	19.173	40	0.000485561	0	0
MNRT>	19.173	40	0.000485561	0	0
C"PWLWHJ	19.173	40	0.000485561	0	0
H#J	19.1678	24	0.000291336	24	0.00133134
JHWD>	18.3692	23	0.000279197	23	0.00127586
BTR	18.2414	88	0.00106823	52	0.00288456
>NTTH	18.0776	46	0.000558395	34	0.00188606
<N>	17.8985	53	0.000643368	37	0.00205248
XDR>	17.7351	37	0.000449144	0	0
WTR"JN	17.7351	37	0.000449144	0	0
LJWM>	17.7351	37	0.000449144	0	0
LMDBR>	17.7351	37	0.000449144	0	0
BHWN	17.5817	85	0.00103182	5	0.000277362
LJWSP	17.4232	30	0.00036417	26	0.00144228
<NN>	17.2557	36	0.000437005	0	0
WMDBX>	17.2557	36	0.000437005	0	0
WMCX>	17.2557	36	0.000437005	0	0
D>WMN>	17.2557	36	0.000437005	0	0
DNSKT>	17.2557	36	0.000437005	0	0
DBS"M>	17.2557	36	0.000437005	0	0
>JSR>JL	17.2557	36	0.000437005	0	0
CBT>	17.2557	36	0.000437005	0	0
LSVR>	17.2557	36	0.000437005	0	0
JTRWN	17.2557	36	0.000437005	0	0
MXR	17.2557	36	0.000437005	0	0
SVR>	17.2557	36	0.000437005	0	0
L>^	17.2557	36	0.000437005	0	0
WMWC>	17.2557	36	0.000437005	0	0
DPR<WN	17.1446	142	0.00172374	14	0.000776613
B>R<>	17.0642	170	0.00206363	82	0.00454873
HKN>	17.0365	230	0.00279197	30	0.00166417
WKLHWN	16.8029	90	0.00109251	6	0.000332834
>BJ	16.7719	21	0.000254919	21	0.00116492
CB<	16.6352	29	0.000352031	25	0.00138681
WH#W	16.6352	29	0.000352031	25	0.00138681
JM>	16.6217	67	0.000813314	3	0.000166417
W>M#R	16.175	956	0.0116049	336	0.0186387
SR>	15.9732	20	0.00024278	20	0.00110945
DMDBX>	15.8177	33	0.000400588	0	0
SHDWT>	15.8177	33	0.000400588	0	0
BNWR>	15.8177	33	0.000400588	0	0
>LHKWN	15.8177	33	0.000400588	0	0
NTQVL	15.8177	33	0.000400588	0	0
SPTH	15.8177	33	0.000400588	0	0
TXJT	15.677	119	0.00144454	11	0.000610196
LMCKN>	15.538	72	0.000874009	4	0.000221889
TMN	15.5208	97	0.00117748	53	0.00294003
LH	15.5025	663	0.00804817	243	0.0134798
MCKN>	15.4133	86	0.00104396	6	0.000332834
DMYRJ#N	15.3384	32	0.000388449	0	0
D<M>	15.3384	32	0.000388449	0	0
DDKR">	15.3384	32	0.000388449	0	0
SM"K>	15.3384	32	0.000388449	0	0
>MJN>JT	15.3384	32	0.000388449	0	0
JR"J<T>	15.3384	32	0.000388449	0	0
LB>	15.3384	32	0.000388449	0	0
Q"WP>	15.3384	32	0.000388449	0	0
QR"NTH	15.3384	32	0.000388449	0	0
QWR"QS>	15.3384	32	0.000388449	0	0
WTSJM	15.3384	32	0.000388449	0	0
DTR<>	15.3384	32	0.000388449	0	0
LH#	15.3384	32	0.000388449	0	0
TQJPT>	15.3384	32	0.000388449	0	0
WQRMHWN	15.3384	32	0.000388449	0	0
NC^LM	15.3384	32	0.000388449	0	0
XMWHJ	15.3384	32	0.000388449	0	0
RXJL	15.1745	19	0.000230641	19	0.00105397
>BJMLK	15.1745	19	0.000230641	19	0.00105397
>DM	15.1745	19	0.000230641	19	0.00105397
CBJ<J>	15.0655	63	0.000764758	3	0.000166417
WSJM	14.8109	54	0.000655507	2	0.000110945
H>	14.7892	209	0.00253705	93	0.00515893
D<SW	14.3759	18	0.000218502	18	0.000998502
<SR"JN	14.3433	96	0.00116535	8	0.000443779
DCMJ>	14.2764	26	0.000315614	22	0.00122039
L>BRHM	14.2673	48	0.000582673	32	0.00177512
>JK	14.2403	461	0.00559609	81	0.00449326
PR<WN	14.1136	349	0.00423652	57	0.00316192
WH>	14.0077	101	0.00122604	53	0.00294003
>JTJW	13.9004	29	0.000352031	0	0
WK>"P>	13.9004	29	0.000352031	0	0
WMC"K>	13.9004	29	0.000352031	0	0
DJN">	13.9004	29	0.000352031	0	0
DMNH^	13.9004	29	0.000352031	0	0
WMDM	13.9004	29	0.000352031	0	0
BKLH	13.9004	29	0.000352031	0	0
KPN>	13.5772	17	0.000206363	17	0.00094303
>BWHWN	13.5772	17	0.000206363	17	0.00094303
WM>	13.5324	59	0.000716202	3	0.000166417
D>N>	13.5324	59	0.000716202	3	0.000166417
HD>	13.4638	74	0.000898287	42	0.00232984
WPRS>	13.4211	28	0.000339892	0	0
DNPQJN	13.4211	28	0.000339892	0	0
CW<BD>	13.4211	28	0.000339892	0	0
SPTH^	13.4211	28	0.000339892	0	0
KR"WB>	13.4211	28	0.000339892	0	0
QW"P>	13.4211	28	0.000339892	0	0
SVRH^	13.4211	28	0.000339892	0	0
ZQZQ"N	13.4211	28	0.000339892	0	0
WTKLT>	13.4211	28	0.000339892	0	0
LMCDRW	13.4211	28	0.000339892	0	0
WBJWM>	13.4211	28	0.000339892	0	0
LY^PR>	13.4211	28	0.000339892	0	0
BM"J>	13.4211	28	0.000339892	0	0
>JDJ	13.4211	28	0.000339892	0	0
WLSVR>	13.4211	28	0.000339892	0	0
WPTJH^	13.4211	28	0.000339892	0	0
>WR"D<>	13.4211	28	0.000339892	0	0
SVRH	13.4211	28	0.000339892	0	0
>LHN	13.4211	28	0.000339892	0	0
X^MJ<>	13.4211	28	0.000339892	0	0
LMCMCW	13.4211	28	0.000339892	0	0
<^RWB>	13.4211	28	0.000339892	0	0
