PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1336.64	0	0	197	0.115543
>PRJM	170.473	3	3.6417e-05	28	0.0164223
>JK	73.974	461	0.00559609	63	0.0369501
MLK>	67.8499	0	0	10	0.0058651
W>M#R	65.3963	956	0.0116049	0	0
W>JK	56.7259	29	0.000352031	17	0.00997067
WHNWN	54.2799	0	0	8	0.00469208
JWMT>	47.4949	0	0	7	0.00410557
MWC>	46.2425	676	0.00820597	0	0
BNJ	40.7099	0	0	6	0.00351906
>RJ>	33.9249	0	0	5	0.00293255
NBJ>	33.9249	0	0	5	0.00293255
>NJN	33.9249	0	0	5	0.00293255
BNJ>	33.9249	0	0	5	0.00293255
MVL	29.8749	649	0.00787822	54	0.0316716
L>PRJM	29.4579	3	3.6417e-05	6	0.00351906
LMWC>	27.3625	400	0.00485561	0	0
>PJ	27.1399	0	0	4	0.00234604
CMRJN	27.1399	0	0	4	0.00234604
>WRXTH	27.1399	0	0	4	0.00234604
PR<WN	23.8737	349	0.00423652	0	0
MKJL	23.5451	3	3.6417e-05	5	0.00293255
JHWD>	20.4498	23	0.000279197	8	0.00469208
MDJNT>	20.355	0	0	3	0.00175953
<MM>	20.355	0	0	3	0.00175953
DBNJ	20.355	0	0	3	0.00175953
GL>	20.355	0	0	3	0.00175953
L>TWR	20.355	0	0	3	0.00175953
>TRXMT	20.355	0	0	3	0.00175953
>ZLW	20.355	0	0	3	0.00175953
TNWR>	20.355	0	0	3	0.00175953
DLBNN	20.355	0	0	3	0.00175953
P>R>	20.355	0	0	3	0.00175953
BRMT>	20.355	0	0	3	0.00175953
>JQRH	20.355	0	0	3	0.00175953
XVJTH	20.355	0	0	3	0.00175953
WRXMW	20.355	0	0	3	0.00175953
W>MKRKJ	20.355	0	0	3	0.00175953
RXMJ	20.355	0	0	3	0.00175953
D>JZR<JL	20.355	0	0	3	0.00175953
>WN	20.355	0	0	3	0.00175953
>DR>	20.355	0	0	3	0.00175953
B<MM>	20.355	0	0	3	0.00175953
RXMJH	20.355	0	0	3	0.00175953
QRW	20.355	0	0	3	0.00175953
QRJ	20.355	0	0	3	0.00175953
W>JSRJL	20.355	0	0	3	0.00175953
PTGMH	20.355	0	0	3	0.00175953
WBVNT	20.355	0	0	3	0.00175953
RXM	20.355	0	0	3	0.00175953
JD<	20.355	0	0	3	0.00175953
VL>	19.6386	2	2.4278e-05	4	0.00234604
XD	19.4957	285	0.00345962	0	0
KL	19.2905	282	0.0034232	0	0
DDHB>	18.8801	276	0.00335037	0	0
>MR	18.1031	7	8.49731e-05	5	0.00293255
WHW	17.1489	8	9.71121e-05	5	0.00293255
WL>	16.8945	412	0.00500127	33	0.0193548
NWKRJ>	16.3232	4	4.85561e-05	4	0.00234604
>HPWK	16.3232	4	4.85561e-05	4	0.00234604
MRJ>	16.0493	1348	0.0163634	22	0.0129032
BN"J	15.7334	230	0.00279197	0	0
LBHWN	15.1167	5	6.06951e-05	4	0.00234604
GJR	15.1167	5	6.06951e-05	4	0.00234604
TR"JN	14.5021	212	0.00257347	0	0
DJN	14.4556	19	0.000230641	6	0.00351906
>LHHWN	14.1487	12	0.000145668	5	0.00293255
W<B^D	13.9549	204	0.00247636	0	0
CM<W	13.7617	2	2.4278e-05	3	0.00175953
SWG>>	13.7617	2	2.4278e-05	3	0.00175953
W>MRT	13.7617	2	2.4278e-05	3	0.00175953
PWRSJH	13.57	0	0	2	0.00117302
>TPNJ	13.57	0	0	2	0.00117302
BZBNH	13.57	0	0	2	0.00117302
DJWMT>	13.57	0	0	2	0.00117302
HKJL	13.57	0	0	2	0.00117302
>SGJT	13.57	0	0	2	0.00117302
TCKX	13.57	0	0	2	0.00117302
WKTNJ	13.57	0	0	2	0.00117302
DWNW	13.57	0	0	2	0.00117302
D>TWR	13.57	0	0	2	0.00117302
M>N>	13.57	0	0	2	0.00117302
BXBL>	13.57	0	0	2	0.00117302
DHNWN	13.57	0	0	2	0.00117302
