PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4565.37	0	0	1065	0.146816
W>M#R	238.472	956	0.0116049	0	0
MRJ>	213.269	1348	0.0163634	20	0.0027571
>JWB	171.469	0	0	40	0.0055142
MWC>	168.627	676	0.00820597	0	0
J^D<	150.036	0	0	35	0.00482492
>JSRJL	148.421	595	0.00722271	0	0
MNW	133.347	21	0.000254919	50	0.00689275
LMWC>	99.7791	400	0.00485561	0	0
>N	92.5325	109	0.00132315	72	0.00992556
HWJT	88.8924	4	4.85561e-05	26	0.00358423
PR<WN	87.0572	349	0.00423652	0	0
DJN	81.3187	19	0.000230641	34	0.00468707
<WL>	77.1612	0	0	18	0.00248139
W<N>	71.4089	10	0.00012139	26	0.00358423
DMYRJN	66.852	268	0.00325326	0	0
<LJ	66.6765	24	0.000291336	32	0.00441136
>NT	63.2372	277	0.00336251	101	0.0139234
HW	62.1252	162	0.00196652	73	0.0100634
NWHR>	57.8549	8	9.71121e-05	21	0.00289495
W>JK	57.0118	29	0.000352031	31	0.0042735
XCWK>	55.7275	0	0	13	0.00179211
W>MR	54.0469	80	0.000971121	47	0.00647918
TR"JN	52.8829	212	0.00257347	0	0
<M>	52.1993	292	0.00354459	3	0.000413565
W<B^D	50.8873	204	0.00247636	0	0
DDHB>	48.5445	276	0.00335037	3	0.000413565
GJR	46.7823	5	6.06951e-05	16	0.00220568
<B^D>	44.9006	180	0.00218502	0	0
W<B#DW	44.4017	178	0.00216074	0	0
XD	42.0085	285	0.00345962	5	0.000689275
<BD	41.9427	4	4.85561e-05	14	0.00192997
>HRWN	41.9072	168	0.00203935	0	0
W<B#D	40.4105	162	0.00196652	0	0
>NC>	38.6895	39	0.000473422	28	0.00385994
DR"CJ<>	38.5806	0	0	9	0.00124069
>MLL	38.5806	0	0	9	0.00124069
>MRT	38.5806	0	0	9	0.00124069
L>JWB	38.5806	0	0	9	0.00124069
WHW#>	38.4149	154	0.00186941	0	0
WLJT	38.2389	13	0.000157807	18	0.00248139
WL>	36.7372	412	0.00500127	110	0.015164
LMRJ>	36.7013	277	0.00336251	6	0.00082713
DMCKN>	36.6688	147	0.00178444	0	0
TR"TJN	36.4194	146	0.0017723	0	0
DL>	36.0444	210	0.00254919	69	0.00951199
DPR<WN	35.4216	142	0.00172374	0	0
RWXJ	34.2939	0	0	8	0.00110284
DJN>	34.2939	0	0	8	0.00110284
>WR"XTH	34.2939	0	0	8	0.00110284
LMQM	34.2939	0	0	8	0.00110284
SVN>	34.2939	0	0	8	0.00110284
L>LH>	32.8363	25	0.000303475	21	0.00289495
J<QWB	32.6776	131	0.00159021	0	0
DPQ^D	32.4282	130	0.00157807	0	0
DBN"J	32.1787	129	0.00156593	0	0
JWM"JN	31.181	125	0.00151738	0	0
WKL	30.7712	177	0.00214861	2	0.00027571
BJWM>	30.4326	122	0.00148096	0	0
C"NJN	30.4326	122	0.00148096	0	0
HKN>	30.4123	230	0.00279197	5	0.000689275
JHB	30.0071	0	0	7	0.000964985
D>JWB	30.0071	0	0	7	0.000964985
XSJN>	30.0071	0	0	7	0.000964985
<^BD	30.0071	0	0	7	0.000964985
WSWG>>	30.0071	0	0	7	0.000964985
N>	30.0071	0	0	7	0.000964985
PWMJ	30.0071	0	0	7	0.000964985
WQ#R>	29.6843	119	0.00144454	0	0
W>MRW	28.9359	116	0.00140813	0	0
BJ	28.5266	5	6.06951e-05	11	0.0015164
BRM	28.4617	11	0.000133529	14	0.00192997
MDBX>	27.9381	112	0.00135957	0	0
>M"JN	27.6887	111	0.00134743	0	0
LHWN	27.6534	407	0.00494058	19	0.00261924
BN"J	27.1823	230	0.00279197	6	0.00082713
XKMT>	27.118	12	0.000145668	14	0.00192997
L>HRWN	26.9403	108	0.00131101	0	0
JWSP	26.9403	108	0.00131101	0	0
D>CKR<>	25.9426	104	0.00126246	0	0
WX#Z>	25.9426	104	0.00126246	0	0
MNJ	25.8555	21	0.000254919	17	0.00234353
KLH	25.811	155	0.00188155	2	0.00027571
>LJHW	25.7204	0	0	6	0.00082713
NTMKKWN	25.7204	0	0	6	0.00082713
>WD<JNJ	25.7204	0	0	6	0.00082713
X"VHJ	25.7204	0	0	6	0.00082713
TJMNJ>	25.7204	0	0	6	0.00082713
>TRH	25.7204	0	0	6	0.00082713
XZJT	25.7204	0	0	6	0.00082713
BLJ	25.7204	0	0	6	0.00082713
<N"N>	25.7204	0	0	6	0.00082713
LSVN>	25.7204	0	0	6	0.00082713
<JNJ	25.7204	0	0	6	0.00082713
L<M>	25.6348	173	0.00210005	3	0.000413565
DZXWRJT>	25.4437	102	0.00123818	0	0
>NWN	25.2984	541	0.00656721	32	0.00441136
<B^D	25.1942	101	0.00122604	0	0
M"LJ	25.0192	5	6.06951e-05	10	0.00137855
DMYR"J>	24.9448	100	0.0012139	0	0
XJL>	24.7847	2	2.4278e-05	8	0.00110284
H#W	24.6953	99	0.00120176	0	0
WKD	24.6941	150	0.00182085	2	0.00027571
<PR>	24.6903	14	0.000169946	14	0.00192997
>M#R	24.4459	98	0.00118962	0	0
DS>M>	24.4459	98	0.00118962	0	0
<SR"JN	23.947	96	0.00116535	0	0
<B#DW	23.1986	93	0.00112893	0	0
MMLL	23.194	6	7.28341e-05	10	0.00137855
>JK	23.0639	461	0.00559609	106	0.0146126
HN>	23.0448	389	0.00472208	20	0.0027571
T<B^D	22.9492	92	0.00111679	0	0
DDRT>	22.9492	92	0.00111679	0	0
<ZJL>	22.9492	92	0.00111679	0	0
M"L>	22.9267	13	0.000157807	13	0.00179211
MYRJN	21.9514	88	0.00106823	0	0
W>RGWN>	21.9514	88	0.00106823	0	0
MYR"J>	21.9514	88	0.00106823	0	0
BR>	21.4525	86	0.00104396	0	0
MCKN>	21.4525	86	0.00104396	0	0
>BRHM	21.4525	86	0.00104396	0	0
LBN"J	21.4525	86	0.00104396	0	0
MLTJ	21.4337	0	0	5	0.000689275
MHJMN	21.4337	0	0	5	0.000689275
CWXJ>	21.4337	0	0	5	0.000689275
BSWG>>	21.4337	0	0	5	0.000689275
TMJM	21.4337	0	0	5	0.000689275
MRB<>	21.4337	0	0	5	0.000689275
W>TPLVT	21.4337	0	0	5	0.000689275
DX^L	21.4337	0	0	5	0.000689275
BWJN>	21.4337	0	0	5	0.000689275
BDJN>	21.4337	0	0	5	0.000689275
VJN>	21.4337	0	0	5	0.000689275
BSRJ	21.4337	0	0	5	0.000689275
BLXWDJ	21.4337	0	0	5	0.000689275
JD<TJ	21.4337	0	0	5	0.000689275
DHW	21.4337	0	0	5	0.000689275
<BDT	21.4337	0	0	5	0.000689275
MTBJN	21.4337	0	0	5	0.000689275
D>MRT	21.4337	0	0	5	0.000689275
MCKJ	21.4337	0	0	5	0.000689275
<B#D	21.203	85	0.00103182	0	0
WMNW	20.9713	2	2.4278e-05	7	0.000964985
<W#L>	20.9713	2	2.4278e-05	7	0.000964985
B>"PJ	20.9713	2	2.4278e-05	7	0.000964985
DPDT>	20.9536	84	0.00101968	0	0
PRS>	20.9536	84	0.00101968	0	0
WYWB<>	20.9536	84	0.00101968	0	0
QWDC>	20.9536	84	0.00101968	0	0
LPR<WN	20.9536	84	0.00101968	0	0
W>HRWN	20.9536	84	0.00101968	0	0
BJT	20.7513	182	0.0022093	5	0.000689275
W>M#RT	20.7042	83	0.00100754	0	0
>W	20.5237	142	0.00172374	44	0.00606562
DQJS>	20.2053	81	0.00098326	0	0
BM"L>	20.0153	4	4.85561e-05	8	0.00110284
DJRJ<T>	19.9558	80	0.000971121	0	0
KL	19.4806	282	0.0034232	13	0.00179211
>JT	19.3309	40	0.000485561	20	0.0027571
DMWC>	18.958	76	0.000922565	0	0
ZL	18.958	76	0.000922565	0	0
WBWY>	18.958	76	0.000922565	0	0
PWRCN>	18.958	76	0.000922565	0	0
>M^R	18.8681	141	0.0017116	3	0.000413565
M^LK>	18.7086	75	0.000910426	0	0
LKWN	18.4113	225	0.00273128	9	0.00124069
QDMJK	18.2097	73	0.000886148	0	0
QDM	18.103	421	0.00511053	26	0.00358423
LMCKN>	17.9602	72	0.000874009	0	0
QBWT>	17.9602	72	0.000874009	0	0
>R"B<	17.9602	72	0.000874009	0	0
D>M#R	17.9602	72	0.000874009	0	0
XD>	17.4647	193	0.00234283	7	0.000964985
WTR"TJN	17.4613	70	0.000849731	0	0
DNXC>	17.4487	117	0.00142026	2	0.00027571
SWG>>	17.2219	2	2.4278e-05	6	0.00082713
MHPK	17.2219	2	2.4278e-05	6	0.00082713
>WR"XTJ	17.1469	0	0	4	0.00055142
