PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4109.74	0	0	1370	0.0707608
>MR	1058.6	7	8.49731e-05	375	0.0193688
MLK>	533.966	0	0	178	0.00919374
W>M#R	482.799	956	0.0116049	0	0
MWC>	341.394	676	0.00820597	0	0
DJHWD>	307.988	14	0.000169946	131	0.00676618
DBBL	302.981	0	0	101	0.00521667
XJLTN>	239.985	0	0	80	0.00413202
>RMJ>	227.276	4	4.85561e-05	86	0.00444192
LMWC>	202.008	400	0.00485561	0	0
PTGMH	170.989	0	0	57	0.00294406
PR<WN	138.723	349	0.00423652	5	0.000258251
NBJ>	134.991	0	0	45	0.00232426
D>WRCLM	131.992	0	0	44	0.00227261
DMRJ>	125.35	151	0.00183299	160	0.00826404
>JSRJL	121.874	595	0.00722271	40	0.00206601
CM<W	119.46	2	2.4278e-05	45	0.00232426
DDHB>	115.222	276	0.00335037	3	0.000154951
W<B^D	103.024	204	0.00247636	0	0
LH	101.252	663	0.00804817	60	0.00309901
BJCT>	97.695	20	0.00024278	59	0.00304736
WL>	95.5489	412	0.00500127	264	0.0136357
BBL	93.3325	2	2.4278e-05	36	0.00185941
>WRCLM	92.994	0	0	31	0.00160116
<B^D>	90.9036	180	0.00218502	0	0
XD	90.453	285	0.00345962	9	0.000464852
DMLK>	89.9942	0	0	30	0.00154951
L>RMJ>	89.9942	0	0	30	0.00154951
BR	89.9569	159	0.0019301	142	0.00733433
W<B#DW	89.8936	178	0.00216074	0	0
XRB>	89.5954	4	4.85561e-05	38	0.00196271
LBBL	86.9944	0	0	29	0.00149786
>HRWN	84.8434	168	0.00203935	0	0
W<B#D	81.8133	162	0.00196652	0	0
HKN>	79.3532	230	0.00279197	169	0.00872889
TR"JN	79.2262	212	0.00257347	4	0.000206601
W>MR	78.7792	80	0.000971121	92	0.00475182
MVL	78.314	649	0.00787822	344	0.0177677
WHW#>	77.7731	154	0.00186941	0	0
NB"J>	74.9952	0	0	25	0.00129126
DMCKN>	74.238	147	0.00178444	0	0
TR"TJN	73.7329	146	0.0017723	0	0
HD>	72.696	74	0.000898287	85	0.00439027
YDQJ>	71.9954	0	0	24	0.00123961
LM>MR	70.6813	7	8.49731e-05	35	0.00180776
DJTB	68.9956	0	0	23	0.00118796
HNWN	67.7156	8	9.71121e-05	35	0.00180776
D>JSRJL	67.6885	57	0.000691924	72	0.00371882
DHKN>	65.7976	3	3.6417e-05	28	0.00144621
DPQ^D	65.6526	130	0.00157807	0	0
JWM"JN	63.1275	125	0.00151738	0	0
W>MRT	61.7464	2	2.4278e-05	25	0.00129126
DHB>	61.6125	122	0.00148096	0	0
WQ#R>	60.0974	119	0.00144454	0	0
