PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4273.92	0	0	1290	0.0945193
W>M#R	404.775	956	0.0116049	0	0
MWC>	286.222	676	0.00820597	0	0
XJLTN>	202.1	0	0	61	0.00446952
LMWC>	169.362	400	0.00485561	0	0
PR<WN	147.768	349	0.00423652	0	0
>JSRJL	141.81	595	0.00722271	20	0.00146542
MLK>	125.898	0	0	38	0.00278429
DDHB>	116.86	276	0.00335037	0	0
W>JK	103.783	29	0.000352031	62	0.00454279
WLJT	95.6819	13	0.000157807	46	0.00337046
D>TWR	82.8279	0	0	25	0.00183177
XZQJ>	79.5148	0	0	24	0.0017585
<B^D>	76.2129	180	0.00218502	0	0
DMRJ>	76.2124	151	0.00183299	112	0.00820633
WJ	76.2017	0	0	23	0.00168523
W<B#DW	75.3661	178	0.00216074	0	0
>JK	73.6014	461	0.00559609	226	0.0165592
>HRWN	71.132	168	0.00203935	0	0
W<B#D	68.5916	162	0.00196652	0	0
TR"JN	68.1111	212	0.00257347	3	0.000219812
WL>	67.9944	412	0.00500127	204	0.0149472
DJN>	66.2623	0	0	20	0.00146542
>M^R	65.4836	141	0.0017116	101	0.00740035
WHW#>	65.2044	154	0.00186941	0	0
DMCKN>	62.2405	147	0.00178444	0	0
TR"TJN	61.8171	146	0.0017723	0	0
MVL	59.8859	649	0.00787822	274	0.0200762
LH	57.9857	663	0.00804817	65	0.0047626
<M"M>	57.1953	31	0.000376309	44	0.00322392
<LJKJ	56.323	0	0	17	0.0012456
XD>	55.8761	193	0.00234283	4	0.000293083
W<B^D	55.7318	204	0.00247636	5	0.000366354
DPQ^D	55.0426	130	0.00157807	0	0
BN"J	53.8748	230	0.00279197	8	0.000586166
YHJWN	53.0099	0	0	16	0.00117233
ZDJQWT>	53.0099	0	0	16	0.00117233
JWM"JN	52.9256	125	0.00151738	0	0
QDJC>	51.5892	12	0.000145668	29	0.00212485
XD	51.258	285	0.00345962	15	0.00109906
KD	50.5332	291	0.00353245	16	0.00117233
WQ#R>	50.3852	119	0.00144454	0	0
DNXC>	49.5384	117	0.00142026	0	0
WKD	48.8405	150	0.00182085	2	0.000146542
H^W	47.652	63	0.000764758	56	0.00410317
>M"JN	46.998	111	0.00134743	0	0
DKJ>	46.5745	110	0.00133529	0	0
CLM>	46.329	4	4.85561e-05	20	0.00146542
L>HRWN	45.7277	108	0.00131101	0	0
JWSP	45.7277	108	0.00131101	0	0
DPR<WN	45.671	142	0.00172374	2	0.000146542
D>CKR<>	44.0341	104	0.00126246	0	0
WX#Z>	44.0341	104	0.00126246	0	0
MNW	43.7373	21	0.000254919	32	0.00234467
D>JSRJL	43.7167	57	0.000691924	51	0.00373681
DZXWRJT>	43.1873	102	0.00123818	0	0
