PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2823.22	0	0	659	0.0748268
JCW<	527.05	12	0.000145668	142	0.0161235
QWR"J>	250.629	7	8.49731e-05	69	0.00783468
W>M#R	238.808	956	0.0116049	0	0
MLK>	235.625	0	0	55	0.00624503
W>GWR"SJHJN	188.5	0	0	44	0.00499603
W>GWR"SJH^	162.796	0	0	38	0.00431475
TXWM>	132.37	11	0.000133529	43	0.00488248
DCBV>	124.239	0	0	29	0.00329284
LJCW<	117.026	4	4.85561e-05	33	0.00374702
JWRDNN	115.67	0	0	27	0.00306574
DMNC>	109.166	3	3.6417e-05	30	0.00340638
DJWRDNN	108.929	4	4.85561e-05	31	0.00351993
JRTWT>	94.378	7	8.49731e-05	30	0.00340638
CBV>	94.315	25	0.000303475	41	0.00465539
DMRJ>	93.4081	151	0.00183299	85	0.00965141
PR<WN	87.1798	349	0.00423652	0	0
W>MR	85.8152	80	0.000971121	60	0.00681276
LMDJNT>	81.3978	0	0	19	0.00215737
M"LK>	72.8296	0	0	17	0.00193028
<DM>	71.9403	136	0.00165091	71	0.00806177
D<J	68.5455	0	0	16	0.00181674
B<BR>	68.5455	0	0	16	0.00181674
D>JSRJL	67.0357	57	0.000691924	45	0.00510957
>N>	65.9635	517	0.00627587	12	0.00136255
D>MR	65.0541	4	4.85561e-05	20	0.00227092
>RB<	64.2614	0	0	15	0.00170319
L<J	64.2614	0	0	15	0.00170319
LCR"BTHWN	63.1667	22	0.000267058	30	0.00340638
WL>GWR"SJH^	59.9773	0	0	14	0.00158964
DPQD	59.9773	0	0	14	0.00158964
DMDJNT>	59.9773	0	0	14	0.00158964
D>JRJXW	59.9773	0	0	14	0.00158964
WLMLKH^	55.6932	0	0	13	0.0014761
WS^LQ	55.6932	0	0	13	0.0014761
GD	54.2777	5	6.06951e-05	18	0.00204383
DDHB>	53.7892	276	0.00335037	2	0.000227092
LM<RB>	51.4091	0	0	12	0.00136255
W<^BR	51.4091	0	0	12	0.00136255
DJHB	51.4091	0	0	12	0.00136255
TXWMHWN	51.4091	0	0	12	0.00136255
W<B^D	50.959	204	0.00247636	0	0
LK	50.6902	285	0.00345962	3	0.000340638
