PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2676.22	0	0	617	0.0732692
W>MR	254.222	80	0.000971121	115	0.0136563
W>M#R	232.121	956	0.0116049	0	0
MWC>	164.135	676	0.00820597	0	0
MLK>	121.449	0	0	28	0.00332502
<MWN	117.112	0	0	27	0.00320627
BNJMJN	114.654	4	4.85561e-05	32	0.00380002
CMCWN	112.774	0	0	26	0.00308752
GBR"JN	111.853	24	0.000291336	45	0.00534378
>MR	111.696	7	8.49731e-05	34	0.00403753
GD<WN	104.099	0	0	24	0.00285002
LMWC>	97.1216	400	0.00485561	0	0
PR<WN	84.7386	349	0.00423652	0	0
MJK>	82.4119	0	0	19	0.00225626
BN"J	73.3012	230	0.00279197	94	0.0111626
DGL<D	69.6889	2	2.4278e-05	19	0.00225626
MR"JH	65.0621	0	0	15	0.00178126
>BWH	60.7246	0	0	14	0.00166251
L>JSRJL	56.8236	23	0.000279197	28	0.00332502
W>CLM	56.3871	0	0	13	0.00154376
W>ZL	55.7716	15	0.000182085	24	0.00285002
NPTX	54.2579	4	4.85561e-05	17	0.00201876
WSLQW	53.5538	3	3.6417e-05	16	0.00190001
W>MRT	53.2325	2	2.4278e-05	15	0.00178126
DQRJT>	52.5392	6	7.28341e-05	18	0.00213751
GB<	52.0496	0	0	12	0.00142501
>BJMLK	49.6846	19	0.000230641	24	0.00285002
W<B^D	49.532	204	0.00247636	0	0
HW	49.394	162	0.00196652	65	0.0077188
SJP>	47.7122	0	0	11	0.00130626
DDHB>	46.8631	276	0.00335037	3	0.000356252
<BD	46.4764	4	4.85561e-05	15	0.00178126
PLC"TJ>	45.609	3	3.6417e-05	14	0.00166251
D>PRJM	45.609	3	3.6417e-05	14	0.00166251
>"LPJN	45.2167	20	0.00024278	23	0.00273127
HNWN	44.3359	8	9.71121e-05	17	0.00201876
W>MRJN	43.7827	5	6.06951e-05	15	0.00178126
<B^D>	43.7047	180	0.00218502	0	0
LMTKTCW	43.3747	0	0	10	0.00118751
W>JTBW	43.3747	0	0	10	0.00118751
MNWX	43.3747	0	0	10	0.00118751
BRQ	43.3747	0	0	10	0.00118751
W<B#DW	43.2191	178	0.00216074	0	0
W>MR"JN	41.052	2	2.4278e-05	12	0.00142501
>HRWN	40.7911	168	0.00203935	0	0
W<B#D	39.3342	162	0.00196652	0	0
W>JTB	39.0372	0	0	9	0.00106876
LGD<WN	39.0372	0	0	9	0.00106876
WPLXW	39.0372	0	0	9	0.00106876
WNPQ	39.0372	0	0	9	0.00106876
WHW>	38.9753	31	0.000376309	25	0.00296877
WHW#>	37.3918	154	0.00186941	0	0
BNJ"	37.1811	10	0.00012139	16	0.00190001
DMYRJN	36.8506	268	0.00325326	5	0.000593754
TR"TJN	35.4494	146	0.0017723	0	0
DCKJM	35.0261	4	4.85561e-05	12	0.00142501
DBWR>	34.6998	0	0	8	0.000950006
LCMCWN	34.6998	0	0	8	0.000950006
NPQ	34.6998	0	0	8	0.000950006
WSLQ	34.6998	0	0	8	0.000950006
WQVL	34.6998	0	0	8	0.000950006
DPR<WN	34.4782	142	0.00172374	0	0
L>BJMLK	33.8923	3	3.6417e-05	11	0.00130626
DN	32.6665	5	6.06951e-05	12	0.00142501
DMW>B	32.6665	5	6.06951e-05	12	0.00142501
MRJ>	32.5651	1348	0.0163634	101	0.0119938
J<QWB	31.8073	131	0.00159021	0	0
DPQ^D	31.5645	130	0.00157807	0	0
D<BD	31.2859	4	4.85561e-05	11	0.00130626
WDN	31.2859	4	4.85561e-05	11	0.00130626
W<RQW	30.3623	0	0	7	0.000831255
>LP	30.3623	0	0	7	0.000831255
W>XDW	30.3623	0	0	7	0.000831255
D>CLM	30.3623	0	0	7	0.000831255
<WL>	30.3623	0	0	7	0.000831255
G<L	30.3623	0	0	7	0.000831255
W>TQBR	30.3623	0	0	7	0.000831255
CM"VJ	30.3623	0	0	7	0.000831255
WNXT	30.3623	0	0	7	0.000831255
W>XD	30.3623	0	0	7	0.000831255
YLM>	30.3623	0	0	7	0.000831255
SJSR>	30.3623	0	0	7	0.000831255
QRJT>	30.0776	26	0.000315614	20	0.00237501
DBNJMJN	30.0578	3	3.6417e-05	10	0.00118751
DHB>	29.6221	122	0.00148096	0	0
WQ#R>	28.8937	119	0.00144454	0	0
DNXC>	28.4081	117	0.00142026	0	0
>MRJN	27.5944	4	4.85561e-05	10	0.00118751
>M"JN	26.9512	111	0.00134743	0	0
D>R<>	26.7084	110	0.00133529	0	0
DKJ>	26.7084	110	0.00133529	0	0
>PRJM	26.2696	3	3.6417e-05	9	0.00106876
LQRJT>	26.2696	3	3.6417e-05	9	0.00106876
L>HRWN	26.2228	108	0.00131101	0	0
WYLMN<	26.0248	0	0	6	0.000712504
VR"WN>	26.0248	0	0	6	0.000712504
LGB<	26.0248	0	0	6	0.000712504
DLJL>	26.0248	0	0	6	0.000712504
M"LK>	26.0248	0	0	6	0.000712504
LNPTX	26.0248	0	0	6	0.000712504
WL>"LH>	26.0248	0	0	6	0.000712504
KM>N>	26.0248	0	0	6	0.000712504
WHJ	26.0248	0	0	6	0.000712504
NDWB<JL	26.0248	0	0	6	0.000712504
LSJSR>	26.0248	0	0	6	0.000712504
JW>C	26.0248	0	0	6	0.000712504
D<LJMT>	26.0248	0	0	6	0.000712504
<LJM>	26.0248	0	0	6	0.000712504
W>TXMT	26.0248	0	0	6	0.000712504
W>ZLW	25.75	19	0.000230641	16	0.00190001
D>CKR<>	25.2516	104	0.00126246	0	0
WX#Z>	25.2516	104	0.00126246	0	0
<DM>	25.1933	136	0.00165091	45	0.00534378
GNB	25.1773	2	2.4278e-05	8	0.000950006
WNHW>	25.0088	103	0.00125032	0	0
DZXWRJT>	24.766	102	0.00123818	0	0
<B^D	24.5232	101	0.00122604	0	0
DMYR"J>	24.2804	100	0.0012139	0	0
H#W	24.0376	99	0.00120176	0	0
ML>KH	23.9579	18	0.000218502	15	0.00178126
>M#R	23.7948	98	0.00118962	0	0
DS>M>	23.7948	98	0.00118962	0	0
>NC"J	23.7907	8	9.71121e-05	11	0.00130626
WHW	23.7907	8	9.71121e-05	11	0.00130626
D>JSRJL	23.4154	57	0.000691924	26	0.00308752
HN>	23.2221	389	0.00472208	19	0.00225626
HW>	23.1928	239	0.00290122	64	0.00760005
DMDJN	23.154	16	0.000194224	14	0.00166251
DMCKN>	23.1509	147	0.00178444	2	0.000237501
DPLC"TJ>	22.8792	11	0.000133529	12	0.00142501
<B#DW	22.5808	93	0.00112893	0	0
DDRT>	22.338	92	0.00111679	0	0
<ZJL>	22.338	92	0.00111679	0	0
T<B^D	22.338	92	0.00111679	0	0
WNSB	22.0395	7	8.49731e-05	10	0.00118751
WCRW	22.0021	5	6.06951e-05	9	0.00106876
LBJT	21.9839	48	0.000582673	23	0.00273127
>M^R	21.8596	141	0.0017116	2	0.000237501
W>MR>	21.6922	12	0.000145668	12	0.00142501
SLQ	21.6874	0	0	5	0.000593754
DCMCWN	21.6874	0	0	5	0.000593754
YD<>	21.6874	0	0	5	0.000593754
