PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	454.822	0	0	47	0.20524
<LJKJ	58.0624	0	0	6	0.0262009
WLJT	34.5703	13	0.000157807	6	0.0262009
<WL>	29.0312	0	0	3	0.0131004
ZXL>	29.0312	0	0	3	0.0131004
MNKJ	29.0312	0	0	3	0.0131004
W>WBD	29.0312	0	0	3	0.0131004
<BD	19.5341	4	4.85561e-05	3	0.0131004
>RJ>	19.3541	0	0	2	0.00873362
KR"KJKJ	19.3541	0	0	2	0.00873362
D>RJWT>	19.3541	0	0	2	0.00873362
>JQRH	19.3541	0	0	2	0.00873362
LC"LJVNJHWN	19.3541	0	0	2	0.00873362
TB<	19.3541	0	0	2	0.00873362
XJLTN>	19.3541	0	0	2	0.00873362
TBRKJ	19.3541	0	0	2	0.00873362
W><CNJ	19.3541	0	0	2	0.00873362
SK>	19.3541	0	0	2	0.00873362
TBR>	19.3541	0	0	2	0.00873362
WNVR	19.3541	0	0	2	0.00873362
>QJMW	19.3541	0	0	2	0.00873362
>MR	16.9252	7	8.49731e-05	3	0.0131004
VWR">	16.2675	8	9.71121e-05	3	0.0131004
>NTJ	15.6783	9	0.000109251	3	0.0131004
W>M#R	15.2007	956	0.0116049	0	0
>JK	13.9891	461	0.00559609	13	0.0567686
XRB>	11.7796	4	4.85561e-05	2	0.00873362
TR"<>	11.7796	4	4.85561e-05	2	0.00873362
QMY>	11.5375	20	0.00024278	3	0.0131004
LKJ	11.0348	22	0.000267058	3	0.0131004
NWR>	11.0348	22	0.000267058	3	0.0131004
MWC>	10.7486	676	0.00820597	0	0
HJ	9.8543	99	0.00120176	5	0.0218341
>JSRJL	9.46068	595	0.00722271	0	0
WM"J>	7.0506	16	0.000194224	2	0.00873362
QDM	6.69403	421	0.00511053	0	0
LHWN	6.47142	407	0.00494058	0	0
LMWC>	6.36012	400	0.00485561	0	0
XJLH	6.26817	20	0.00024278	2	0.00873362
WBJT	6.26817	20	0.00024278	2	0.00873362
>LH>	6.21702	391	0.00474636	0	0
HN>	6.18522	389	0.00472208	0	0
QL>	5.93583	22	0.000267058	2	0.00873362
TWB	5.62516	63	0.000764758	3	0.0131004
PR<WN	5.5492	349	0.00423652	0	0
<M>	4.64289	292	0.00354459	0	0
KD	4.62699	291	0.00353245	0	0
LK	4.53159	285	0.00345962	0	0
XD	4.53159	285	0.00345962	0	0
KL	4.48388	282	0.0034232	0	0
QDMWHJ	4.4465	34	0.000412727	2	0.00873362
LJ	4.42028	278	0.00337465	0	0
LMRJ>	4.40438	277	0.00336251	0	0
>NT	4.40438	277	0.00336251	0	0
DDHB>	4.38848	276	0.00335037	0	0
DMYRJN	4.26128	268	0.00325326	0	0
WKLHWN	3.95616	90	0.00109251	3	0.0131004
LWT	3.92737	247	0.00299834	0	0
HW>	3.80017	239	0.00290122	0	0
HKN>	3.65707	230	0.00279197	0	0
BN"J	3.65707	230	0.00279197	0	0
LKWN	3.57757	225	0.00273128	0	0
TR"JN	3.37086	212	0.00257347	0	0
DL>	3.33906	210	0.00254919	0	0
W<L	3.32316	209	0.00253705	0	0
W<B^D	3.24366	204	0.00247636	0	0
XD>	3.06876	193	0.00234283	0	0
WMN	2.97336	187	0.00227	0	0
W>N	2.95746	186	0.00225786	0	0
BJT	2.89385	182	0.0022093	0	0
<M	2.89385	182	0.0022093	0	0
>P	2.86472	186	0.00225786	4	0.0174672
<B^D>	2.86205	180	0.00218502	0	0
W<B#DW	2.83025	178	0.00216074	0	0
WKL	2.81435	177	0.00214861	0	0
L<M>	2.75075	173	0.00210005	0	0
L>	2.70943	856	0.010391	3	0.0131004
B>R<>	2.70305	170	0.00206363	0	0
LH	2.67551	663	0.00804817	2	0.00873362
>HRWN	2.67125	168	0.00203935	0	0
BJWM>	2.66543	122	0.00148096	3	0.0131004
MN	2.63987	1856	0.02253	9	0.0393013
HW	2.57585	162	0.00196652	0	0
W<B#D	2.57585	162	0.00196652	0	0
BR	2.52815	159	0.0019301	0	0
KLH	2.46455	155	0.00188155	0	0
<MH	2.44865	154	0.00186941	0	0
WHW#>	2.44865	154	0.00186941	0	0
GBR>	2.41685	152	0.00184513	0	0
NHW>	2.41685	152	0.00184513	0	0
DMRJ>	2.40095	151	0.00183299	0	0
WKD	2.38504	150	0.00182085	0	0
DM>	2.35753	66	0.000801175	2	0.00873362
DMCKN>	2.33734	147	0.00178444	0	0
TR"TJN	2.32144	146	0.0017723	0	0
HLJN	2.27374	143	0.00173588	0	0
DPR<WN	2.25784	142	0.00172374	0	0
>W	2.25784	142	0.00172374	0	0
>M^R	2.24194	141	0.0017116	0	0
<DM>	2.16244	136	0.00165091	0	0
>NTWN	2.14654	135	0.00163877	0	0
BH	2.11474	133	0.00161449	0	0
HWW	2.09884	132	0.00160235	0	0
J<QWB	2.08294	131	0.00159021	0	0
DPQ^D	2.06704	130	0.00157807	0	0
DBN"J	2.05114	129	0.00156593	0	0
MDM	2.03524	128	0.00155379	0	0
M>	2.03524	128	0.00155379	0	0
M"J>	2.00639	145	0.00176016	3	0.0131004
>XRN>	2.00344	126	0.00152952	0	0
JWM"JN	1.98754	125	0.00151738	0	0
DHB>	1.93984	122	0.00148096	0	0
