PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2168.95	0	0	405	0.0978497
BR	254.955	159	0.0019301	112	0.0270597
BN"J	206.277	230	0.00279197	114	0.0275429
MLK>	117.819	0	0	22	0.00531529
MRJ>	114.761	1348	0.0163634	13	0.00314086
W>M#R	111.598	956	0.0116049	3	0.000724813
MWC>	96.2562	676	0.00820597	0	0
CWR>	85.6868	0	0	16	0.00386567
WLWJ">	85.6868	0	0	16	0.00386567
W>MRJN	82.8004	5	6.06951e-05	20	0.00483209
WTRJN	80.3314	0	0	15	0.00362406
W<SRJN	80.3314	0	0	15	0.00362406
DNMWS>	74.976	0	0	14	0.00338246
LWJ">	74.976	0	0	14	0.00338246
T^QP	69.6206	0	0	13	0.00314086
KWMR">	69.6206	0	0	13	0.00314086
D>WRCLM	69.6206	0	0	13	0.00314086
B>WRCLM	64.2651	0	0	12	0.00289925
JHW"DJ>	58.9097	0	0	11	0.00265765
CLJV>	58.9097	0	0	11	0.00265765
><CN	53.5543	0	0	10	0.00241604
LTXWM>	53.5543	0	0	10	0.00241604
WTMNJ>	53.5543	0	0	10	0.00241604
PR<WN	49.6944	349	0.00423652	0	0
W>RB<JN	48.1988	0	0	9	0.00217444
DDWJD	42.8434	0	0	8	0.00193283
<BDJN	42.8434	0	0	8	0.00193283
>N"CJ	42.8434	0	0	8	0.00193283
<ZR>	42.8434	0	0	8	0.00193283
>LJCB	42.8434	0	0	8	0.00193283
BKTB>	42.8434	0	0	8	0.00193283
CM<J>	42.8434	0	0	8	0.00193283
DDHB>	39.2999	276	0.00335037	0	0
DMYRJN	38.1607	268	0.00325326	0	0
LMWC>	37.643	400	0.00485561	3	0.000724813
XCBJ>	37.488	0	0	7	0.00169123
S^PR>	37.488	0	0	7	0.00169123
WBKPR"WNJH^	37.488	0	0	7	0.00169123
ZKRJ>	37.488	0	0	7	0.00169123
WXNN	37.488	0	0	7	0.00169123
DKTJB	37.488	0	0	7	0.00169123
XNNJ>	37.488	0	0	7	0.00169123
D>LHN	37.488	0	0	7	0.00169123
W>QJMW	37.488	0	0	7	0.00169123
