PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	4143.32	0	0	914	0.139308
W>M#R	209.252	956	0.0116049	0	0
D<W"L>	181.327	0	0	40	0.00609663
HW	164.322	162	0.00196652	109	0.0166133
MWC>	147.965	676	0.00820597	0	0
<WL>	131.462	0	0	29	0.00442006
>JSRJL	130.235	595	0.00722271	0	0
SKL>	126.929	0	0	28	0.00426764
MRJ>	111.27	1348	0.0163634	41	0.00624905
GJR	108.382	5	6.06951e-05	30	0.00457247
XKMT>	107.886	12	0.000145668	35	0.00533455
JD<T>	104.263	0	0	23	0.00350556
ZDJQ>	99.7299	0	0	22	0.00335315
XKJM>	95.1967	0	0	21	0.00320073
LMWC>	87.5531	400	0.00485561	0	0
NPCH	85.289	7	8.49731e-05	26	0.00396281
BJCT>	83.7203	20	0.00024278	33	0.00502972
DZDJQ>	81.5972	0	0	18	0.00274348
PR<WN	76.3901	349	0.00423652	0	0
<W#L>	73.3594	2	2.4278e-05	19	0.0028959
DJN>	72.5308	0	0	16	0.00243865
JD<	67.9976	0	0	15	0.00228624
>WR"XTH	63.4645	0	0	14	0.00213382
MSKN>	63.4645	0	0	14	0.00213382
DGL>	63.4645	0	0	14	0.00213382
MRDWT>	63.4645	0	0	14	0.00213382
DZDJQ">	63.4645	0	0	14	0.00213382
>LH>	59.0158	391	0.00474636	4	0.000609663
DMYRJN	58.6606	268	0.00325326	0	0
HN>	58.6188	389	0.00472208	4	0.000609663
DMLK>	54.3981	0	0	12	0.00182899
SWKL>	54.3981	0	0	12	0.00182899
L>JLJN	54.3981	0	0	12	0.00182899
>R<>	54.2749	431	0.00523192	7	0.00106691
LWT	54.0641	247	0.00299834	0	0
DX"J>	53.4817	7	8.49731e-05	18	0.00274348
>N>	52.9688	517	0.00627587	12	0.00182899
DGBR>	52.5411	20	0.00024278	24	0.00365798
MKSNWT>	49.8649	0	0	11	0.00167657
MLK>	49.8649	0	0	11	0.00167657
S"PWTH	49.8649	0	0	11	0.00167657
HJ	49.0114	99	0.00120176	46	0.00701113
TR"JN	46.4032	212	0.00257347	0	0
H>	45.7465	209	0.00253705	0	0
DSKL>	45.3318	0	0	10	0.00152416
W>WRX>	45.3318	0	0	10	0.00152416
DTR"JY>	45.3318	0	0	10	0.00152416
R<JN>	45.3318	0	0	10	0.00152416
ZDJQWT>	45.3318	0	0	10	0.00152416
BRJ	45.2525	26	0.000315614	24	0.00365798
W<B^D	44.6521	204	0.00247636	0	0
L>	44.4897	856	0.010391	178	0.02713
>WR"XT>	43.3526	2	2.4278e-05	12	0.00182899
NPL	43.3526	2	2.4278e-05	12	0.00182899
LHWN	43.0777	407	0.00494058	9	0.00137174
DDHB>	40.848	276	0.00335037	3	0.000457247
DNVR	40.7986	0	0	9	0.00137174
XSJR	40.7986	0	0	9	0.00137174
XBNN>	40.7986	0	0	9	0.00137174
BJC"T>	40.7986	0	0	9	0.00137174
NSB<	40.7986	0	0	9	0.00137174
SKWLTN>	40.7986	0	0	9	0.00137174
WGBR>	40.0732	10	0.00012139	16	0.00243865
<B^D>	39.3989	180	0.00218502	0	0
W<B#DW	38.9611	178	0.00216074	0	0
LBK	38.7554	5	6.06951e-05	13	0.00198141
GBR>	37.3914	152	0.00184513	52	0.00792562
<BD	37.2789	4	4.85561e-05	12	0.00182899
>HRWN	36.7723	168	0.00203935	0	0
VB>	36.5457	6	7.28341e-05	13	0.00198141
W>JLJN	36.2654	0	0	8	0.00121933
B<>	36.2654	0	0	8	0.00121933
CLJV>	36.2654	0	0	8	0.00121933
DMHLK	36.2654	0	0	8	0.00121933
<W"L>	36.2654	0	0	8	0.00121933
LSKL>	36.2654	0	0	8	0.00121933
CLJ>	36.2654	0	0	8	0.00121933
<M>	35.8214	292	0.00354459	5	0.000762079
PWMH	35.4846	13	0.000157807	16	0.00243865
W<B#D	35.459	162	0.00196652	0	0
<L	35.0313	1170	0.0142026	70	0.0106691
XD	34.5298	285	0.00345962	5	0.000762079
WHW#>	33.708	154	0.00186941	0	0
>NC>	33.6021	39	0.000473422	24	0.00365798
>WRX>	33.5283	12	0.000145668	15	0.00228624
DMCKN>	32.1758	147	0.00178444	0	0
TR"TJN	31.9569	146	0.0017723	0	0
RWGZ>	31.7322	0	0	7	0.00106691
BDJN>	31.7322	0	0	7	0.00106691
W>JN>	31.7322	0	0	7	0.00106691
LNPCH	31.7322	0	0	7	0.00106691
<^B"DWHJ	31.7322	0	0	7	0.00106691
CJWL	31.7322	0	0	7	0.00106691
DX"KJM>	31.7322	0	0	7	0.00106691
LZDJQ>	31.7322	0	0	7	0.00106691
CM<	31.7322	0	0	7	0.00106691
VWBWHJ	31.7322	0	0	7	0.00106691
TV<>	31.7322	0	0	7	0.00106691
BJC>	31.0846	5	6.06951e-05	11	0.00167657
>W	31.0814	142	0.00172374	0	0
DPR<WN	31.0814	142	0.00172374	0	0
>M^R	30.8625	141	0.0017116	0	0
>WRXH	30.8053	2	2.4278e-05	9	0.00137174
VBT>	29.2287	8	9.71121e-05	12	0.00182899
J<QWB	28.6736	131	0.00159021	0	0
DPQ^D	28.4548	130	0.00157807	0	0
>"NJN	27.6345	33	0.000400588	20	0.00304832
>XRN>	27.5792	126	0.00152952	0	0
JWM"JN	27.3604	125	0.00151738	0	0
MDJNT>	27.1991	0	0	6	0.000914495
>RJ>	27.1991	0	0	6	0.000914495
MBW<>	27.1991	0	0	6	0.000914495
D<BDJN	27.1991	0	0	6	0.000914495
RXM>	27.1991	0	0	6	0.000914495
BLBK	27.1991	0	0	6	0.000914495
MTQN	27.1991	0	0	6	0.000914495
RXM	27.1991	0	0	6	0.000914495
DQWCT>	27.1991	0	0	6	0.000914495
DBJTH^	27.1991	0	0	6	0.000914495
WJD<T>	27.1991	0	0	6	0.000914495
W<W"L>	27.1991	0	0	6	0.000914495
MHLK	27.1991	0	0	6	0.000914495
MGRG	27.1991	0	0	6	0.000914495
JHB	27.1991	0	0	6	0.000914495
TBR>	27.1991	0	0	6	0.000914495
LMWT>	27.1991	0	0	6	0.000914495
SN>	27.1991	0	0	6	0.000914495
WPWM>	27.1991	0	0	6	0.000914495
LKWN	27.0722	225	0.00273128	4	0.000609663
C"NJN	26.7037	122	0.00148096	0	0
VB"T>	26.6951	2	2.4278e-05	8	0.00121933
WQ#R>	26.0471	119	0.00144454	0	0
XKJM	25.7521	8	9.71121e-05	11	0.00167657
MLT>	25.6184	22	0.000267058	16	0.00243865
DNXC>	25.6093	117	0.00142026	0	0
DJN	25.4941	19	0.000230641	15	0.00228624
DXLTH	25.475	6	7.28341e-05	10	0.00152416
W>MRW	25.3904	116	0.00140813	0	0
L<M>	25.0695	173	0.00210005	2	0.000304832
MDBX>	24.5149	112	0.00135957	0	0
>M"JN	24.296	111	0.00134743	0	0
DKJ>	24.0771	110	0.00133529	0	0
LMRJ>	23.9539	277	0.00336251	8	0.00121933
L>HRWN	23.6393	108	0.00131101	0	0
JWSP	23.6393	108	0.00131101	0	0
LGBR>	23.5258	28	0.000339892	17	0.00259107
LB>	23.2596	32	0.000388449	18	0.00274348
MN	23.1737	1856	0.02253	145	0.0221003
L>R<>	22.9827	105	0.0012746	0	0
D>CKR<>	22.7638	104	0.00126246	0	0
WX#Z>	22.7638	104	0.00126246	0	0
MSL>	22.6659	0	0	5	0.000762079
S"PWT>	22.6659	0	0	5	0.000762079
MSKNWT>	22.6659	0	0	5	0.000762079
<J"NWHJ	22.6659	0	0	5	0.000762079
DZDJQWT>	22.6659	0	0	5	0.000762079
D<T>	22.6659	0	0	5	0.000762079
<BDT	22.6659	0	0	5	0.000762079
DDJN>	22.6659	0	0	5	0.000762079
BSBR>	22.6659	0	0	5	0.000762079
RGLK	22.6659	0	0	5	0.000762079
WMRDWT>	22.6659	0	0	5	0.000762079
L>JN>	22.6659	0	0	5	0.000762079
BTMJMWT>	22.6659	0	0	5	0.000762079
SBR>	22.6659	0	0	5	0.000762079
LBRNC>	22.6659	0	0	5	0.000762079
BSWG>>	22.6659	0	0	5	0.000762079
YBJNH	22.6659	0	0	5	0.000762079
XBRK	22.6659	0	0	5	0.000762079
Y<R>	22.6659	0	0	5	0.000762079
NTXS>	22.6659	0	0	5	0.000762079
D<WL>	22.6659	0	0	5	0.000762079
BXMR>	22.6659	0	0	5	0.000762079
M"LK>	22.6659	0	0	5	0.000762079
<WTR>	22.6659	0	0	5	0.000762079
LNPCK	22.6659	0	0	5	0.000762079
MQBL	22.6659	0	0	5	0.000762079
<RJM>	22.6659	0	0	5	0.000762079
>JQR>	22.6659	0	0	5	0.000762079
DXL	22.6659	0	0	5	0.000762079
DS"KL>	22.6659	0	0	5	0.000762079
<TJR>	22.6659	0	0	5	0.000762079
M"LWHJ	22.6353	2	2.4278e-05	7	0.00106691
WNHW>	22.5449	103	0.00125032	0	0
MN>	22.326	102	0.00123818	0	0
DZXWRJT>	22.326	102	0.00123818	0	0
TLT>	22.326	102	0.00123818	0	0
MMLL	21.9215	6	7.28341e-05	9	0.00137174
LWQBL	21.8883	100	0.0012139	0	0
DMYR"J>	21.8883	100	0.0012139	0	0
DMWT>	21.8646	4	4.85561e-05	8	0.00121933
HWJT	21.8646	4	4.85561e-05	8	0.00121933
WKL	21.826	177	0.00214861	3	0.000457247
>M#R	21.4505	98	0.00118962	0	0
TMN	21.2316	97	0.00117748	0	0
<SR"JN	21.0127	96	0.00116535	0	0
<B#DW	20.3561	93	0.00112893	0	0
DDRT>	20.1372	92	0.00111679	0	0
<ZJL>	20.1372	92	0.00111679	0	0
T<B^D	20.1372	92	0.00111679	0	0
