PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	7297.66	0	0	2457	0.134233
W>M#R	491.021	956	0.0116049	0	0
MWC>	325.85	676	0.00820597	2	0.000109266
>JSRJL	204.989	595	0.00722271	16	0.000874126
PR<WN	179.254	349	0.00423652	0	0
LMWC>	178.979	400	0.00485561	3	0.000163899
HW	154.881	162	0.00196652	186	0.0101617
L<LM	153.647	64	0.000776897	121	0.00661058
<WL>	148.508	0	0	50	0.00273164
<LJ	137.577	24	0.000291336	80	0.00437063
DDHB>	123.976	276	0.00335037	2	0.000109266
NPCJ	117.377	11	0.000133529	58	0.00316871
LH	115.609	663	0.00804817	55	0.00300481
LNPCJ	109.896	0	0	37	0.00202142
TR"JN	108.888	212	0.00257347	0	0
B"<LDBBJ	106.925	0	0	36	0.00196678
>JLJN	105.243	6	7.28341e-05	47	0.00256774
W<B^D	104.779	204	0.00247636	0	0
PWQ"DNJK	103.955	0	0	35	0.00191215
XD	101.11	285	0.00345962	7	0.00038243
LBJ	100.881	2	2.4278e-05	39	0.00213068
LKWN	98.5954	225	0.00273128	2	0.000109266
R"XMWHJ	98.015	0	0	33	0.00180288
<B^D>	92.4517	180	0.00218502	0	0
W<B#DW	91.4245	178	0.00216074	0	0
HKN>	89.5299	230	0.00279197	4	0.000218531
DMYRJN	88.9904	268	0.00325326	8	0.000437063
<BD	88.5029	4	4.85561e-05	38	0.00207605
>LHJ	85.7355	4	4.85561e-05	37	0.00202142
W<B#D	83.2066	162	0.00196652	0	0
CM<	80.1941	0	0	27	0.00147509
WHW#>	79.0976	154	0.00186941	0	0
MLK>	77.224	0	0	26	0.00142045
DMCKN>	75.5023	147	0.00178444	0	0
HN>	75.2383	389	0.00472208	29	0.00158435
TR"TJN	74.9886	146	0.0017723	0	0
DPR<WN	72.9341	142	0.00172374	0	0
>M^R	72.4205	141	0.0017116	0	0
<M>	71.7053	292	0.00354459	16	0.000874126
JHB	71.2836	0	0	24	0.00131119
H>	70.3901	209	0.00253705	6	0.000327797
D<BD	69.2524	4	4.85561e-05	31	0.00169362
LWT	68.6004	247	0.00299834	11	0.000600962
BKLZBN	68.3135	0	0	23	0.00125656
R"CJ<>	68.3135	0	0	23	0.00125656
<L	67.1684	1170	0.0142026	188	0.010271
DPQ^D	66.7707	130	0.00157807	0	0
DMRJ>	65.9071	151	0.00183299	123	0.00671984
W>JK	65.7652	29	0.000352031	53	0.00289554
>WD>	65.3433	0	0	22	0.00120192
VJBWTK	65.3433	0	0	22	0.00120192
JD<	65.3433	0	0	22	0.00120192
<M"M>	64.7772	31	0.000376309	54	0.00295017
>XRN>	64.7162	126	0.00152952	0	0
HWJT	63.8129	4	4.85561e-05	29	0.00158435
MVL	63.7725	649	0.00787822	332	0.0181381
C"NJN	62.6617	122	0.00148096	0	0
<JN"J	62.3732	0	0	21	0.00114729
NMWSK	62.3732	0	0	21	0.00114729
WQ#R>	61.1209	119	0.00144454	0	0
>HRWN	60.173	168	0.00203935	4	0.000218531
HW>	58.9733	239	0.00290122	13	0.000710227
CBXW	58.4069	4	4.85561e-05	27	0.00147509
MDBX>	57.5255	112	0.00135957	0	0
>M"JN	57.0119	111	0.00134743	0	0
RXM	56.4329	0	0	19	0.00103802
M"LK>	56.4329	0	0	19	0.00103802
R"XMJK	56.4329	0	0	19	0.00103802
LCMK	56.4329	0	0	19	0.00103802
VWBWHJ	56.4329	0	0	19	0.00103802
<W"L>	56.4329	0	0	19	0.00103802
WKD	56.4218	150	0.00182085	3	0.000163899
W>N	56.1466	186	0.00225786	7	0.00038243
JWSP	55.471	108	0.00131101	0	0
L>HRWN	55.471	108	0.00131101	0	0
PYNJ	53.4627	0	0	18	0.000983392
CBXWHJ	53.4627	0	0	18	0.000983392
SBRT	53.4627	0	0	18	0.000983392
D>CKR<>	53.4166	104	0.00126246	0	0
WX#Z>	53.4166	104	0.00126246	0	0
WNHW>	52.9029	103	0.00125032	0	0
BN"J	52.5069	230	0.00279197	14	0.00076486
TLT>	52.3893	102	0.00123818	0	0
DZXWRJT>	52.3893	102	0.00123818	0	0
WKL	52.2053	177	0.00214861	7	0.00038243
WH>	51.8757	101	0.00122604	0	0
<B^D	51.8757	101	0.00122604	0	0
DBN"J	51.4999	129	0.00156593	2	0.000109266
>NTT>	51.3621	100	0.0012139	0	0
DMYR"J>	51.3621	100	0.0012139	0	0
H#W	50.8485	99	0.00120176	0	0
>M#R	50.3348	98	0.00118962	0	0
DS>M>	50.3348	98	0.00118962	0	0
WLJT	49.9153	13	0.000157807	33	0.00180288
JWM"JN	49.5704	125	0.00151738	2	0.000109266
