PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2867.43	0	0	719	0.0670396
MLK>	965.117	0	0	242	0.0225641
W>MR	532.683	80	0.000971121	214	0.0199534
W>M#R	279.82	956	0.0116049	0	0
DJHWD>	225.744	14	0.000169946	75	0.00699301
>MLK	203.392	0	0	51	0.00475524
>MR	200.238	7	8.49731e-05	61	0.00568765
MWC>	171.31	676	0.00820597	3	0.00027972
D>JSRJL	164.375	57	0.000691924	85	0.00792541
D>TWR	163.511	0	0	41	0.00382284
>LJC<	151.547	0	0	38	0.00354312
BR	148.423	159	0.0019301	122	0.0113753
XZQJ>	147.559	0	0	37	0.00344988
LMLK>	143.571	0	0	36	0.00335664
D<BD	141.49	4	4.85561e-05	42	0.00391608
DMLK>	139.583	0	0	35	0.0032634
LMWC>	117.079	400	0.00485561	0	0
JHW	111.666	0	0	28	0.00261072
DM"LK>	111.666	0	0	28	0.00261072
DMRJ>	105.481	151	0.00183299	100	0.00932401
DBBL	99.7021	0	0	25	0.002331
W<BD	96.2266	6	7.28341e-05	32	0.00298368
>"BHWHJ	95.714	0	0	24	0.00223776
WCRK>	95.714	0	0	24	0.00223776
BCMRJN	91.7259	0	0	23	0.00214452
B>WRCLM	87.7379	0	0	22	0.00205128
BSPR	87.7379	0	0	22	0.00205128
DBRJMJN	87.7379	0	0	22	0.00205128
KTJBJN	87.7379	0	0	22	0.00205128
>XB	83.7498	0	0	21	0.00195804
NBJH	83.7498	0	0	21	0.00195804
D>DWM	83.6118	9	0.000109251	31	0.00289044
WHPK	79.7617	0	0	20	0.0018648
BBJTH	79.7617	0	0	20	0.0018648
>WRCLM	79.7617	0	0	20	0.0018648
PTGMH	75.7736	0	0	19	0.00177156
W>MLK	71.6334	7	8.49731e-05	26	0.00242424
>LJ>	67.7974	0	0	17	0.00158508
DBJC	66.5839	4	4.85561e-05	22	0.00205128
D>MR	66.5839	4	4.85561e-05	22	0.00205128
PR<WN	65.2179	349	0.00423652	6	0.000559441
XZ>JL	63.8094	0	0	16	0.00149184
JWRM	63.8094	0	0	16	0.00149184
BCNT	60.3976	6	7.28341e-05	22	0.00205128
WSLQ	59.8213	0	0	15	0.0013986
>XZ	59.8213	0	0	15	0.0013986
NB"J>	59.8213	0	0	15	0.0013986
JHW>C	59.8213	0	0	15	0.0013986
M"LK>	59.8213	0	0	15	0.0013986
W<B^D	59.7105	204	0.00247636	0	0
<"LWT>	59.3055	4	4.85561e-05	20	0.0018648
NBV	55.8332	0	0	14	0.00130536
DPT"GMWHJ	55.8332	0	0	14	0.00130536
SLQ	55.8332	0	0	14	0.00130536
DJWRB<M	55.8332	0	0	14	0.00130536
NBJ>	55.8332	0	0	14	0.00130536
