PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3149.84	0	0	816	0.0709072
MLK>	814.481	0	0	211	0.0183351
CLJMWN	432.331	0	0	112	0.00973236
W>MR	349.409	80	0.000971121	164	0.014251
W>M#R	299.838	956	0.0116049	0	0
>MR	243.867	7	8.49731e-05	75	0.00651721
MWC>	212.019	676	0.00820597	0	0
DWJD	177.564	0	0	46	0.00399722
W<BD	153.119	6	7.28341e-05	49	0.00425791
>LJ>	138.964	0	0	36	0.00312826
NBJ>	131.243	0	0	34	0.00295447
D>JSRJL	129.591	57	0.000691924	76	0.0066041
>XB	127.383	0	0	33	0.00286757
LMWC>	125.455	400	0.00485561	0	0
LMLK>	119.663	0	0	31	0.00269378
DCLJMWN	111.943	0	0	29	0.00251999
PTGMH	104.223	0	0	27	0.00234619
JWRB<M	104.223	0	0	27	0.00234619
>MLK	100.363	0	0	26	0.0022593
D<BD	96.0408	4	4.85561e-05	31	0.00269378
DMRJ>	91.8295	151	0.00183299	98	0.00851582
DDWJD	84.9221	0	0	22	0.00191171
LCLJMWN	81.062	0	0	21	0.00182482
<BD	74.488	4	4.85561e-05	25	0.0021724
B<C>	69.4818	0	0	18	0.00156413
>DWNJ>	65.6217	0	0	17	0.00147723
DJWRB<M	65.6217	0	0	17	0.00147723
BR	64.2795	159	0.0019301	86	0.00747306
W<B^D	63.9821	204	0.00247636	0	0
PR<WN	63.7483	349	0.00423652	8	0.000695169
RXB<M	61.7616	0	0	16	0.00139034
DMLK>	61.7616	0	0	16	0.00139034
WHW>	61.4635	31	0.000376309	38	0.00330205
BJT>	60.5029	20	0.00024278	32	0.00278067
>"BHWHJ	57.9015	0	0	15	0.00130344
CM<	57.9015	0	0	15	0.00130344
<BD>	57.1057	2	2.4278e-05	18	0.00156413
<B^D>	56.4548	180	0.00218502	0	0
W<B#DW	55.8275	178	0.00216074	0	0
LKWN	55.3792	225	0.00273128	2	0.000173792
B>WRCLM	54.0414	0	0	14	0.00121655
JWJD<	54.0414	0	0	14	0.00121655
WMLK>	54.0414	0	0	14	0.00121655
XJL>	53.4621	2	2.4278e-05	17	0.00147723
W>MRT	53.4621	2	2.4278e-05	17	0.00147723
D>MR	53.3427	4	4.85561e-05	19	0.00165103
DJHWD>	52.9577	14	0.000169946	26	0.0022593
>HRWN	52.6911	168	0.00203935	0	0
W<B#D	50.8093	162	0.00196652	0	0
WBN>	50.1813	0	0	13	0.00112965
WCKB	50.1813	0	0	13	0.00112965
JHB	50.1813	0	0	13	0.00112965
DM"LK>	50.1813	0	0	13	0.00112965
WCRK>	50.1813	0	0	13	0.00112965
>S>	50.1813	0	0	13	0.00112965
XJRM	50.1813	0	0	13	0.00112965
L>XB	50.1813	0	0	13	0.00112965
WHW#>	48.3002	154	0.00186941	0	0
KWRSJH	46.3212	0	0	12	0.00104275
KTJBJN	46.3212	0	0	12	0.00104275
BSPR	46.3212	0	0	12	0.00104275
NBV	46.3212	0	0	12	0.00104275
BRHDD	46.3212	0	0	12	0.00104275
D>RZ>	46.3212	0	0	12	0.00104275
M"LK>	46.3212	0	0	12	0.00104275
DMCKN>	46.1047	147	0.00178444	0	0
DBJT>	44.3715	6	7.28341e-05	18	0.00156413
>M^R	44.2229	141	0.0017116	0	0
BQRJT>	42.612	2	2.4278e-05	14	0.00121655
W>ZL	42.5045	15	0.000182085	23	0.00199861
DPT"GMWHJ	42.4611	0	0	11	0.000955857
DBRJMJN	42.4611	0	0	11	0.000955857
>XJ>	42.4611	0	0	11	0.000955857
DBN>	42.4611	0	0	11	0.000955857
JWCPV	42.4611	0	0	11	0.000955857
J<QWB	41.0865	131	0.00159021	0	0
DPQ^D	40.7729	130	0.00157807	0	0
JW>B	38.601	0	0	10	0.000868961
WHLK	38.601	0	0	10	0.000868961
LDWJD	38.601	0	0	10	0.000868961
GB	38.601	0	0	10	0.000868961
WSLQ	38.601	0	0	10	0.000868961
NBJH	38.601	0	0	10	0.000868961
<MRJ	38.601	0	0	10	0.000868961
HW	38.3741	162	0.00196652	71	0.00616962
WQ#R>	37.3229	119	0.00144454	0	0
W>MLK	35.6899	7	8.49731e-05	16	0.00139034
