PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	693.181	0	0	86	0.106436
N<MJ	112.843	0	0	14	0.0173267
B<Z	96.7229	0	0	12	0.0148515
LH^	81.1862	109	0.00132315	26	0.0321782
R<WT	80.6024	0	0	10	0.0123762
XMTH^	72.5422	0	0	9	0.0111386
W>M#RT	39.9958	83	0.00100754	15	0.0185644
BRTJ#	32.241	0	0	4	0.0049505
B^<Z	32.241	0	0	4	0.0049505
LQV>	32.241	0	0	4	0.0049505
MW>BJT>	32.241	0	0	4	0.0049505
BRTJ	32.241	0	0	4	0.0049505
>WLD	28.7284	16	0.000194224	7	0.00866337
DMW>B	26.6176	5	6.06951e-05	5	0.00618812
LXM	25.3582	6	7.28341e-05	5	0.00618812
MWC>	24.244	676	0.00820597	0	0
LR<WT	24.1807	0	0	3	0.00371287
XY"WD>	24.1807	0	0	3	0.00371287
>M^R>	24.1807	0	0	3	0.00371287
LQ^V>	24.1807	0	0	3	0.00371287
H#WJT	24.1807	0	0	3	0.00371287
LMLQV	24.1807	0	0	3	0.00371287
R"X#M>	24.1807	0	0	3	0.00371287
LN<MJ	24.1807	0	0	3	0.00371287
CRBTH	24.1807	0	0	3	0.00371287
TB^<	24.1807	0	0	3	0.00371287
BJ"NT	24.1807	0	0	3	0.00371287
LXMTH^	24.1807	0	0	3	0.00371287
>JSRJL	21.3391	595	0.00722271	0	0
DMJT>	21.2941	4	4.85561e-05	4	0.0049505
DS<R">	20.055	5	6.06951e-05	4	0.0049505
>NWN	19.4024	541	0.00656721	0	0
JRTWT>	18.0714	7	8.49731e-05	4	0.0049505
R"GLWHJ	17.8223	16	0.000194224	5	0.00618812
JTJR	17.5223	2	2.4278e-05	3	0.00371287
T^B<	16.1205	0	0	2	0.00247525
TLQWV	16.1205	0	0	2	0.00247525
W<#LT	16.1205	0	0	2	0.00247525
DLMHW>	16.1205	0	0	2	0.00247525
D>BJMLK	16.1205	0	0	2	0.00247525
P<"L>	16.1205	0	0	2	0.00247525
KLTH^	16.1205	0	0	2	0.00247525
>J^K>	16.1205	0	0	2	0.00247525
WLKJ	16.1205	0	0	2	0.00247525
BN"TJ#	16.1205	0	0	2	0.00247525
HJ#	16.1205	0	0	2	0.00247525
TB^W<>	16.1205	0	0	2	0.00247525
DPRY	16.1205	0	0	2	0.00247525
QLHJ#N	16.1205	0	0	2	0.00247525
WQR"J	16.1205	0	0	2	0.00247525
NTV<>	16.1205	0	0	2	0.00247525
JRTWTH	16.1205	0	0	2	0.00247525
L>DR>	16.1205	0	0	2	0.00247525
TB<	16.1205	0	0	2	0.00247525
JD^<>	16.1205	0	0	2	0.00247525
WNP#LT	16.1205	0	0	2	0.00247525
NHRKJ	16.1205	0	0	2	0.00247525
B<^Z	16.1205	0	0	2	0.00247525
LMQMW	16.1205	0	0	2	0.00247525
DB<Z	16.1205	0	0	2	0.00247525
PLGWT>	16.1205	0	0	2	0.00247525
JBMTKJ	16.1205	0	0	2	0.00247525
WNC#QT	16.1205	0	0	2	0.00247525
HPWKJN	16.1205	0	0	2	0.00247525
MLJWN	16.1205	0	0	2	0.00247525
<RP>	16.1205	0	0	2	0.00247525
DN<MJ	16.1205	0	0	2	0.00247525
WKLJWN	16.1205	0	0	2	0.00247525
>LJMLK	16.1205	0	0	2	0.00247525
WQM#T	16.1205	0	0	2	0.00247525
>NT#	16.1205	0	0	2	0.00247525
W>MR"N	16.1205	0	0	2	0.00247525
WH#WJTJ	16.1205	0	0	2	0.00247525
LB<Z	16.1205	0	0	2	0.00247525
W>TR	16.1205	0	0	2	0.00247525
<D	15.9706	3	3.6417e-05	3	0.00371287
LKJ	15.2153	22	0.000267058	5	0.00618812
LMWC>	14.3456	400	0.00485561	0	0
HN>	13.9511	389	0.00472208	0	0
DJHWD>	13.6736	14	0.000169946	4	0.0049505
M>	13.4425	128	0.00155379	10	0.0123762
<L	12.6769	1170	0.0142026	7	0.00866337
<DM>	12.5606	136	0.00165091	10	0.0123762
PR<WN	12.5165	349	0.00423652	0	0
BN"JH^	11.5767	8	9.71121e-05	3	0.00371287
DL>	10.8885	210	0.00254919	12	0.0148515
MRJ>	10.7972	1348	0.0163634	10	0.0123762
LM<MR	10.647	2	2.4278e-05	2	0.00247525
DM#K	10.647	2	2.4278e-05	2	0.00247525
W>MRT	10.647	2	2.4278e-05	2	0.00247525
B>JSRJL	10.647	2	2.4278e-05	2	0.00247525
LJ	10.4403	278	0.00337465	14	0.0173267
XD	10.2212	285	0.00345962	0	0
<MH^	10.027	11	0.000133529	3	0.00371287
LMRJ>	9.93432	277	0.00336251	0	0
DDHB>	9.89845	276	0.00335037	0	0
H^W	9.85029	63	0.000764758	6	0.00742574
DMYRJN	9.61154	268	0.00325326	0	0
W>CTJ	9.49796	3	3.6417e-05	2	0.00247525
>L>	9.2872	67	0.000813314	6	0.00742574
WHC>	9.13188	28	0.000339892	4	0.0049505
CLM>	8.62577	4	4.85561e-05	2	0.00247525
HKN>	8.24871	230	0.00279197	0	0
BN"J	8.24871	230	0.00279197	0	0
WHWT	8.18039	16	0.000194224	3	0.00371287
JWMN>	8.13594	53	0.000643368	5	0.00618812
LKWN	8.06939	225	0.00273128	0	0
GJR	7.92403	5	6.06951e-05	2	0.00247525
B<LH^	7.92403	5	6.06951e-05	2	0.00247525
XYD>	7.92403	5	6.06951e-05	2	0.00247525
N<BD	7.88206	17	0.000206363	3	0.00371287
TR"JN	7.60316	212	0.00257347	0	0
W<L	7.49557	209	0.00253705	0	0
WH#W>	7.33664	19	0.000230641	3	0.00371287
DJN	7.33664	19	0.000230641	3	0.00371287
W<B^D	7.31625	204	0.00247636	0	0
XD>	6.92174	193	0.00234283	0	0
BTR	6.89047	88	0.00106823	6	0.00742574
WNTL	6.83682	7	8.49731e-05	2	0.00247525
W>N	6.6707	186	0.00225786	0	0
<B^D>	6.45551	180	0.00218502	0	0
WHD>	6.39935	8	9.71121e-05	2	0.00247525
W<B#DW	6.38378	178	0.00216074	0	0
WKL	6.34792	177	0.00214861	0	0
L<M>	6.20446	173	0.00210005	0	0
>HRWN	6.02514	168	0.00203935	0	0
BRJK	6.0122	9	0.000109251	2	0.00247525
WLBJT	6.0122	9	0.000109251	2	0.00247525
KLHWN	5.95342	166	0.00201508	0	0
>NTT>	5.83393	100	0.0012139	6	0.00742574
QDM	5.81179	421	0.00511053	2	0.00247525
W<B#D	5.80996	162	0.00196652	0	0
<MJ	5.75875	48	0.000582673	4	0.0049505
BR	5.70237	159	0.0019301	0	0
WCMH^	5.66566	10	0.00012139	2	0.00247525
TR"JHWN	5.64408	27	0.000327753	3	0.00371287
<MH	5.52305	154	0.00186941	0	0
WHW#>	5.52305	154	0.00186941	0	0
LGBR>	5.47284	28	0.000339892	3	0.00371287
LHWN	5.44464	407	0.00494058	2	0.00247525
WKD	5.37959	150	0.00182085	0	0
DMCKN>	5.272	147	0.00178444	0	0
TR"TJN	5.23614	146	0.0017723	0	0
M"J>	5.20027	145	0.00176016	0	0
>W	5.09268	142	0.00172374	0	0
DPR<WN	5.09268	142	0.00172374	0	0
MCKX	5.0676	12	0.000145668	2	0.00247525
>M^R	5.05682	141	0.0017116	0	0
>LH>	5.03084	391	0.00474636	2	0.00247525
W>N>	4.85776	56	0.000679785	4	0.0049505
SRJQ>JT	4.80649	13	0.000157807	2	0.00247525
BH	4.76991	133	0.00161449	0	0
HWW	4.73404	132	0.00160235	0	0
J<QWB	4.69818	131	0.00159021	0	0
DPQ^D	4.66231	130	0.00157807	0	0
DBN"J	4.62645	129	0.00156593	0	0
MDM	4.59059	128	0.00155379	0	0
>XRN>	4.51886	126	0.00152952	0	0
JWM"JN	4.48299	125	0.00151738	0	0
GBR>	4.46392	152	0.00184513	7	0.00866337
BJWM>	4.3754	122	0.00148096	0	0
DHB>	4.3754	122	0.00148096	0	0
C"NJN	4.3754	122	0.00148096	0	0
TXJT	4.26781	119	0.00144454	0	0
WQ#R>	4.26781	119	0.00144454	0	0
DNXC>	4.19608	117	0.00142026	0	0
W>MRW	4.16022	116	0.00140813	0	0
CMH^	4.13636	16	0.000194224	2	0.00247525
HJ^	4.13636	16	0.000194224	2	0.00247525
<LWHJ	4.01676	112	0.00135957	0	0
MDBX>	4.01676	112	0.00135957	0	0
W>P	4.01676	112	0.00135957	0	0
>M"JN	3.9809	111	0.00134743	0	0
HW	3.94986	162	0.00196652	7	0.00866337
DKJ>	3.94504	110	0.00133529	0	0
D>R<>	3.94504	110	0.00133529	0	0
KPN>	3.94334	17	0.000206363	2	0.00247525
WMRJ>	3.94334	17	0.000206363	2	0.00247525
L>HRWN	3.87331	108	0.00131101	0	0
JWSP	3.87331	108	0.00131101	0	0
MNH	3.80158	106	0.00128674	0	0
H#W	3.74656	99	0.00120176	5	0.00618812
D>CKR<>	3.72985	104	0.00126246	0	0
WX#Z>	3.72985	104	0.00126246	0	0
MN>	3.65812	102	0.00123818	0	0
DZXWRJT>	3.65812	102	0.00123818	0	0
TLT>	3.65812	102	0.00123818	0	0
<B^D	3.62226	101	0.00122604	0	0
LWQBL	3.5864	100	0.0012139	0	0
DMYR"J>	3.5864	100	0.0012139	0	0
DS>M>	3.51467	98	0.00118962	0	0
<SR"JN	3.44294	96	0.00116535	0	0
LJ#	3.43378	20	0.00024278	2	0.00247525
SB">	3.43378	20	0.00024278	2	0.00247525
HD>	3.34032	74	0.000898287	4	0.0049505
<B#DW	3.33535	93	0.00112893	0	0
DDRT>	3.29948	92	0.00111679	0	0
<ZJL>	3.29948	92	0.00111679	0	0
T<B^D	3.29948	92	0.00111679	0	0
W<DM>	3.29948	92	0.00111679	0	0
NJX>	3.28343	21	0.000254919	2	0.00247525
WKLHWN	3.22776	90	0.00109251	0	0
D>LH>	3.19189	89	0.00108037	0	0
<MK	3.19189	89	0.00108037	0	0
W>RJM	3.16959	47	0.000570534	3	0.00371287
W>RGWN>	3.15603	88	0.00106823	0	0
MYRJN	3.15603	88	0.00106823	0	0
MYR"J>	3.15603	88	0.00106823	0	0
MCKN>	3.0843	86	0.00104396	0	0
>BRHM	3.0843	86	0.00104396	0	0
LBN"J	3.0843	86	0.00104396	0	0
BHWN	3.04844	85	0.00103182	0	0
<B#D	3.04844	85	0.00103182	0	0
DPDT>	3.01257	84	0.00101968	0	0
WYWB<>	3.01257	84	0.00101968	0	0
PRS>	3.01257	84	0.00101968	0	0
QWDC>	3.01257	84	0.00101968	0	0
LPR<WN	3.01257	84	0.00101968	0	0
PTGM>	3.01257	84	0.00101968	0	0
W>HRWN	3.01257	84	0.00101968	0	0
NC">	3.00689	23	0.000279197	2	0.00247525
LM>ZL	3.00689	23	0.000279197	2	0.00247525
LN	2.97671	83	0.00100754	0	0
GBR	2.94084	82	0.000995399	0	0
DQJS>	2.90498	81	0.00098326	0	0
L<L	2.90498	81	0.00098326	0	0
>^ZL	2.87938	24	0.000291336	2	0.00247525
H#J	2.87938	24	0.000291336	2	0.00247525
W>MR	2.86912	80	0.000971121	0	0
DJRJ<T>	2.86912	80	0.000971121	0	0
>JDH	2.86912	80	0.000971121	0	0
LXBRH	2.75828	25	0.000303475	2	0.00247525
WBWY>	2.72566	76	0.000922565	0	0
PWRCN>	2.72566	76	0.000922565	0	0
HC>	2.72566	76	0.000922565	0	0
ZL	2.72566	76	0.000922565	0	0
DMWC>	2.72566	76	0.000922565	0	0
CMH	2.70985	84	0.00101968	4	0.0049505
M^LK>	2.6898	75	0.000910426	0	0
WJH#B	2.68475	53	0.000643368	3	0.00371287
<M>	2.64467	292	0.00354459	2	0.00247525
QDMJK	2.61807	73	0.000886148	0	0
D>M#R	2.5822	72	0.000874009	0	0
RB>	2.5822	72	0.000874009	0	0
QBWT>	2.5822	72	0.000874009	0	0
>R"B<	2.5822	72	0.000874009	0	0
LMCKN>	2.5822	72	0.000874009	0	0
BGW	2.54634	71	0.00086187	0	0
WJT#B	2.53344	27	0.000327753	2	0.00247525
LK	2.49035	285	0.00345962	2	0.00247525
LBH	2.47461	69	0.000837592	0	0
KLH^	2.47461	69	0.000837592	0	0
XWSJ>	2.43875	68	0.000825453	0	0
TWR>	2.43875	68	0.000825453	0	0
>LHH	2.43875	68	0.000825453	0	0
JM>	2.40289	67	0.000813314	0	0
TM^N	2.40289	67	0.000813314	0	0
BKLH^	2.36702	66	0.000801175	0	0
DM>	2.36702	66	0.000801175	0	0
SVR"WHJ	2.29529	64	0.000776897	0	0
L<LM	2.29529	64	0.000776897	0	0
CDR	2.29529	64	0.000776897	0	0
CBJ<J>	2.25943	63	0.000764758	0	0
XLP	2.22357	62	0.000752619	0	0
D<L	2.22357	62	0.000752619	0	0
BH^	2.1877	61	0.00074048	0	0
DBWY>	2.1877	61	0.00074048	0	0
>R"B<>	2.1877	61	0.00074048	0	0
VWR>	2.1877	61	0.00074048	0	0
NHWWN	2.15184	60	0.000728341	0	0
CB<>	2.15184	60	0.000728341	0	0
M>"NWHJ	2.15184	60	0.000728341	0	0
B<JR>	2.15184	60	0.000728341	0	0
SM"KJN	2.15184	60	0.000728341	0	0
WL>HRWN	2.15184	60	0.000728341	0	0
WM>	2.11597	59	0.000716202	0	0
