PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	1356	0	0	211	0.0915004
XJLTN>	340.607	0	0	53	0.0229835
>MR	254.823	7	8.49731e-05	46	0.019948
>WRCLM	109.251	0	0	17	0.00737207
W>MRT	90.4311	2	2.4278e-05	16	0.00693842
W>MR	86.1352	80	0.000971121	34	0.0147441
W>M#R	78.4991	956	0.0116049	0	0
PTGMH	70.6921	0	0	11	0.00477016
DMRJ>	70.1416	151	0.00183299	39	0.0169124
<M"M>	62.7668	31	0.000376309	20	0.00867303
>NJN	57.839	0	0	9	0.00390286
MWC>	55.5078	676	0.00820597	0	0
DMMLL	53.623	4	4.85561e-05	11	0.00477016
L>WRCLM	51.4124	0	0	8	0.00346921
BJ	51.2278	5	6.06951e-05	11	0.00477016
D>WRCLM	44.9859	0	0	7	0.00303556
B>WRCLM	44.9859	0	0	7	0.00303556
HLJN	42.0506	143	0.00173588	29	0.0125759
CRBT>	38.5593	0	0	6	0.00260191
XZJT	38.5593	0	0	6	0.00260191
DWJD	38.5593	0	0	6	0.00260191
>JSRJL	34.9214	595	0.00722271	2	0.000867303
LMWC>	32.8448	400	0.00485561	0	0
LML>K>	32.1328	0	0	5	0.00216826
<JN"J	32.1328	0	0	5	0.00216826
NBJ>	32.1328	0	0	5	0.00216826
MLK>	32.1328	0	0	5	0.00216826
WXZJT	32.1328	0	0	5	0.00216826
LM>MR	31.2595	7	8.49731e-05	8	0.00346921
JHWD>	29.7745	23	0.000279197	11	0.00477016
PR<WN	28.6571	349	0.00423652	0	0
BJWM>	28.2826	122	0.00148096	22	0.00954033
BJWMT>	25.7062	0	0	4	0.00173461
DQJMJN	25.7062	0	0	4	0.00173461
<MWRJH	25.7062	0	0	4	0.00173461
YHJWN	25.7062	0	0	4	0.00173461
BQRB>	25.7062	0	0	4	0.00173461
W>RJMT	25.7062	0	0	4	0.00173461
MDJNT>	25.7062	0	0	4	0.00173461
CRBN	25.7062	0	0	4	0.00173461
>"BHJKWN	25.7062	0	0	4	0.00173461
ZKRJ>	25.7062	0	0	4	0.00173461
ML>K>	25.4773	12	0.000145668	8	0.00346921
MXWT>	25.4275	4	4.85561e-05	6	0.00260191
>JK	24.9928	461	0.00559609	46	0.019948
HNWN	24.915	8	9.71121e-05	7	0.00303556
BH	23.1999	133	0.00161449	21	0.00910668
HW	22.1951	162	0.00196652	23	0.00997398
LWT	20.2817	247	0.00299834	0	0
BJNT	20.0959	4	4.85561e-05	5	0.00216826
R"KC>	20.0948	8	9.71121e-05	6	0.00260191
DJHWD>	19.4018	14	0.000169946	7	0.00303556
WNPWQ	19.2797	0	0	3	0.00130095
JD<	19.2797	0	0	3	0.00130095
DDRJWC	19.2797	0	0	3	0.00130095
Y">>	19.2797	0	0	3	0.00130095
DXDJRJN	19.2797	0	0	3	0.00130095
NPQJN	19.2797	0	0	3	0.00130095
KJLT>	19.2797	0	0	3	0.00130095
VNT	19.2797	0	0	3	0.00130095
DNPQ>	19.2797	0	0	3	0.00130095
WTTB	19.2797	0	0	3	0.00130095
QDM"J>	19.2797	0	0	3	0.00130095
WYWM>	19.2797	0	0	3	0.00130095
DGL>	19.2797	0	0	3	0.00130095
XMJCJ>	19.2797	0	0	3	0.00130095
WN>TWN	19.2797	0	0	3	0.00130095
WBMRKBT>	19.2797	0	0	3	0.00130095
BRJCH	19.2797	0	0	3	0.00130095
QR"NT>	19.2797	0	0	3	0.00130095
JTB>	19.2797	0	0	3	0.00130095
WNCJHWN	19.2797	0	0	3	0.00130095
NB"J>	19.2797	0	0	3	0.00130095
WMNHWN	19.2797	0	0	3	0.00130095
LJHWD>	19.2797	0	0	3	0.00130095
>KXD>	18.9746	21	0.000254919	8	0.00346921
R<J>	18.2323	2	2.4278e-05	4	0.00173461
W<B^D	16.7509	204	0.00247636	0	0
MKJL	16.3918	3	3.6417e-05	4	0.00173461
>LH>	16.1419	391	0.00474636	3	0.00130095
WNHWWN	15.5727	28	0.000339892	8	0.00346921
DH>	15.4664	8	9.71121e-05	5	0.00216826
<B^D>	14.7802	180	0.00218502	0	0
