PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	2854.18	0	0	693	0.0723307
MLK>	844.311	0	0	205	0.0213965
DWJD	786.651	0	0	191	0.0199353
>MR	401.955	7	8.49731e-05	110	0.0114811
W>MR	345.684	80	0.000971121	151	0.0157604
>BCLWM	267.708	0	0	65	0.00678426
W>M#R	260.879	956	0.0116049	0	0
JW>B	251.234	0	0	61	0.00636677
LDWJD	218.285	0	0	53	0.00553178
MWC>	184.471	676	0.00820597	0	0
C>WL	165.31	2	2.4278e-05	44	0.00459242
LMLK>	164.744	0	0	40	0.00417493
DDWJD	152.388	0	0	37	0.00386181
>BNJR	115.321	0	0	28	0.00292245
BR	114.211	159	0.0019301	102	0.0106461
LMWC>	109.154	400	0.00485561	0	0
<BDK	100.346	3	3.6417e-05	29	0.00302682
HW>	98.1412	239	0.00290122	118	0.012316
PR<WN	95.2371	349	0.00423652	0	0
LJW>B	86.4904	0	0	21	0.00219184
L>BCLWM	86.4904	0	0	21	0.00219184
DMN	75.6423	23	0.000279197	36	0.00375744
WDWJD	74.1346	0	0	18	0.00187872
DMYRJN	73.1333	268	0.00325326	0	0
YB>	70.0161	0	0	17	0.00177435
<MWN	70.0161	0	0	17	0.00177435
L>WRCLM	70.0161	0	0	17	0.00177435
DC>WL	65.8975	0	0	16	0.00166997
<B"DWHJ	65.6738	14	0.000169946	28	0.00292245
XJL>	65.5903	2	2.4278e-05	19	0.00198309
LH	65.5006	663	0.00804817	196	0.0204572
DMLK>	61.7789	0	0	15	0.0015656
DJW>B	61.7789	0	0	15	0.0015656
XMNWN	61.7789	0	0	15	0.0015656
BXBRWN	61.7789	0	0	15	0.0015656
MRJ>	58.5977	1348	0.0163634	95	0.00991546
JWRDNN	57.6603	0	0	14	0.00146123
WCDR	55.9151	24	0.000291336	30	0.0031312
W<B^D	55.6687	204	0.00247636	0	0
DDHB>	54.509	276	0.00335037	3	0.00031312
>DWM	54.3641	4	4.85561e-05	18	0.00187872
W>T>	49.7347	12	0.000145668	22	0.00229621
YWRJ>	49.4231	0	0	12	0.00125248
<B^D>	49.1194	180	0.00218502	0	0
W<B#DW	48.5736	178	0.00216074	0	0
W>ZL	47.8386	15	0.000182085	23	0.00240058
MJT	46.1494	2	2.4278e-05	14	0.00146123
<BR	46.1494	2	2.4278e-05	14	0.00146123
>HRWN	45.8448	168	0.00203935	0	0
JD<	45.3045	0	0	11	0.00114811
D>BCLWM	45.3045	0	0	11	0.00114811
WHW>	44.7876	31	0.000376309	29	0.00302682
W<B#D	44.2075	162	0.00196652	0	0
MRJ	43.7879	40	0.000485561	32	0.00333994
<BD	43.3136	4	4.85561e-05	15	0.0015656
>T>	42.9517	7	8.49731e-05	17	0.00177435
WHW#>	42.0244	154	0.00186941	0	0
>WRJ>	41.1859	0	0	10	0.00104373
JWNTN	41.1859	0	0	10	0.00104373
DMCKN>	40.1142	147	0.00178444	0	0
HWJT	39.6824	4	4.85561e-05	14	0.00146123
DPR<WN	38.7498	142	0.00172374	0	0
W>MRT	38.4856	2	2.4278e-05	12	0.00125248
>M^R	38.4769	141	0.0017116	0	0
WHW	37.5279	8	9.71121e-05	16	0.00166997
XWCJ	37.0673	0	0	9	0.000939359
>XJTWPJL	37.0673	0	0	9	0.000939359
YJB>	37.0673	0	0	9	0.000939359
NBJ>	37.0673	0	0	9	0.000939359
XZ>	37.0673	0	0	9	0.000939359
L>BNJR	37.0673	0	0	9	0.000939359
CWR>	37.0673	0	0	9	0.000939359
WHPK	37.0673	0	0	9	0.000939359
D>T>	37.0673	0	0	9	0.000939359
L>WRJ>	37.0673	0	0	9	0.000939359
WNPQ	37.0673	0	0	9	0.000939359
J<QWB	35.748	131	0.00159021	0	0
D<MH	35.6825	9	0.000109251	16	0.00166997
DPQ^D	35.4751	130	0.00157807	0	0
HN>	35.0038	389	0.00472208	17	0.00177435
WQR>	34.863	6	7.28341e-05	14	0.00146123
>ZL	33.9798	10	0.00012139	16	0.00166997
LKWN	33.8153	225	0.00273128	5	0.000521866
DHB>	33.292	122	0.00148096	0	0
PLCT"J>	32.9487	0	0	8	0.000834986
WDMK	32.9487	0	0	8	0.000834986
DHDR<ZR	32.9487	0	0	8	0.000834986
>MRT	32.9487	0	0	8	0.000834986
>RWNH	32.9487	0	0	8	0.000834986
CMW<	32.9487	0	0	8	0.000834986
B>WRCLM	32.9487	0	0	8	0.000834986
WMXJHJ	32.9487	0	0	8	0.000834986
WSGD	32.9487	0	0	8	0.000834986
BKRJ	32.9487	0	0	8	0.000834986
WJW>B	32.9487	0	0	8	0.000834986
W>BCLWM	32.9487	0	0	8	0.000834986
WQ#R>	32.4734	119	0.00144454	0	0
LQRJT>	31.5749	3	3.6417e-05	11	0.00114811
DMJT	31.5749	3	3.6417e-05	11	0.00114811
RJCH	30.9182	2	2.4278e-05	10	0.00104373
>M"JN	30.2903	111	0.00134743	0	0
WKL	30.1407	177	0.00214861	3	0.00031312
D>R<>	30.0174	110	0.00133529	0	0
DKJ>	30.0174	110	0.00133529	0	0
WKLH	29.7101	46	0.000558395	28	0.00292245
JWSP	29.4716	108	0.00131101	0	0
L>HRWN	29.4716	108	0.00131101	0	0
MPJBCT	28.8301	0	0	7	0.000730613
W>BJCJ	28.8301	0	0	7	0.000730613
LXMNWN	28.8301	0	0	7	0.000730613
WMX>	28.8301	0	0	7	0.000730613
NTN	28.8301	0	0	7	0.000730613
JTB	28.8301	0	0	7	0.000730613
NXT	28.8301	0	0	7	0.000730613
D>CBCWL	28.8301	0	0	7	0.000730613
LXBRWN	28.8301	0	0	7	0.000730613
D>MRT	28.8301	0	0	7	0.000730613
DMK	28.8301	0	0	7	0.000730613
WJTB	28.8301	0	0	7	0.000730613
W>N	28.4301	186	0.00225786	4	0.000417493
D>CKR<>	28.3801	104	0.00126246	0	0
WX#Z>	28.3801	104	0.00126246	0	0
