PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
%verse	3117.21	0	0	809	0.0710584
C>WL	787.158	2	2.4278e-05	210	0.0184453
W>MR	695.929	80	0.000971121	272	0.0238911
DWJD	689.716	0	0	179	0.0157224
CMW>JL	358.344	0	0	93	0.00816864
W>M#R	300.966	956	0.0116049	0	0
LDWJD	254.309	0	0	66	0.0057971
MLK>	215.777	0	0	56	0.00491875
MWC>	212.817	676	0.00820597	0	0
JWNTN	196.511	0	0	51	0.00447958
LC>WL	196.511	0	0	51	0.00447958
PLC"TJ>	148.17	3	3.6417e-05	44	0.00386473
DPLC"TJ>	138.55	11	0.000133529	50	0.00439174
DC>WL	127.154	0	0	33	0.00289855
PR<WN	109.871	349	0.00423652	0	0
LMWC>	108.43	400	0.00485561	2	0.00017567
>MR	99.2172	7	8.49731e-05	35	0.00307422
LCMW>JL	96.329	0	0	25	0.00219587
WDWJD	84.7695	0	0	22	0.00193237
DDWJD	84.7695	0	0	22	0.00193237
W>ZL	78.4964	15	0.000182085	35	0.00307422
WHW>	77.5911	31	0.000376309	44	0.00386473
PLCTJ>	77.0632	0	0	20	0.0017567
D>JSRJL	74.6392	57	0.000691924	55	0.00483092
W>MRT	67.9558	2	2.4278e-05	21	0.00184453
W<B^D	64.2229	204	0.00247636	0	0
>JCJ	61.6506	0	0	16	0.00140536
<LJ	59.8908	24	0.000291336	34	0.00298639
>KJC	57.7974	0	0	15	0.00131752
<B^D>	56.6672	180	0.00218502	0	0
W<B#DW	56.0376	178	0.00216074	0	0
DMRJ>	56.012	151	0.00183299	79	0.00693895
LRMT>	53.9442	0	0	14	0.00122969
DMYRJN	53.7288	268	0.00325326	5	0.000439174
W>T>	53.4804	12	0.000145668	25	0.00219587
>HRWN	52.8894	168	0.00203935	0	0
DDHB>	51.9355	276	0.00335037	6	0.000527009
W<B#D	51.0005	162	0.00196652	0	0
QBWTH	50.0911	0	0	13	0.00114185
WGBR"WHJ	50.0911	0	0	13	0.00114185
HW	48.8681	162	0.00196652	78	0.00685112
WHW#>	48.482	154	0.00186941	0	0
DMCKN>	46.2782	147	0.00178444	0	0
DMLK>	46.2379	0	0	12	0.00105402
WPLC"TJ>	46.2379	0	0	12	0.00105402
LQRB>	46.2379	0	0	12	0.00105402
DPR<WN	44.7042	142	0.00172374	0	0
>M^R	44.3893	141	0.0017116	0	0
LHWN	43.7038	407	0.00494058	20	0.0017567
<BDT	42.3848	0	0	11	0.000966184
LMLK>	42.3848	0	0	11	0.000966184
JD<	42.3848	0	0	11	0.000966184
NBL	42.3848	0	0	11	0.000966184
WMX>	42.3848	0	0	11	0.000966184
D>T>	42.3848	0	0	11	0.000966184
W<N>	42.0205	10	0.00012139	20	0.0017567
JWMN>	41.5583	53	0.000643368	39	0.00342556
J<QWB	41.2412	131	0.00159021	0	0
DPQ^D	40.9263	130	0.00157807	0	0
WCMW>JL	38.5316	0	0	10	0.000878349
WQRB	38.5316	0	0	10	0.000878349
LJWNTN	38.5316	0	0	10	0.000878349
CM<	38.5316	0	0	10	0.000878349
DHB>	38.4078	122	0.00148096	0	0
WQ#R>	37.4633	119	0.00144454	0	0
<BD	36.1341	4	4.85561e-05	14	0.00122969
>T>	35.5871	7	8.49731e-05	16	0.00140536
>M"JN	34.9448	111	0.00134743	0	0
>NWN	34.7146	541	0.00656721	39	0.00342556
JHB	34.6784	0	0	9	0.000790514
WJHB	34.6784	0	0	9	0.000790514
>J"ZGD>	34.6784	0	0	9	0.000790514
CMC	34.6784	0	0	9	0.000790514
LQBWTH	34.6784	0	0	9	0.000790514
DKJ>	34.63	110	0.00133529	0	0
L>HRWN	34.0003	108	0.00131101	0	0
JWSP	34.0003	108	0.00131101	0	0
W>MRW	33.6333	116	0.00140813	55	0.00483092
WC>WL	33.6176	5	6.06951e-05	14	0.00122969
BJCT>	32.9368	20	0.00024278	22	0.00193237
D>CKR<>	32.7411	104	0.00126246	0	0
WX#Z>	32.7411	104	0.00126246	0	0
HW>	32.2269	239	0.00290122	87	0.00764163
<BDK	32.1703	3	3.6417e-05	12	0.00105402
LQRJT>	32.1703	3	3.6417e-05	12	0.00105402
DZXWRJT>	32.1114	102	0.00123818	0	0
XJL>	31.852	2	2.4278e-05	11	0.000966184
DMYR"J>	31.4818	100	0.0012139	0	0
WQR>	31.3986	6	7.28341e-05	14	0.00122969
H#W	31.167	99	0.00120176	0	0
>M#R	30.8522	98	0.00118962	0	0
DS>M>	30.8522	98	0.00118962	0	0
LQ<JL>	30.8253	0	0	8	0.000702679
DMK	30.8253	0	0	8	0.000702679
XN>	30.8253	0	0	8	0.000702679
WCM<	30.3949	5	6.06951e-05	13	0.00114185
MNW	29.3032	21	0.000254919	21	0.00184453
<B#DW	29.2781	93	0.00112893	0	0
DDRT>	28.9633	92	0.00111679	0	0
<ZJL>	28.9633	92	0.00111679	0	0
T<B^D	28.9633	92	0.00111679	0	0
D<MH	28.8757	9	0.000109251	15	0.00131752
TR"JN	28.8342	212	0.00257347	8	0.000702679
MYR"J>	27.704	88	0.00106823	0	0
W>RGWN>	27.704	88	0.00106823	0	0
>BWK	27.6216	8	9.71121e-05	14	0.00122969
HNWN	27.6216	8	9.71121e-05	14	0.00122969
<B"DWHJ	27.2268	14	0.000169946	17	0.00149319
MCKN>	27.0743	86	0.00104396	0	0
>BRHM	27.0743	86	0.00104396	0	0
WQM	27.0118	39	0.000473422	27	0.00237154
>XJMLK	26.9721	0	0	7	0.000614844
WNPQ	26.9721	0	0	7	0.000614844
DBRMT>	26.9721	0	0	7	0.000614844
W<RQW	26.9721	0	0	7	0.000614844
L>JCJ	26.9721	0	0	7	0.000614844
WJWNTN	26.9721	0	0	7	0.000614844
NGB	26.9721	0	0	7	0.000614844
LGLGL>	26.9721	0	0	7	0.000614844
LMB<>	26.9721	0	0	7	0.000614844
>TJT	26.9721	0	0	7	0.000614844
WJTB	26.9721	0	0	7	0.000614844
HLQN>	26.9721	0	0	7	0.000614844
W<BR	26.9721	0	0	7	0.000614844
DCMW>JL	26.9721	0	0	7	0.000614844
LPLCTJ>	26.9721	0	0	7	0.000614844
<B#D	26.7595	85	0.00103182	0	0
QWDC>	26.4447	84	0.00101968	0	0
DPDT>	26.4447	84	0.00101968	0	0
WYWB<>	26.4447	84	0.00101968	0	0
PRS>	26.4447	84	0.00101968	0	0
LPR<WN	26.4447	84	0.00101968	0	0
W>HRWN	26.4447	84	0.00101968	0	0
GBR"JN	26.2889	24	0.000291336	21	0.00184453
W>M#RT	26.1299	83	0.00100754	0	0
M"L>	25.8516	13	0.000157807	16	0.00140536
C"NJN	25.638	122	0.00148096	2	0.00017567
DQJS>	25.5003	81	0.00098326	0	0
DBNJMJN	25.4307	3	3.6417e-05	10	0.000878349
WXWJW	25.2123	6	7.28341e-05	12	0.00105402
DJRJ<T>	25.1854	80	0.000971121	0	0
H>	24.5449	209	0.00253705	73	0.00641195
XJ	24.4793	12	0.000145668	15	0.00131752
M"J>	24.2284	145	0.00176016	4	0.000351339
WBWY>	23.9262	76	0.000922565	0	0
PWRCN>	23.9262	76	0.000922565	0	0
DMWC>	23.9262	76	0.000922565	0	0
M^LK>	23.6113	75	0.000910426	0	0
DBN"J	23.5346	129	0.00156593	3	0.000263505
WNSB	23.4335	7	8.49731e-05	12	0.00105402
JWM"T>	23.43	15	0.000182085	16	0.00140536
WKL	23.1983	177	0.00214861	7	0.000614844
>BJGL	23.119	0	0	6	0.000527009
MWRNJT>	23.119	0	0	6	0.000527009
MLKL	23.119	0	0	6	0.000527009
>"TN>	23.119	0	0	6	0.000527009
CM<T	23.119	0	0	6	0.000527009
WSLQ	23.119	0	0	6	0.000527009
YB>WT	23.119	0	0	6	0.000527009
LMYPJ>	23.119	0	0	6	0.000527009
DPLCTJ>	23.119	0	0	6	0.000527009
LPLC"TJ>	23.119	0	0	6	0.000527009
PTGMH	23.119	0	0	6	0.000527009
W<LJ	23.119	0	0	6	0.000527009
WC>L	23.119	0	0	6	0.000527009
YB>	23.119	0	0	6	0.000527009
D>MR	23.0393	4	4.85561e-05	10	0.000878349
B>"JDJK	23.0393	4	4.85561e-05	10	0.000878349
>R"B<	22.6669	72	0.000874009	0	0
D>M#R	22.6669	72	0.000874009	0	0
LMCKN>	22.6669	72	0.000874009	0	0
WCDR	21.7377	24	0.000291336	19	0.00166886
B>R<>	21.5484	170	0.00206363	7	0.000614844
GNB	21.4469	2	2.4278e-05	8	0.000702679
>LHH	21.4076	68	0.000825453	0	0
XWSJ>	21.4076	68	0.000825453	0	0
TR"TJN	21.3182	146	0.0017723	5	0.000439174
JM>	21.0928	67	0.000813314	0	0
TM^N	21.0928	67	0.000813314	0	0
BN"J	21.0765	230	0.00279197	13	0.00114185
>R<>	20.7273	431	0.00523192	36	0.00316206
NPCK	20.5315	7	8.49731e-05	11	0.000966184
DMN	20.3709	23	0.000279197	18	0.00158103
SVR"WHJ	20.1484	64	0.000776897	0	0
H^W	20.0843	63	0.000764758	31	0.00272288
CBJ<J>	19.8335	63	0.000764758	0	0
XD>	19.58	193	0.00234283	10	0.000878349
D>LH>	19.4492	89	0.00108037	38	0.00333773
DJWM"T>	19.2658	0	0	5	0.000439174
WHPK	19.2658	0	0	5	0.000439174
DHW>	19.2658	0	0	5	0.000439174
VR"WN>	19.2658	0	0	5	0.000439174
BGLGL>	19.2658	0	0	5	0.000439174
HPK	19.2658	0	0	5	0.000439174
LKJC	19.2658	0	0	5	0.000439174
L<LJ	19.2658	0	0	5	0.000439174
DNBL	19.2658	0	0	5	0.000439174
L>XJMLK	19.2658	0	0	5	0.000439174
W<RQ	19.2658	0	0	5	0.000439174
>BNJR	19.2658	0	0	5	0.000439174
B<B>	19.2658	0	0	5	0.000439174
>XJVWB	19.2658	0	0	5	0.000439174
BJNJ	19.2658	0	0	5	0.000439174
WNXT	19.2658	0	0	5	0.000439174
LMTKTCW	19.2658	0	0	5	0.000439174
LGT	19.2658	0	0	5	0.000439174
L>KJC	19.2658	0	0	5	0.000439174
>KL	19.2658	0	0	5	0.000439174
BRJCH	19.2658	0	0	5	0.000439174
WCDRW	19.2658	0	0	5	0.000439174
L>MTK	19.2658	0	0	5	0.000439174
XPNJ	19.2658	0	0	5	0.000439174
XZJT	19.2658	0	0	5	0.000439174
LNXL>	19.2658	0	0	5	0.000439174
RWXH	19.2505	6	7.28341e-05	10	0.000878349
>R"B<>	19.2039	61	0.00074048	0	0
VBT>	19.0394	8	9.71121e-05	11	0.000966184
MDBX>	19.0201	112	0.00135957	3	0.000263505
NHWWN	18.8891	60	0.000728341	0	0
B<JR>	18.8891	60	0.000728341	0	0
SM"KJN	18.8891	60	0.000728341	0	0
D>N>	18.5743	59	0.000716202	0	0
<SR"JN	18.4027	96	0.00116535	2	0.00017567
>LH>	18.373	391	0.00474636	33	0.00289855
W>N	18.0963	186	0.00225786	10	0.000878349
DM^N	18.067	2	2.4278e-05	7	0.000614844
DJWMN>	18.067	2	2.4278e-05	7	0.000614844
WNPL	18.0033	5	6.06951e-05	9	0.000790514
M>>	17.9446	57	0.000691924	0	0
DSHDWT>	17.9446	57	0.000691924	0	0
DKR>	17.9446	57	0.000691924	0	0
HW#>	17.9446	57	0.000691924	0	0
XMCJN	17.6298	56	0.000679785	0	0
WBN"WHJ	17.6298	56	0.000679785	0	0
WSM"KJHWN	17.6298	56	0.000679785	0	0
XDR	17.6298	56	0.000679785	0	0
W>M>	17.6298	56	0.000679785	0	0
LWX">	17.6298	56	0.000679785	0	0
BJRX>	17.315	55	0.000667646	0	0
<SW	17.315	55	0.000667646	0	0
WSJM	17.0002	54	0.000655507	0	0
>JSXQ	17.0002	54	0.000655507	0	0
XS	16.8082	4	4.85561e-05	8	0.000702679
MXWT>	16.8082	4	4.85561e-05	8	0.000702679
WJH#B	16.6854	53	0.000643368	0	0
GBR>	16.6127	152	0.00184513	52	0.00456741
WGBR>	16.4684	10	0.00012139	11	0.000966184
LKWN	16.4115	225	0.00273128	15	0.00131752
WMN>	16.377	6	7.28341e-05	9	0.000790514
BMRJ>	16.377	6	7.28341e-05	9	0.000790514
WXZ>	16.377	6	7.28341e-05	9	0.000790514
W>WSP	16.377	6	7.28341e-05	9	0.000790514
DQWDC>	16.3705	52	0.000631229	0	0
JR"J<N	16.3705	52	0.000631229	0	0
TKLT>	16.3705	52	0.000631229	0	0
LVWR>	16.3705	52	0.000631229	0	0
CMJ>	16.3705	52	0.000631229	0	0
>WRKH	16.3705	52	0.000631229	0	0
KHN>	16.2902	20	0.00024278	15	0.00131752
>"LPJN	16.2902	20	0.00024278	15	0.00131752
<B^D	16.1688	101	0.00122604	3	0.000263505
>NJ"N	15.7409	50	0.000606951	0	0
DKN<N	15.7409	50	0.000606951	0	0
>"MJN	15.4261	49	0.000594812	0	0
WNP#Q	15.4261	49	0.000594812	0	0
XVJT	15.4126	0	0	4	0.000351339
GJS>	15.4126	0	0	4	0.000351339
>BJTR	15.4126	0	0	4	0.000351339
DBC>	15.4126	0	0	4	0.000351339
DW>G	15.4126	0	0	4	0.000351339
NPQ	15.4126	0	0	4	0.000351339
G>R">	15.4126	0	0	4	0.000351339
WHJ	15.4126	0	0	4	0.000351339
LSDR>	15.4126	0	0	4	0.000351339
KNP>	15.4126	0	0	4	0.000351339
MCR"JTHWN	15.4126	0	0	4	0.000351339
WSGD	15.4126	0	0	4	0.000351339
