PATTERN	LOGLIKELIHOOD	OCC_0	FREQ_0	OCC_1	FREQ_1
>T	3809.71	2622	0.0358221	0	0
>CR	2417.76	1664	0.0227338	0	0
JHWH	2217.25	1526	0.0208484	0	0
>L	1862.72	1282	0.0175149	0	0
MRJ>	1781.73	0	0	1348	0.0163634
KJ	1435.54	988	0.0134982	0	0
MN	1375.51	218	0.00297835	1856	0.02253
W>M#R	1263.6	0	0	956	0.0116049
W>T	1203.07	828	0.0113122	0	0
WJ>MR	918.283	632	0.00863447	0	0
BNJ	905.206	623	0.00851151	0	0
MCH	893.583	615	0.00840221	0	0
MWC>	893.51	0	0	676	0.00820597
MVL	833.593	2	2.73243e-05	649	0.00787822
JFR>L	794.78	547	0.00747319	0	0
>JSRJL	786.448	0	0	595	0.00722271
>NWN	715.073	0	0	541	0.00656721
>N>	660.029	2	2.73243e-05	517	0.00627587
>JK	609.332	0	0	461	0.00559609
LH	590.702	49	0.000669445	663	0.00804817
>R<>	569.679	0	0	431	0.00523192
LHWN	537.957	0	0	407	0.00494058
H>RY	528.885	364	0.00497302	0	0
LMWC>	528.704	0	0	400	0.00485561
>LH>	516.808	0	0	391	0.00474636
HN>	514.165	0	0	389	0.00472208
QDM	509.335	5	6.83107e-05	421	0.00511053
LW	505.637	348	0.00475442	0	0
PR<WN	461.294	0	0	349	0.00423652
KL	443.517	967	0.0132113	282	0.0034232
L>MR	443.159	305	0.00416695	0	0
>JC	417.005	287	0.00392103	0	0
BN	412.18	324	0.00442653	7	8.49731e-05
<M>	385.954	0	0	292	0.00354459
KD	384.632	0	0	291	0.00353245
>TM	383.587	264	0.0036068	0	0
<D	377.551	280	0.0038254	3	3.6417e-05
XD	376.702	0	0	285	0.00345962
LJHWH	370.51	255	0.00348384	0	0
>LHJK	366.151	252	0.00344286	0	0
LMRJ>	366.128	0	0	277	0.00336251
>NT	366.128	0	0	277	0.00336251
DDHB>	364.806	0	0	276	0.00335037
>TW	359.449	303	0.00413963	11	0.000133529
LPNJ	358.886	247	0.00337455	0	0
MYRJM	354.527	244	0.00333356	0	0
DMYRJN	354.232	0	0	268	0.00325326
HKHN	341.45	235	0.0032106	0	0
LKM	338.544	233	0.00318328	0	0
>LHJM	331.279	228	0.00311497	0	0
>TH	329.826	227	0.0031013	0	0
LWT	326.475	0	0	247	0.00299834
>HRN	324.015	223	0.00304666	0	0
H<M	312.391	215	0.00293736	0	0
BN"J	304.005	0	0	230	0.00279197
HKN>	304.005	0	0	230	0.00279197
JHJH	299.314	206	0.0028144	0	0
LKWN	297.396	0	0	225	0.00273128
K>CR	294.955	203	0.00277341	0	0
HZH	284.784	196	0.00267778	0	0
WJHJ	281.878	194	0.00265045	0	0
TR"JN	280.213	0	0	212	0.00257347
DL>	277.57	0	0	210	0.00254919
H>	276.248	0	0	209	0.00253705
>XD	274.613	189	0.00258214	0	0
>M	273.16	188	0.00256848	0	0
W<B^D	269.639	0	0	204	0.00247636
CNH	269.235	209	0.00285539	4	4.85561e-05
PR<H	267.348	184	0.00251383	0	0
XD>	255.1	0	0	193	0.00234283
DBR	247.672	189	0.00258214	3	3.6417e-05
W>N	245.847	0	0	186	0.00225786
CM	241.482	198	0.0027051	6	7.28341e-05
LHM	238.289	164	0.00224059	0	0
<B^D>	237.917	0	0	180	0.00218502
W<B#DW	235.273	0	0	178	0.00216074
KN	232.477	160	0.00218594	0	0
J<QB	232.477	160	0.00218594	0	0
B>RY	229.571	158	0.00215862	0	0
L<M>	228.665	0	0	173	0.00210005
WHJH	228.118	157	0.00214496	0	0
B>R<>	224.699	0	0	170	0.00206363
>HRWN	222.056	0	0	168	0.00203935
>NJ	220.853	152	0.00207664	0	0
KLHWN	219.412	0	0	166	0.00201508
<LJW	219.4	151	0.00206298	0	0
W<B#D	214.125	0	0	162	0.00196652
HW	214.125	0	0	162	0.00196652
W>M	206.323	142	0.00194002	0	0
WHW#>	203.551	0	0	154	0.00186941
WJDBR	203.417	140	0.0019127	0	0
>TKM	203.417	140	0.0019127	0	0
NHW>	200.908	0	0	152	0.00184513
GBR>	200.908	0	0	152	0.00184513
BJWM	200.511	138	0.00188537	0	0
MW<D	200.511	138	0.00188537	0	0
DMRJ>	199.586	0	0	151	0.00183299
WKD	198.264	0	0	150	0.00182085
HJWM	196.152	135	0.00184439	0	0
DMCKN>	194.299	0	0	147	0.00178444
BW	193.246	133	0.00181706	0	0
TR"TJN	192.977	0	0	146	0.0017723
M"J>	191.655	0	0	145	0.00176016
>RY	190.34	131	0.00178974	0	0
HLJN	189.012	0	0	143	0.00173588
DPR<WN	187.69	0	0	142	0.00172374
>M^R	186.368	0	0	141	0.0017116
>NKJ	184.528	127	0.00173509	0	0
CNJ	181.622	125	0.00170777	0	0
<DM>	179.759	0	0	136	0.00165091
>LJW	178.717	123	0.00168044	0	0
CNJM	178.717	123	0.00168044	0	0
>NTWN	178.438	0	0	135	0.00163877
JMJM	177.264	122	0.00166678	0	0
GM	177.264	122	0.00166678	0	0
HHW>	175.811	121	0.00165312	0	0
HWW	174.472	0	0	132	0.00160235
J<QWB	173.151	0	0	131	0.00159021
WHNH	172.905	119	0.00162579	0	0
DPQ^D	171.829	0	0	130	0.00157807
<FW	171.452	118	0.00161213	0	0
DBN"J	170.507	0	0	129	0.00156593
ZHB	169.999	117	0.00159847	0	0
W>L	169.999	117	0.00159847	0	0
M>	169.185	0	0	128	0.00155379
<FH	168.546	116	0.00158481	0	0
BR	167.328	6	8.19728e-05	159	0.0019301
PNJ	167.093	115	0.00157115	0	0
>XRN>	166.542	0	0	126	0.00152952
JWM"JN	165.22	0	0	125	0.00151738
YWH	162.734	112	0.00153016	0	0
>LH	162.382	133	0.00181706	4	4.85561e-05
N>	161.281	111	0.0015165	0	0
DHB>	161.255	0	0	122	0.00148096
BJWM>	161.255	0	0	122	0.00148096
C"NJN	161.255	0	0	122	0.00148096
NTN	158.375	109	0.00148917	0	0
TXJT	157.29	0	0	119	0.00144454
WQ#R>	157.29	0	0	119	0.00144454
M>WT	155.469	107	0.00146185	0	0
>CH	155.469	107	0.00146185	0	0
DNXC>	154.646	0	0	117	0.00142026
QDC	152.563	105	0.00143452	0	0
D>JT	152.002	0	0	115	0.00139599
MCPXT	151.11	104	0.00142086	0	0
KLH	148.205	9	0.000122959	155	0.00188155
>HL	148.204	102	0.00139354	0	0
MDBX>	148.037	0	0	112	0.00135957
<LWHJ	148.037	0	0	112	0.00135957
>M"JN	146.715	0	0	111	0.00134743
DKJ>	145.394	0	0	110	0.00133529
D>R<>	145.394	0	0	110	0.00133529
HMZBX	145.298	100	0.00136621	0	0
HNH	145.298	100	0.00136621	0	0
LH^	144.072	0	0	109	0.00132315
L>HRWN	142.75	0	0	108	0.00131101
T<FH	142.392	98	0.00133889	0	0
MNH	140.107	0	0	106	0.00128674
L>R<>	138.785	0	0	105	0.0012746
D>CKR<>	137.463	0	0	104	0.00126246
WX#Z>	137.463	0	0	104	0.00126246
>XJW	136.58	94	0.00128424	0	0
WNHW>	136.141	0	0	103	0.00125032
TLT>	134.82	0	0	102	0.00123818
MN>	134.82	0	0	102	0.00123818
DZXWRJT>	134.82	0	0	102	0.00123818
WH>	133.498	0	0	101	0.00122604
<B^D	133.498	0	0	101	0.00122604
DMYR"J>	132.176	0	0	100	0.0012139
>NTT>	132.176	0	0	100	0.0012139
LWQBL	132.176	0	0	100	0.0012139
H#W	130.854	0	0	99	0.00120176
HJ	130.854	0	0	99	0.00120176
WJQR>	130.768	90	0.00122959	0	0
TXT	130.768	90	0.00122959	0	0
>M#R	129.533	0	0	98	0.00118962
DS>M>	129.533	0	0	98	0.00118962
TMN	128.211	0	0	97	0.00117748
ZH	127.862	88	0.00120227	0	0
WJQX	127.862	88	0.00120227	0	0
WJ>MRW	127.862	88	0.00120227	0	0
WJR>	127.862	88	0.00120227	0	0
<MH	127.516	14	0.00019127	154	0.00186941
>N	126.949	2	2.73243e-05	109	0.00132315
<SR"JN	126.889	0	0	96	0.00116535
>LJ	126.409	87	0.00118861	0	0
LBNJ	126.409	87	0.00118861	0	0
>LHJKM	123.503	85	0.00116128	0	0
H>LH	123.503	85	0.00116128	0	0
<B#DW	122.924	0	0	93	0.00112893
HZ>T	122.05	84	0.00114762	0	0
>LHM	122.05	84	0.00114762	0	0
<ZJL>	121.602	0	0	92	0.00111679
T<B^D	121.602	0	0	92	0.00111679
W<DM>	121.602	0	0	92	0.00111679
DDRT>	121.602	0	0	92	0.00111679
>XRJ	119.144	82	0.0011203	0	0
WJ<F	119.144	82	0.0011203	0	0
VB	118.958	0	0	90	0.00109251
WKLHWN	118.958	0	0	90	0.00109251
D>LH>	117.637	0	0	89	0.00108037
WMN	116.39	30	0.000409864	187	0.00227
BTR	116.315	0	0	88	0.00106823
W>RGWN>	116.315	0	0	88	0.00106823
MYR"J>	116.315	0	0	88	0.00106823
MYRJN	116.315	0	0	88	0.00106823
MKL	116.238	80	0.00109297	0	0
>LP	114.785	79	0.00107931	0	0
MH	114.785	79	0.00107931	0	0
MCKN>	113.671	0	0	86	0.00104396
LBN"J	113.671	0	0	86	0.00104396
WJTN	113.332	78	0.00106565	0	0
KSP	112.556	97	0.00132523	4	4.85561e-05
BHWN	112.35	0	0	85	0.00103182
<B#D	112.35	0	0	85	0.00103182
>DNJ	111.879	77	0.00105198	0	0
PRS>	111.028	0	0	84	0.00101968
WYWB<>	111.028	0	0	84	0.00101968
W>HRWN	111.028	0	0	84	0.00101968
PTGM>	111.028	0	0	84	0.00101968
LPR<WN	111.028	0	0	84	0.00101968
DPDT>	111.028	0	0	84	0.00101968
QWDC>	111.028	0	0	84	0.00101968
>JN	110.426	76	0.00103832	0	0
MMNW	110.426	76	0.00103832	0	0
LN	109.706	0	0	83	0.00100754
W>M#RT	109.706	0	0	83	0.00100754
HMCKN	108.973	75	0.00102466	0	0
>BJW	108.973	75	0.00102466	0	0
>P	108.13	33	0.00045085	186	0.00225786
WJB>	107.521	74	0.001011	0	0
BQR	107.521	74	0.001011	0	0
JYXQ	107.521	74	0.001011	0	0
DQJS>	107.063	0	0	81	0.00098326
L<L	107.063	0	0	81	0.00098326
HQDC	106.068	73	0.000997336	0	0
HCMJM	106.068	73	0.000997336	0	0
<FR	106.068	73	0.000997336	0	0
DJRJ<T>	105.741	0	0	80	0.000971121
>JDH	105.741	0	0	80	0.000971121
MLK	104.615	72	0.000983674	0	0
M^N	104.419	0	0	79	0.000958982
>NC	104.419	0	0	79	0.000958982
Z>T	103.162	71	0.000970012	0	0
<WD	103.162	71	0.000970012	0	0
M>D	101.709	70	0.000956349	0	0
W<FJT	101.709	70	0.000956349	0	0
MDM	101.332	13	0.000177608	128	0.00155379
W>P	100.878	8	0.000109297	112	0.00135957
WBWY>	100.454	0	0	76	0.000922565
DMWC>	100.454	0	0	76	0.000922565
HC>	100.454	0	0	76	0.000922565
PWRCN>	100.454	0	0	76	0.000922565
ZL	100.454	0	0	76	0.000922565
BNJW	100.256	69	0.000942687	0	0
M^LK>	99.1321	0	0	75	0.000910426
NPC	98.8026	68	0.000929025	0	0
LM<N	98.8026	68	0.000929025	0	0
HD>	97.8103	0	0	74	0.000898287
CTJ	97.3497	67	0.000915363	0	0
QDMJK	96.4885	0	0	73	0.000886148
HM	95.8967	66	0.000901701	0	0
L<FWT	95.8967	66	0.000901701	0	0
LMCKN>	95.1668	0	0	72	0.000874009
>R"B<	95.1668	0	0	72	0.000874009
D>M#R	95.1668	0	0	72	0.000874009
QBWT>	95.1668	0	0	72	0.000874009
RB>	95.1668	0	0	72	0.000874009
LNW	94.4437	65	0.000888039	0	0
CB<T	94.4437	65	0.000888039	0	0
H<DH	94.4437	65	0.000888039	0	0
H>JC	94.4437	65	0.000888039	0	0
HDBR	94.4437	65	0.000888039	0	0
BGW	93.845	0	0	71	0.00086187
BJN	92.9907	64	0.000874377	0	0
H>XD	92.9907	64	0.000874377	0	0
H>DMH	92.9907	64	0.000874377	0	0
<MW	92.9907	64	0.000874377	0	0
THJH	92.9907	64	0.000874377	0	0
WTR"TJN	92.5233	0	0	70	0.000849731
